sub_num	alpha_s	decay	ccc	alpha_ccc	alpha_v
1	0.293557956	0.274783434	-0.338010518	0.511908127	0.566956845
2	0.393050935	0.727557598	-0.321180244	0.551999788	0.320546949
3	0.293313703	0.541501886	-0.198801831	0.038614956	0.544768041
4	0.777711832	0.06315226	-0.295171785	0.331846928	0.997410582
5	0.0001	0.0001	-0.709778456	0.831874857	0.4764879
6	0.005778208	0.00172149	-0.678578844	1	0.028868824
7	0.22948996	0.402496352	-0.521783377	0.859829655	0.343449396
8	0.140847123	1.00E-04	-0.995303837	1	0.311146118
9	0.047622873	0.535905697	-0.13336288	0.172395964	0.033030118
10	0.036487279	0.103365338	-0.286887066	0.519211767	0.162942065
11	0.069275285	0.335273615	-0.077256313	0.186592663	0.108004276
12	0.659838556	0.130423512	-0.667838618	0.346173748	0.518893851
13	0.06815041	0.084736744	-0.993884459	0.0001	0.847322157
14	0.180130736	0.0001	-0.37660293	0.601848147	0.148683734
15	0.228040682	0.97381882	-0.232826986	0.858674663	0.565758649
16	0.122462873	0.105556034	-0.176497069	0.336635388	0.080101393
17	0.345589615	0.004631936	-0.403319818	0.610054356	0.305108221
18	0.306754756	0.0001	-0.851417724	0.606202268	0.199583842
