,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,1,579.0,0,1,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,0,1,0,450.0,1,2,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2631452982699792,0.2631452982699792,0.7368547017300209,0.5,0.5,0.7368547017300209,-0.7368547017300209,0.0,0.0
2,0,1,0,325.0,1,3,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6122002994632343,0.6122002994632343,0.38779970053676577,0.5,0.5,0.3877997005367657,-0.38779970053676577,0.0,0.0
3,1,1,1,354.0,1,4,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.7959046642664884,0.20409533573351166,0.5,0.5,0.0,0.0,-0.5,0.5
4,1,1,1,479.0,1,5,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7368547017300209,0.7955262660395128,0.20447373396048726,0.2631452982699792,0.7368547017300209,0.0,0.0,-0.2631452982699792,0.2631452982699791
5,1,1,1,331.9,1,6,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8615091039968075,0.7951483517022336,0.2048516482977664,0.13849089600319262,0.8615091039968075,0.0,0.0,-0.13849089600319262,0.13849089600319253
6,1,1,1,377.1,1,7,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9271135437271265,0.7947709206358604,0.2052290793641396,0.07288645627287357,0.9271135437271265,0.0,0.0,-0.07288645627287357,0.07288645627287349
7,1,1,1,351.9,1,8,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9616405434484658,0.7943939722223939,0.20560602777760606,0.03835945655153422,0.9616405434484658,0.0,0.0,-0.03835945655153422,0.038359456551534166
8,1,1,1,366.9,1,9,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9798117787285445,0.7940175058446253,0.20598249415537473,0.02018822127145556,0.9798117787285445,0.0,0.0,-0.02018822127145556,0.020188221271455475
9,0,1,0,350.1,1,10,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7936415208861347,0.7936415208861347,0.2063584791138653,0.010624871016035023,0.9893751289839651,0.2063584791138653,-0.2063584791138653,0.0,0.0
10,1,1,1,434.8,1,11,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9887493237720313,0.8913954729260853,0.1086045270739147,0.01125067622796884,0.9887493237720313,0.0,0.0,-0.01125067622796884,0.011250676227968714
11,1,1,1,319.8,1,12,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9940788748965044,0.8908949625560693,0.10910503744393081,0.005921125103495649,0.9940788748965044,0.0,0.0,-0.005921125103495649,0.005921125103495628
12,0,1,1,424.9,0,13,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10960490776916403,0.890395092230836,0.10960490776916403,0.0031162324629064476,0.9968837675370935,-0.890395092230836,0.890395092230836,0.0,0.0
13,0,1,0,397.8,1,14,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46860656424641794,0.46860656424641794,0.5313934357535821,0.003751639603632254,0.9962483603963677,0.5313934357535821,-0.5313934357535821,0.0,0.0
14,1,1,1,302.8,1,15,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9956137658042918,0.7203326316998293,0.27966736830017075,0.004386234195708129,0.9956137658042918,0.0,0.0,-0.004386234195708129,0.004386234195708161
15,0,1,0,363.7,1,16,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7200508737985581,0.7200508737985581,0.27994912620144197,0.0023084338114231955,0.9976915661885768,0.27994912620144186,-0.27994912620144197,0.0,0.0
16,0,1,1,406.7,0,17,1,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14733459262939697,0.852665407370603,0.14733459262939697,0.0029448739523493615,0.9970551260476507,-0.852665407370603,0.852665407370603,0.0,0.0
17,0,1,0,329.6,1,18,0,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4487497858940613,0.4487497858940613,0.5512502141059388,0.0035805002236411992,0.9964194997763588,0.5512502141059388,-0.5512502141059388,0.0,0.0
