,stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,0,1,1,566.6,0,1,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,0,1,1,525.7,0,2,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8888559158849001,0.1111440841150999,0.8888559158849001,0.5,0.5,-0.1111440841150999,0.1111440841150999,0.0,0.0
2,1,1,0,466.7,0,3,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.024706014867568807,0.9752939851324312,0.5,0.5,0.0,0.0,0.5,-0.5
3,0,1,1,425.7,0,4,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9452780958619709,0.054721904138029076,0.9452780958619709,0.8888559158849001,0.1111440841150999,-0.054721904138029076,0.05472190413802913,0.0,0.0
4,0,1,0,510.6,1,5,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.012164031832911072,0.012164031832911072,0.987835968167089,0.8642987860274447,0.13570121397255527,0.987835968167089,-0.987835968167089,0.0,0.0
5,0,1,1,517.6,0,6,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.660025636873272,0.339974363126728,0.660025636873272,0.8412924944167564,0.1587075055832436,-0.339974363126728,0.339974363126728,0.0,0.0
6,0,1,1,466.7,0,7,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9244277215753308,0.07557227842466918,0.9244277215753308,0.819739102112837,0.180260897887163,-0.07557227842466918,0.07557227842466918,0.0,0.0
7,1,1,0,413.6,0,8,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7995468552410798,0.016798823340002364,0.9832011766599976,0.7995468552410798,0.20045314475892012,0.0,0.0,0.20045314475892018,-0.20045314475892012
8,1,1,1,466.5,1,9,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04455836236444344,0.04731406962476531,0.9526859303752346,0.9554416376355566,0.04455836236444344,0.0,0.0,-0.9554416376355566,0.9554416376355566
9,1,1,0,409.5,0,10,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6383812654096269,0.07590220914572383,0.9240977908542761,0.6383812654096269,0.3616187345903731,0.0,0.0,0.3616187345903731,-0.3616187345903731
10,1,1,0,406.4,0,11,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9196164338901831,0.10268494305005023,0.8973150569499497,0.9196164338901831,0.08038356610981684,0.0,0.0,0.0803835661098169,-0.08038356610981684
11,0,1,1,491.5,0,12,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8722237132175577,0.12777628678244235,0.8722237132175577,0.9821316843336376,0.01786831566636235,-0.12777628678244235,0.12777628678244235,0.0,0.0
