α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.55,0.43,0.91,0.32,0.15,0.45,0.1,0.56,9.554431797684375e6
0.2,0.64,0.69,0.77,0.29,0.6,0.88,0.31,9.511218629915625e6
0.16,0.57,0.03,0.41,0.84,0.34,0.75,0.01,9.497859052916516e6
0.07,0.52,0.46,0.88,0.37,0.6,0.93,0.21,9.542561378675342e6
0.76,0.57,0.86,0.22,0.15,0.77,0.37,0.3,9.480543234345902e6
0.62,1.0,0.59,0.47,0.65,0.46,0.41,0.55,9.503988513577081e6
0.95,0.74,0.42,0.16,0.17,0.5,0.25,0.4,9.429482227581844e6
0.98,0.07,0.33,0.29,0.49,0.61,0.63,1.0,9.57412737841146e6
0.37,0.31,0.91,0.5,0.73,0.19,0.96,0.23,9.51125413781602e6
0.6,0.7,0.02,0.57,0.09,0.72,0.5,0.74,9.3167976476588e6
0.64,0.49,0.58,0.04,0.58,0.8,0.73,0.51,9.478393975178275e6
0.59,0.61,0.47,0.83,0.62,0.27,0.39,0.6,9.535711873069592e6
0.42,0.71,0.02,0.02,0.05,0.22,0.75,0.5,9.29031946759068e6
0.76,0.69,0.05,0.91,0.06,0.77,0.32,0.17,9.340401848989457e6
0.07,0.61,0.82,0.59,0.9,0.48,0.58,0.44,9.601396103105381e6
0.27,0.4,0.19,0.15,0.55,0.53,0.7,0.03,9.391776185023261e6
0.83,0.98,0.49,0.38,0.64,0.11,0.16,0.83,9.538198819151316e6
0.59,0.76,0.13,0.23,0.25,0.54,0.44,0.61,9.331497004932195e6
0.17,0.09,0.89,0.31,0.36,0.33,0.35,0.16,9.56585268616214e6
0.9,0.1,0.97,0.1,0.29,0.35,0.4,0.17,9.496484362733617e6
0.87,0.43,0.12,0.69,0.12,0.36,0.83,0.86,9.371529604377212e6
0.82,0.89,0.08,0.25,0.78,0.45,0.02,0.77,9.506776187598644e6
0.14,0.73,0.61,0.94,0.33,0.78,0.79,0.46,9.54197010637248e6
0.86,0.49,0.86,0.08,0.4,0.76,0.24,0.34,9.46742047774751e6
0.72,0.07,0.51,0.82,0.09,0.17,0.64,0.48,9.499280397523925e6
0.5,0.56,0.1,0.16,0.31,0.09,0.09,0.1,9.3978977804972e6
0.85,0.63,0.42,0.87,0.41,0.64,0.42,0.69,9.477401164774548e6
0.9,1.0,0.69,0.46,0.48,0.27,0.28,0.99,9.520705131491948e6
0.31,0.33,0.47,0.14,0.33,0.18,0.26,0.96,9.428027281293578e6
0.51,0.96,0.44,0.95,0.77,0.29,0.56,0.22,9.54321923737228e6
0.59,0.96,0.09,0.98,0.19,0.42,0.73,0.28,9.40031621844104e6
0.5,0.53,0.66,0.41,0.35,0.62,0.94,0.12,9.470409429303836e6
0.81,0.42,0.06,0.42,0.87,0.56,0.58,0.21,9.541064244009636e6
0.71,0.61,0.23,0.03,0.97,0.92,0.89,0.04,9.55883751568421e6
0.67,0.69,0.6,0.52,0.86,0.62,0.79,0.52,9.55342509352416e6
0.76,0.57,0.38,0.9,0.87,0.05,0.77,0.66,9.613033618622039e6
0.54,0.63,0.37,0.4,0.66,0.36,0.31,0.98,9.486693066968955e6
0.23,0.27,0.72,0.81,0.4,0.43,0.23,0.22,9.5091849649675e6
0.77,0.66,0.11,0.83,0.03,0.21,0.84,0.59,9.391313328969771e6
0.5,0.66,0.54,0.02,0.53,0.76,0.59,0.52,9.46098478595835e6
0.41,0.64,0.53,0.82,0.68,0.48,0.47,0.68,9.519136223492492e6
0.85,0.43,0.81,0.39,0.82,0.42,0.18,0.82,9.565226956315538e6
0.44,0.66,0.34,0.4,0.9,0.59,0.06,0.44,9.562796098644199e6
0.78,0.24,0.66,0.78,0.57,0.71,0.84,0.48,9.576017502370756e6
0.62,0.43,0.27,0.22,0.74,0.67,0.51,0.88,9.49332315907311e6
0.77,0.74,0.55,0.59,0.64,0.86,1.0,0.61,9.53728418486628e6
0.71,0.42,0.31,0.46,0.38,0.42,0.08,0.57,9.397340971049514e6
0.52,0.83,0.81,0.72,0.76,0.03,0.67,0.21,9.635909407882147e6
0.88,0.75,0.33,0.52,0.55,0.84,0.94,0.46,9.491772279299824e6
0.87,0.86,0.65,0.73,0.05,0.27,0.11,0.08,9.492436803650346e6
0.36,0.1,0.91,0.29,0.25,0.62,0.22,0.86,9.52998729632318e6
0.52,0.56,0.08,0.76,0.5,0.44,0.39,0.81,9.431131108648207e6
0.27,0.11,0.2,0.91,0.42,0.47,0.23,0.48,9.467923124459416e6
0.19,0.49,0.98,0.56,0.06,0.06,0.81,0.8,9.687478930479567e6
0.24,0.2,0.89,0.29,0.92,0.74,0.61,0.95,9.662633345720425e6
0.05,0.84,0.36,0.34,0.49,0.65,0.16,0.82,9.523145615376646e6
0.4,0.14,0.39,0.88,0.68,0.84,0.38,0.08,9.531611126458906e6
0.02,0.62,0.46,0.08,0.95,0.16,0.01,0.69,9.62846240345277e6
0.35,0.88,0.11,0.38,0.64,0.65,0.53,0.77,9.444307216806667e6
0.01,0.59,0.51,0.26,0.42,0.28,0.91,0.92,9.738799750810092e6
0.09,0.72,0.78,0.83,0.47,0.34,0.84,0.05,9.649132992626086e6
0.22,0.39,0.68,0.91,0.56,0.04,1.0,0.57,9.502506492625762e6
0.16,0.67,0.19,0.69,0.82,0.66,0.38,0.43,9.544485430805437e6
0.49,0.18,0.39,0.66,0.26,0.59,0.85,0.39,9.465927507384287e6
0.75,0.08,0.65,0.12,0.16,0.99,0.32,0.6,9.466486735986572e6
0.1,0.76,0.73,0.52,0.31,0.84,0.68,0.88,9.59100993914596e6
0.63,0.71,0.13,0.36,0.31,0.22,0.75,0.92,9.408891975081146e6
0.77,0.56,0.31,0.45,0.41,0.93,0.45,0.07,9.464234366782235e6
0.06,0.85,0.91,0.44,0.97,0.66,0.13,0.99,9.613802001444781e6
0.33,0.96,0.66,0.54,0.88,0.38,0.91,0.37,9.510741370583806e6
0.59,0.07,0.61,0.21,0.58,0.04,0.61,0.63,9.578409383855747e6
0.98,0.47,0.34,0.24,0.2,0.95,0.63,0.55,9.45650811519713e6
0.23,0.43,0.5,0.96,0.86,0.62,0.13,0.92,9.574082036614258e6
0.04,0.23,0.03,0.87,0.39,0.08,0.64,0.52,9.47429013907464e6
0.3,0.44,0.43,0.63,0.77,0.7,0.17,0.25,9.527671772466673e6
0.27,0.17,0.62,0.3,0.55,0.53,0.52,0.18,9.510719003605872e6
0.24,0.6,0.11,0.82,0.81,0.97,0.96,0.39,9.450557271283707e6
0.97,0.75,0.82,0.22,0.16,0.77,0.2,0.32,9.464744916396018e6
0.11,0.19,0.71,0.07,0.14,0.41,0.3,0.01,9.523123652567003e6
0.76,0.03,0.21,0.98,0.99,0.58,0.06,0.83,9.606282530586617e6
0.68,0.85,0.12,0.23,0.19,0.78,0.78,0.66,9.370740481311359e6
0.86,1.0,0.09,0.59,0.24,0.05,0.8,0.86,9.446147827662677e6
0.7,0.88,0.52,0.24,0.83,0.13,0.71,0.63,9.591169494601373e6
0.3,0.82,0.25,0.28,0.14,0.55,0.24,0.16,9.37666629140973e6
0.85,0.13,0.85,0.88,0.92,0.82,0.83,0.52,9.666332238561194e6
0.51,0.57,0.89,0.07,0.33,0.36,0.3,0.69,9.472373897743743e6
0.13,0.67,0.68,0.04,0.92,0.25,0.57,0.7,9.609821841262134e6
0.72,0.8,0.38,1.0,0.31,0.65,0.09,0.21,9.450874645312969e6
0.06,0.65,0.31,0.4,0.96,0.13,0.88,0.69,9.522609819124477e6
0.51,0.72,0.68,0.21,0.79,0.63,0.69,0.26,9.519993522570457e6
0.13,0.05,0.23,0.28,0.56,0.75,0.95,0.35,9.417548578215314e6
0.04,0.47,0.13,0.54,0.81,0.91,0.62,0.79,9.482033457883667e6
0.58,0.02,0.02,0.9,0.65,0.08,0.46,0.06,9.666375510350812e6
0.67,0.69,0.99,0.82,0.38,0.54,0.75,0.52,9.529440351426804e6
0.77,0.22,0.85,0.99,0.08,0.3,0.85,0.28,9.509377900714017e6
0.05,0.51,0.33,0.55,0.48,0.38,0.54,0.28,9.450427745394245e6
0.87,0.44,0.8,0.97,0.78,0.82,0.46,0.94,9.575002116043845e6
0.49,0.2,0.12,0.19,0.89,0.24,0.41,0.55,9.566841368266096e6
0.1,0.33,0.33,0.5,0.17,0.56,0.56,0.49,9.396477793045528e6
0.56,0.88,0.71,0.92,0.32,0.46,0.38,0.15,9.484244519037642e6
0.75,0.35,0.04,0.82,0.49,0.69,0.69,0.16,9.468464212805327e6
0.96,0.61,0.82,0.04,0.08,0.28,0.04,0.23,9.663357719010165e6
0.46,0.91,0.19,0.18,0.15,0.9,0.06,0.94,9.384311823929816e6
0.25,0.92,0.09,0.65,0.58,0.67,0.76,0.14,9.44843767885871e6
0.24,0.06,0.21,0.08,0.91,0.32,0.48,0.99,9.636909569271812e6
0.68,0.9,0.78,0.61,0.15,0.47,0.83,0.57,9.478358822239984e6
0.52,0.68,0.2,0.27,0.14,0.86,0.28,0.48,9.369056770475592e6
0.03,0.72,0.16,0.27,0.93,0.81,0.8,0.26,9.482640242586428e6
0.49,0.86,0.67,0.99,0.24,0.82,0.58,0.4,9.495685792628068e6
