α_v,α_s,decay,MSE
0.74,0.91,0.95,4.271590398604013e6
0.1,0.41,0.85,4.250338129801773e6
0.22,0.11,0.63,4.244962860879921e6
0.14,0.04,0.09,4.235530879583734e6
0.6,0.15,0.57,4.258006437622902e6
0.9,0.93,0.16,4.273666593075275e6
0.13,0.46,0.38,4.25169101529641e6
0.03,0.7,0.25,4.264518062984249e6
0.47,0.79,0.47,4.266324340459141e6
0.43,0.4,0.13,4.257842438982272e6
0.17,0.95,1.0,4.265864272313739e6
0.87,0.52,0.08,4.267289884958708e6
0.87,0.42,0.2,4.266268129400245e6
0.79,0.51,0.79,4.265710756008681e6
0.2,0.19,0.02,4.246742537667937e6
0.42,0.45,1.0,4.25849738498337e6
0.04,0.41,0.05,4.253306942843011e6
0.06,0.53,0.83,4.255299890111641e6
0.03,0.35,0.56,4.253428685015722e6
0.59,0.54,0.28,4.262853191914415e6
0.49,0.52,0.03,4.26097462549937e6
0.21,0.44,0.15,4.25281750999786e6
0.21,0.69,0.05,4.259270396726607e6
0.85,0.8,0.87,4.270920750720022e6
0.97,0.33,0.62,4.267703333214151e6
0.04,0.54,0.57,4.257610945992651e6
0.79,0.77,0.02,4.26962076369553e6
0.04,0.64,0.86,4.260700969378365e6
0.15,0.27,0.67,4.246962459819501e6
0.63,0.68,0.76,4.2659023322071945e6
0.43,0.23,0.72,4.255339602813834e6
0.66,0.72,0.97,4.267038698654043e6
0.82,0.59,0.96,4.267277358715877e6
0.93,0.85,0.92,4.272764507967202e6
0.63,0.1,0.95,4.25762559520348e6
0.26,0.3,0.19,4.251444432112158e6
0.66,0.05,0.96,4.256948069914099e6
0.27,0.33,0.25,4.252376526665271e6
0.38,0.58,0.26,4.260292364419746e6
0.81,0.41,0.96,4.264973052576513e6
0.63,0.94,0.43,4.271162782698774e6
0.79,0.6,0.71,4.266919108036622e6
0.07,0.21,0.86,4.244395494271827e6
0.5,0.05,0.24,4.252543661374935e6
0.55,0.25,0.1,4.258186959637279e6
0.27,0.71,0.12,4.261142070611388e6
0.52,0.19,0.04,4.256833339202978e6
0.89,0.03,0.9,4.264472540406841e6
0.23,0.59,0.22,4.257081343048772e6
0.31,0.56,0.23,4.258367553629491e6
0.71,0.68,0.72,4.266976698118334e6
0.02,0.95,0.12,4.274332612301222e6
0.95,0.32,0.58,4.267207652223807e6
0.56,0.86,0.23,4.268821816077878e6
0.12,0.78,0.6,4.260885044412865e6
0.94,0.38,0.45,4.267386339542915e6
0.19,0.91,0.58,4.265042128407736e6
1.0,0.81,0.43,4.273123748308023e6
0.34,0.1,0.74,4.249726641186994e6
0.13,0.4,0.98,4.250037060004756e6
0.77,0.47,0.17,4.26486046171697e6
0.08,0.56,0.93,4.255270880564304e6
0.39,0.7,0.85,4.263167567635656e6
0.01,0.53,0.62,4.272457195084427e6
0.03,0.2,0.49,4.247758564267126e6
0.3,0.68,0.33,4.261023887079544e6
0.42,0.56,0.24,4.260591532241255e6
0.15,0.93,0.23,4.2651275567313265e6
0.51,0.33,0.11,4.25836902097694e6
0.44,0.43,0.43,4.258536824376538e6
0.73,0.82,0.57,4.269774941762829e6
0.74,0.18,0.6,4.261529173983768e6
0.94,0.91,0.39,4.273812900988986e6
0.53,0.53,0.56,4.2617739305580165e6
0.28,0.15,0.19,4.24911093463869e6
0.25,0.68,0.79,4.259904680294681e6
0.79,0.05,0.53,4.26054853303534e6
0.08,0.26,0.66,4.245990587963436e6
0.39,0.29,0.34,4.255224582902872e6
0.85,0.73,0.47,4.269801032832611e6
0.86,0.09,0.77,4.263168166879572e6
0.88,0.05,0.63,4.263081872979646e6
