α_v,α_s,α_v_error,α_s_error,decay,MSE
0.79,0.74,0.67,0.85,0.74,3.141681144601072e7
0.31,0.02,0.14,0.72,0.57,3.156946979420512e7
0.22,0.22,0.45,0.4,0.87,3.1393332536168717e7
0.59,0.27,0.41,0.11,0.77,3.1408336365206033e7
0.06,0.58,0.76,0.84,0.91,3.1361196898673564e7
0.2,0.87,0.26,0.73,0.23,3.1331212005823024e7
0.16,1.0,0.91,0.81,0.72,3.1367191167198338e7
0.87,0.99,0.82,0.72,0.84,3.1424127216284227e7
0.59,0.16,0.61,0.37,0.45,3.145930822084939e7
0.49,0.53,0.9,0.99,0.48,3.1397344591374118e7
0.87,0.48,0.48,0.38,0.46,3.1431387281663794e7
0.54,0.85,0.8,0.59,0.14,3.1372780789927367e7
0.75,0.97,0.07,0.06,0.1,3.136560313348995e7
0.29,0.74,0.64,0.23,0.79,3.1332618690363158e7
0.53,0.2,0.12,0.36,0.79,3.1414608636143833e7
0.45,0.6,0.78,0.22,0.35,3.1359453214562446e7
0.75,0.9,0.87,0.45,0.96,3.140280517866488e7
0.04,0.56,0.16,0.04,0.62,3.1328490803072475e7
0.76,0.3,0.67,0.86,0.54,3.145401708107175e7
0.79,0.21,0.62,0.41,0.29,3.1468404160374682e7
0.57,0.25,0.51,0.96,0.05,3.143230752847727e7
0.54,0.5,0.88,0.7,0.73,3.1398144567620732e7
0.32,0.44,0.4,0.6,0.82,3.1355095326345317e7
0.53,0.7,0.37,0.77,0.44,3.1363797152449444e7
0.87,0.75,0.63,0.03,0.91,3.140842428816478e7
0.78,0.34,0.03,1.0,0.84,3.1432151588905785e7
0.41,0.78,0.56,0.64,0.16,3.1349606657227382e7
0.73,0.73,0.67,0.49,0.74,3.1398789558583416e7
0.85,0.26,0.4,0.8,0.28,3.146392093144185e7
0.5,0.28,0.3,0.14,0.16,3.1387274121563036e7
0.3,0.01,0.13,0.65,0.07,3.156414674959591e7
0.84,0.5,0.76,0.14,0.71,3.142987546087979e7
0.49,0.31,0.43,0.19,0.28,3.1385335926690087e7
0.27,0.59,0.42,0.27,0.81,3.1329471149832886e7
0.05,0.95,0.73,0.21,1.0,3.1342957146115016e7
0.97,0.54,0.7,0.51,0.45,3.1450261627281018e7
0.38,0.43,0.98,0.89,0.54,3.139636181200075e7
0.29,0.42,0.28,0.41,0.67,3.1344446350670602e7
0.03,0.45,0.8,0.34,0.31,3.1352187122367226e7
0.8,0.54,0.8,0.77,0.08,3.143443888770374e7
0.14,0.26,0.45,0.24,0.61,3.1371931124808513e7
0.93,0.27,0.48,0.01,0.76,3.1462673665233154e7
0.67,0.96,0.53,0.66,0.68,3.1384249695765663e7
0.55,0.8,0.7,0.73,0.68,3.137515092498203e7
0.9,0.58,0.61,0.01,0.06,3.1424122984898385e7
0.67,0.67,0.79,0.48,0.93,3.1396494004878465e7
0.93,0.2,0.83,0.88,0.17,3.1499973509412456e7
0.87,0.69,0.91,0.68,0.4,3.1435849032870255e7
0.49,0.47,0.19,0.05,0.35,3.1347283440010194e7
