α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.05,1.0,0.81,0.54,0.56,0.51,0.23,0.19,4.286274049511324e7
0.7,0.12,0.21,0.74,0.58,0.48,0.82,0.1,4.1653867341631256e7
0.1,0.52,0.2,0.48,0.71,0.56,0.54,0.48,4.263530994836275e7
0.04,0.03,0.84,0.72,0.86,0.11,0.45,0.95,4.307235456987718e7
1.0,0.11,0.53,0.93,0.56,0.75,0.82,1.0,4.190305607201419e7
0.15,0.22,0.18,0.66,0.51,0.7,0.81,0.13,4.3274504640595116e7
0.58,0.55,0.85,0.21,0.46,0.62,0.96,0.44,4.2624109168655366e7
0.25,0.49,0.94,0.11,0.28,0.51,0.72,0.27,4.3298955214255355e7
0.21,0.52,0.81,0.22,0.79,0.23,0.48,0.41,4.3274042280742094e7
0.78,0.45,0.52,0.64,0.23,0.52,0.43,0.16,4.1975170437660076e7
