α_v,α_s,decay,MSE
0.44,0.69,0.91,1.1213351257493567e7
0.83,0.83,0.83,1.1105644643051824e7
0.85,0.17,0.58,1.1209665346730683e7
0.48,0.5,0.41,1.1061262194741564e7
0.17,0.53,0.58,1.1263508283443335e7
0.38,0.89,0.37,1.1268894192852164e7
0.72,0.89,0.74,1.1205706287871864e7
0.48,0.77,0.63,1.1223938154504796e7
0.37,0.21,0.62,1.1056823127582833e7
0.16,0.07,0.96,1.1100668540500108e7
0.07,0.87,0.75,1.127188840788591e7
0.85,0.15,0.93,1.1220755709863644e7
0.36,0.04,0.97,1.1174845679983977e7
0.48,0.24,0.1,1.1013487770921038e7
0.15,0.94,0.52,1.1276439717704393e7
0.83,0.89,0.63,1.1142698915317412e7
0.68,1.0,0.65,1.1265375072402496e7
0.18,0.98,0.4,1.1277322183042005e7
0.96,0.58,0.33,1.1149915065007832e7
0.66,0.67,0.37,1.106316061151849e7
0.87,0.26,0.45,1.1185426014251914e7
0.71,0.16,0.02,1.1066588278984863e7
0.63,0.91,0.18,1.1231772779229894e7
0.08,0.9,0.24,1.1274423999967918e7
0.08,0.62,0.22,1.1279038173082428e7
0.89,0.61,0.29,1.1099279371051192e7
0.99,0.49,0.67,1.1204398221120048e7
0.04,0.29,0.55,1.1273573699605245e7
0.36,0.07,0.27,1.1151695336297259e7
0.63,0.3,0.32,1.1076730818873482e7
0.93,0.62,0.84,1.1176752042022232e7
0.89,0.5,0.02,1.1121390624996051e7
0.85,0.88,0.28,1.1097522552924143e7
0.22,0.03,0.39,1.1166176843073623e7
0.38,0.4,0.31,1.104795346533304e7
0.43,0.91,0.51,1.1268069647211518e7
0.57,0.08,0.18,1.1181023275081608e7
0.35,0.33,0.29,1.1022831618093256e7
0.54,0.47,0.14,1.100752505502786e7
0.08,0.85,0.57,1.1274242138262134e7
0.23,0.27,0.43,1.1081130899924498e7
0.43,0.48,0.37,1.1072848525381476e7
0.4,0.92,0.06,1.1265103686984729e7
0.67,0.97,0.36,1.1255120378954558e7
0.37,0.2,0.2,1.1017107278688746e7
0.61,0.13,0.82,1.1176646178987704e7
0.11,0.84,0.09,1.1278567721324379e7
0.34,0.25,1.0,1.107480989136493e7
0.5,0.93,0.3,1.1260898890711997e7
0.41,0.22,0.31,1.1034580570528839e7
0.77,0.07,0.45,1.1222670499837741e7
0.33,0.66,0.19,1.1221995980357846e7
0.28,0.32,0.76,1.110639494135359e7
0.64,0.02,0.67,1.1224237312097121e7
0.83,0.36,0.1,1.1084463850842236e7
0.55,0.01,0.97,1.1214538623520441e7
0.26,0.67,0.74,1.1263646671775054e7
0.9,0.71,0.38,1.1099013716479473e7
0.58,0.3,0.09,1.1019455236119997e7
0.8,0.01,0.82,1.1242265573182395e7
0.54,0.21,0.02,1.103160460014756e7
0.62,0.13,0.12,1.1138412912410408e7
0.56,0.71,0.91,1.1167555150888141e7
0.2,0.91,0.99,1.127831871514615e7
0.1,0.64,0.37,1.1278892690973353e7
0.99,0.28,0.79,1.1225651067718398e7
0.34,0.3,0.68,1.105702144236575e7
0.1,0.27,0.24,1.1223553624854967e7
0.19,0.65,0.06,1.1265604884830005e7
0.26,0.76,0.11,1.1264158469294429e7
0.66,0.08,0.27,1.1199466139383312e7
0.88,0.37,0.36,1.1153589016561214e7
0.53,0.11,0.74,1.116658591728359e7
0.16,0.63,0.29,1.1272091476539653e7
0.76,0.87,0.94,1.1176354938587576e7
0.94,0.63,0.77,1.1177604094802374e7
0.44,0.54,0.45,1.1111078288894076e7
0.33,0.79,0.61,1.1265890769846514e7
0.64,0.52,0.19,1.1011983536775269e7
0.6,0.34,0.03,1.1030085816204574e7
0.66,0.08,0.34,1.1201442899197802e7
0.24,0.36,0.05,1.1111136275326401e7
0.32,0.9,0.11,1.1271390938479558e7
0.75,0.67,0.87,1.1088064966474636e7
0.97,0.8,0.35,1.1135506461749554e7
0.27,0.32,0.11,1.1051784117871366e7
0.62,0.05,0.09,1.1203649506081857e7
0.17,0.99,0.93,1.1274787826253986e7
0.62,0.21,0.67,1.1142347104637228e7
0.74,0.11,0.14,1.1179604629731849e7
0.78,0.85,0.67,1.1138148400720594e7
0.09,0.49,0.82,1.1277225294404313e7
0.68,0.15,0.32,1.1167709734435871e7
0.99,0.62,0.73,1.1201323694386767e7
0.29,0.71,0.88,1.1264529040694352e7
0.09,0.21,0.66,1.1222551629656237e7
0.66,0.46,0.65,1.1072766097488914e7
0.23,0.96,0.68,1.1278627834250906e7
0.14,0.62,0.8,1.1277528222646892e7
0.75,0.85,0.15,1.1136540383859264e7
0.26,0.59,0.59,1.1245405403052941e7
0.25,0.18,0.05,1.0970316338687502e7
0.55,0.68,0.57,1.1140431782514505e7
0.12,0.8,0.37,1.1278696939090546e7
0.19,0.1,0.4,1.1046972776244506e7
0.01,0.83,0.61,1.1267345680366375e7
0.97,0.45,0.16,1.1133325791033033e7
0.39,0.46,0.26,1.10749015640013e7
0.32,0.56,0.17,1.1182678805640731e7
0.52,0.71,0.34,1.1162208464667998e7
0.4,0.66,0.88,1.1217678029959548e7
0.42,0.34,0.95,1.1072074752714448e7
0.95,0.27,0.47,1.1203991554521512e7
0.86,0.68,0.78,1.112189875899766e7
0.05,0.61,0.4,1.1278665478193045e7
0.71,0.37,0.55,1.1108531893988667e7
0.38,0.75,0.98,1.1252870695494719e7
0.66,0.04,0.52,1.122038940897891e7
0.58,0.82,0.8,1.1215503031779647e7
0.4,0.36,0.04,1.1009356624812566e7
1.0,0.78,0.39,1.117239807469764e7
0.68,0.9,0.84,1.1226668878493067e7
0.61,0.22,0.35,1.111304584243679e7
0.99,0.27,0.07,1.1127430794000108e7
0.55,0.74,0.83,1.1186650693782413e7
0.14,0.91,0.11,1.1278696430956265e7
0.87,0.03,0.84,1.1244962235477138e7
0.39,0.67,0.32,1.1205514287077278e7
0.29,0.92,0.98,1.1278934791637108e7
0.99,0.65,0.6,1.119191470623063e7
0.77,0.81,0.06,1.109610709953516e7
0.68,0.11,0.87,1.1199037034543155e7
0.42,0.05,0.72,1.1179017739963822e7
0.2,0.06,0.83,1.1120610420144292e7
0.51,0.13,0.82,1.1152393898763353e7
0.77,0.62,0.05,1.1050522077593222e7
0.5,0.98,0.93,1.1273238719494611e7
0.55,0.67,0.6,1.113593874922713e7
0.76,0.98,0.51,1.125201241773206e7
0.17,0.72,0.95,1.1278720944291757e7
0.36,0.74,0.51,1.1248211426438255e7
0.45,0.01,0.73,1.1206589666336156e7
0.07,0.86,0.48,1.1273413856171139e7
0.32,0.66,0.85,1.124710146496103e7
0.57,0.54,0.45,1.1048951900731549e7
0.28,1.0,0.75,1.1278904050374648e7
0.01,0.84,0.76,1.1266367505653188e7
0.13,0.72,0.52,1.127912754056802e7
0.66,0.85,0.06,1.1181852965445595e7
0.77,0.54,0.52,1.1085293168171804e7
0.19,0.23,0.64,1.110786648085545e7
0.74,0.55,0.17,1.1026290251685705e7
0.6,0.63,0.67,1.1092345179238716e7
0.34,0.21,0.05,1.097746828412985e7
0.39,0.72,0.5,1.1232901361596745e7
0.74,0.04,0.61,1.1229312258000154e7
0.28,0.86,0.21,1.1273438528259985e7
0.51,0.2,0.97,1.1122230035068884e7
0.78,0.09,0.1,1.1187767122500714e7
0.94,0.88,0.05,1.1094029675111819e7
0.31,0.91,0.27,1.1275346492769593e7
0.06,0.37,0.27,1.1271981178759083e7
0.86,0.75,0.84,1.1109960098984655e7
0.27,0.39,0.8,1.1162716483199373e7
0.21,0.14,0.44,1.1028881995739803e7
0.76,0.97,0.81,1.1248418274925096e7
0.28,0.79,0.9,1.127431103538637e7
0.84,0.15,0.51,1.1210380681673206e7
0.76,0.4,0.25,1.1079914764727348e7
0.22,0.11,0.73,1.1073915894973658e7
0.63,0.31,0.71,1.1108509143438458e7
0.93,0.93,0.09,1.1087654379671592e7
0.18,0.82,0.7,1.1279142758549675e7
0.65,0.47,0.71,1.1072510259544311e7
0.32,0.19,0.95,1.1075850626331307e7
0.76,0.34,0.98,1.115771507670601e7
0.09,0.76,0.75,1.1277106290121129e7
0.1,0.71,0.28,1.1279142937891163e7
0.11,0.84,0.06,1.1278541922296325e7
0.72,0.67,0.78,1.1081537312708862e7
0.46,0.42,0.04,1.102177753134402e7
0.76,0.2,0.38,1.116975619915677e7
0.02,0.77,0.59,1.12710319252707e7
0.63,0.19,0.06,1.1070241430286475e7
0.14,0.65,0.6,1.1277867721470425e7
0.19,0.79,0.86,1.1279055586346284e7
0.9,0.21,0.51,1.120733828083016e7
0.09,0.03,0.96,1.1122274831285825e7
0.64,0.57,0.85,1.1077157912014816e7
0.9,0.98,0.61,1.1228638343547724e7
0.57,0.31,0.96,1.1099952775587965e7
0.88,0.01,0.7,1.1249644557543486e7
0.83,0.36,0.88,1.1174654050585195e7
0.13,0.43,0.03,1.1251369241589986e7
0.03,0.12,0.22,1.1241446822092228e7
0.75,0.54,0.85,1.1102637618239865e7
0.64,0.98,0.02,1.1258122761843657e7
0.92,0.98,0.61,1.1219239050296167e7
0.14,0.71,0.1,1.1277459828575712e7
0.98,0.21,0.47,1.1219686513007855e7
0.85,0.53,0.07,1.106598109448105e7
0.09,0.11,0.09,1.1048510538288206e7
