"","α_v","α_s","α_v_error","α_s_error","α_v_CCC","α_s_CCC","CCC","decay","MSE"
"1",0.32,0.34,0.62,0.69,0.67,0.9,0.11,0.06,8473084.78535952
"2",0.27,0.11,0.39,0.51,0.02,0.19,0.05,0.01,25305044.1173265
"3",0.36,0.66,0.48,0.95,0.27,0.07,0.68,0.21,31343058.3507735
"4",0.7,0.12,0.21,0.74,0.58,0.48,0.82,0.1,41653867.3416313
"5",0.85,0.15,0.55,0.59,0.07,0.55,0.02,0.02,37086521.8408735
"6",0.97,0.99,0.96,0.1,0.91,0.9,0.14,0.99,10388661.6199896
"7",0.53,0.17,0.53,0.8,0.47,0.48,0.1,0.96,14496298.3508992
"8",0.26,0.85,0.49,0.83,0.52,0.03,0.18,0.07,16693466.1616332
"9",0.15,0.32,0.56,0.99,0.11,0.76,0.29,0.23,16329578.9017108
"10",0.67,0.05,0.37,0.08,0.06,0.3,0.01,0.02,3369659.80689069
"11",0.82,0.66,0.61,0.88,0.26,0.63,0.15,0.2,34946757.3922403
"12",0.22,0.4,0.09,0.73,0.06,0.45,0.14,0.02,8146865.76167891
"13",0.19,0.72,0.42,0.74,0.24,0.41,0.95,0.99,18746577.9740279
"14",0.38,0.12,0.66,0.06,0.85,0.69,0.84,0.24,36314509.8595861
"15",0.89,0.65,0.39,0.45,0.65,0.31,0.32,0.94,37937286.7042787
"16",0.78,0.95,0.33,0.58,0.02,0.69,0.05,0.01,24139216.5621286
"17",0.32,0.48,0.14,0.83,0.49,0.21,0.17,0.09,20692584.446365
"18",0.03,0.01,0.77,0.53,0.26,0.43,0.99,0.02,5209971.5559779
"19",0.44,0.11,0.81,0.84,0.17,0.91,0.61,0.24,16252941.5800716
"20",0.95,0.62,0.29,0.33,0.07,0.68,0.15,0.05,4339547.07081614
"21",0.02,0.74,0.8,0.79,0.27,0.47,0.09,0.01,12797208.8451656
"22",0.27,0.87,0.91,0.2,0.37,0.14,0.44,0.89,28536179.0699756
"23",0.7,0.15,0.85,0.5,0.01,0.06,0.16,0.03,32800037.1056284
"24",0.18,0.27,0.26,0.57,0.82,0.19,0.06,0.14,15145002.2660524
"25",0.65,0.33,0.44,0.38,0.33,0.03,0.61,0.03,15313197.3637031
"26",0.44,0.43,0.78,0.84,0.21,0.05,0.08,0.8,24792474.6146148
"27",0.26,0.27,0.61,0.7,0.61,0.57,0.13,0.07,5703466.14726433
"28",0.96,0.8,0.48,0.92,0.99,0.24,0.41,0.31,31196535.0912742
"29",0.8,0.82,0.87,0.91,0.36,0.94,0.31,0.09,4003929.2232116
"30",0.83,0.38,0.89,0.76,0.04,0.1,0.16,0.24,12071775.869656
"31",0.57,0.01,0.61,0.14,0.67,1,0.02,0.53,30748310.2510185
"32",0.12,0.62,1,0.1,0.55,0.36,0.01,0.31,10895605.6510925
"33",0.83,0.83,0.6,0.06,0.86,0.02,0.11,0.01,27840551.6263337
"34",0.59,0.77,0.24,0.07,0.05,0.1,0.01,0.12,10996200.8689932
