"","α_v","α_s","decay","MSE"
"1",0.65,0.82,0.28,8649418.28125571
"2",0.03,0.13,0.01,25415484.9863033
"3",0.5,0.39,0.31,31203930.3655025
"4",0.39,0.08,0.14,41265992.0748213
"5",0.14,0.91,0.03,37879395.5480424
"6",0.65,0.42,0.06,10805940.4249904
"7",0.4,0.15,1,14606487.3702934
"8",0.49,0.49,0.06,16916373.34547
"9",0.2,0.52,0.18,16488018.0863185
"10",0.1,0.31,0.02,3410795.35680681
"11",0.47,0.71,0.08,35584400.0131815
"12",0.41,0.55,0.64,8436571.98359362
"13",0.04,0.85,0.05,18574469.247307
"14",0.11,0.01,0.21,36485722.3540309
"15",0.73,0.3,0.46,38009552.7917924
"16",0.02,0.54,0.01,24320163.9276548
"17",0.21,0.21,0.1,21202083.2184199
"18",0.21,0.07,0.01,5266432.0558977
"19",0.49,0.33,0.92,16154106.3635704
"20",0.06,0.16,0.01,4392723.06037255
"21",0.07,0.58,0.01,12885891.0833919
"22",0.01,0.05,0.03,28667435.815351
"23",0.01,0.01,0.01,33255866.8181057
"24",0.48,0.18,0.14,15283831.3664988
"25",0.76,0.34,0.19,15656917.0529927
"26",0.07,0.02,0.1,25194827.0075617
"27",0.26,0.28,0.26,5870838.96128009
"28",1,0.91,0.12,31613891.1934447
"29",0.41,0.46,0.07,4106092.78306225
"30",0.95,0.91,0.17,12259248.4551241
"31",0.68,0.04,0.36,31121177.5278812
"32",0.25,0.18,0.05,10970316.3386875
"33",0.47,0.06,0.01,28973905.5330188
"34",0.18,0.26,0.14,11125314.0662046
