"","α_v","α_s","α_v_error","α_s_error","decay","MSE"
"1",0.76,0.88,0.95,0.96,0.24,8605605.55372719
"2",0.05,0.24,0.35,1,0.01,25463870.5500965
"3",0.27,0.26,0.83,0.25,0.61,31213999.9797016
"4",0.61,0.19,0.93,0.12,0.3,41281362.8334739
"5",0.13,0.86,0.12,0.12,0.03,37846558.677327
"6",0.94,0.94,0.92,0.05,0.95,10467441.978065
"7",0.38,0.16,0.54,0.5,1,14598358.333285
"8",0.51,0.5,0.84,0.79,0.06,16911673.1745948
"9",0.14,0.37,0.49,0.98,0.16,16404296.3653211
"10",0.09,0.26,0.05,0.56,0.03,3407240.02060334
"11",0.56,0.76,1,0.95,0.11,35312753.1314569
"12",0.4,0.54,0.27,0.89,0.61,8368383.88940769
"13",0.17,0.7,0.51,0.64,0.2,18639531.2411635
"14",0.89,0.02,0.33,0.63,0.14,36745821.4002386
"15",0.91,0.48,0.31,0.87,0.08,37297788.4968783
"16",0.02,0.67,0.03,0.56,0.01,24332299.288619
"17",0.19,0.17,0.01,0.33,0.11,21048730.2643775
"18",0.09,0.04,0.82,0.48,0.02,5215244.63155805
"19",0.26,0.11,0.58,0.54,0.66,16124775.6480998
"20",0.09,0.2,0.66,0.62,0.01,4392448.74708131
"21",0.05,0.55,0.67,0.8,0.01,12843918.7530478
"22",0.05,0.23,0.05,0.87,0.01,28682480.8138424
"23",0.05,0.07,0.98,1,0.01,33330863.5986401
"24",0.4,0.15,0.99,0.1,0.15,15278323.0015211
"25",0.6,0.35,0.73,0.42,0.5,15728180.7757731
"26",0.23,0.07,0.91,0.53,0.37,25174010.5353561
"27",0.4,0.44,0.82,0.88,0.18,5770833.98952411
"28",0.99,0.91,0.43,1,0.46,31515343.2920263
"29",0.5,0.49,0.84,0.84,0.08,4086938.82609902
"30",0.93,0.85,1,0.97,0.18,12237984.8510057
"31",0.85,0.01,0.06,0.9,0.01,31014211.7637839
"32",0.35,0.25,0.96,0.64,0.1,10954958.8495171
"33",0.5,0.05,0.18,0.01,0.01,28871835.3335244
"34",0.18,0.26,0.56,0.44,0.13,11116674.2720213
