subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,13626.062265960269,13560.551040151811,13534.893822628392,13528.51572912043,13539.724457653312
sub02,13915.35840936367,13871.871964419981,13877.490688170672,13950.805376889775,13950.763806686218
sub04,14649.73993711089,14651.50734627444,14650.842248178977,14655.062371037237,14654.794609709097
sub13,14623.14871899861,14624.268302486993,14596.14507207259,14593.937265469036,14624.33915520943
sub14,14657.020984967863,14645.670843986714,14644.252126771655,14651.18809687065,14653.041103079184
sub15,15353.233523299932,15319.785575318847,15329.573723764363,15351.916058330333,15324.009421477242
sub16,15097.750299442992,15082.175028784355,15098.578741522851,15070.068535181661,15055.632401759189
sub33,14877.935295372417,14819.954130164957,14821.50643867328,14834.445203237645,14858.437331873316
sub34,14775.564382134842,14768.960396609486,14792.677116278379,14775.725787901443,14787.253927787073
sub35,15017.668392936248,14997.228235245862,14985.360971992715,14999.835134431587,14995.427303778899
sub36,16751.791331380806,16702.89262952248,16738.482497811594,16726.337197322628,16739.8901162147
sub37,15075.188768341786,15033.14614737642,15104.314389033876,15032.061962351218,15038.504146721929
sub38,14492.141689995715,14475.651502959514,14481.313162297933,14481.246821543047,14482.29365476454
sub39,14813.8581520127,14708.10051421296,14680.459597992807,14710.06899216511,14666.4515088142
sub40,14354.958083105419,14350.139910178359,14383.529366041372,14356.740289952972,14368.511825254795
sub09,14459.339022064723,14410.098004625524,14404.434256314466,14453.778693733899,14394.098729982883
sub10,14894.738507178017,14873.763357407463,14882.546238868645,14883.665759979787,14888.41323748116
sub11,15598.063109622512,15569.688410035908,15571.435707327473,15592.9178090542,15584.826203553703
sub12,14791.98437714024,14799.133346422634,14789.171538039402,14791.525147248545,14802.021477610935
sub17,13752.16140562253,13743.942726128145,13731.031099171567,13751.96927849796,13756.767359949094
sub18,15913.054620655425,15916.530658103442,15912.86110969855,15916.498761741908,15921.773533900769
sub19,15509.64454853768,15501.879165000388,15503.558174190806,15505.879073042119,15514.809085121937
sub20,15057.025985542212,15005.087479859329,15004.409262026124,15006.63762943173,15024.148945542833
sub41,14937.414595515404,14881.536939010213,14901.947766862238,14885.396728029744,14884.900898655633
sub42,15352.209341040352,15357.418206794437,15358.692974115891,15359.119893490559,15363.501969198982
sub43,16008.532974377922,16013.625938008347,16008.77868241554,16010.287421813347,16008.856450429514
sub44,15203.884749349723,15216.268265771758,15201.058393500092,15201.51882674664,15221.989082357308
sub45,14287.776776595254,14222.284558707965,14221.849969836623,14297.286529647417,14264.357648939464
sub46,15569.063030667532,15563.113592542493,15568.950137770886,15566.798805145283,15574.699230378345
sub47,14683.020358347561,14632.972178166705,14651.77347402875,14637.643387223918,14645.600859561255
sub48,15308.311325045,15289.490547489617,15266.768619336743,15274.982864793923,15294.953061938264
sub05,14423.818638898923,14425.213818138345,14427.490363743602,14431.584281037534,14430.615491169276
sub06,13905.416431681091,13939.151537254456,13865.366455190431,13870.455967878695,13876.237697220316
sub07,15640.376521768892,15652.333607657407,15652.38476132784,15656.1359953369,15658.198018296429
sub08,16065.1593135523,16069.360056237749,16069.580081143584,16070.281447684942,16073.021223713933
sub21,14133.901442015478,14126.25790934333,14150.313289467933,14122.33815591354,14142.950147486277
sub22,14793.392703278194,14788.379323181856,14797.326264824304,14797.287946405948,14816.239633903977
sub23,13691.340586039783,13660.889232810452,13780.811483530795,13699.83125804004,13682.524919878608
sub24,14412.149480318803,14407.621322859242,14405.41811431504,14412.80986544508,14417.416740904033
sub25,13888.356684047318,13887.223387866565,13882.693951072068,13886.470889234804,13893.064426602035
sub26,15500.439440261145,15466.830299971543,15540.574780982883,15520.263985714568,15443.05139055315
sub27,15401.844870965413,15364.366750698025,15323.676000116542,15317.433318681584,15390.268185583967
sub28,14700.00637475761,14699.062871175725,14752.015728242402,14733.605614149934,14706.781332031953
sub29,12749.902454616024,12747.234182685832,12716.060517553315,12723.831133314194,12810.239945253225
sub30,15089.663743384035,15084.754889439851,15080.628601758677,15083.76004107756,15083.08801464358
sub31,14569.902417564585,14545.983509236423,14547.500833030048,14601.771363346634,14553.238783262856
sub32,14076.346262918445,14042.62745173475,14041.143994979037,14041.348555013596,14045.920451038342
