subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,-6812.031132980134,-6778.275520075906,-6764.446911314196,-6760.257864560215,-6764.862228826656
sub02,-6956.679204681835,-6933.935982209991,-6935.745344085336,-6971.402688444888,-6970.381903343109
sub04,-7323.869968555445,-7323.75367313722,-7322.421124089487,-7323.531185518617,-7322.397304854549
sub13,-7310.574359499305,-7310.1341512434965,-7295.072536036295,-7292.968632734518,-7307.169577604715
sub14,-7327.510492483933,-7320.835421993357,-7319.1260633858265,-7321.594048435325,-7321.520551539592
sub15,-7675.616761649966,-7657.892787659423,-7661.786861882181,-7671.958029165165,-7657.004710738621
sub16,-7547.875149721496,-7539.087514392178,-7546.289370761426,-7531.0342675908305,-7522.816200879594
sub33,-7437.967647686209,-7407.9770650824785,-7407.75321933664,-7413.222601618822,-7424.218665936658
sub34,-7386.782191067421,-7382.480198304743,-7393.338558139189,-7383.862893950722,-7388.626963893536
sub35,-7507.834196468124,-7496.614117622931,-7489.680485996359,-7495.9175672157935,-7492.7136518894495
sub36,-8374.895665690403,-8349.44631476124,-8366.241248905797,-8359.168598661314,-8364.94505810735
sub37,-7536.594384170893,-7514.57307368821,-7549.157194516938,-7512.030981175609,-7514.252073360964
sub38,-7245.0708449978565,-7235.825751479757,-7237.6565811489645,-7236.623410771524,-7236.14682738227
sub39,-7405.92907600635,-7352.05025710648,-7337.229798996403,-7351.034496082555,-7328.2257544071
sub40,-7176.4790415527095,-7173.0699550891795,-7188.764683020686,-7174.370144976486,-7179.255912627397
sub09,-7228.6695110323635,-7203.049002312762,-7199.217128157233,-7222.889346866949,-7192.0493649914415
sub10,-7446.369253589009,-7434.88167870373,-7438.273119434322,-7437.832879989894,-7439.20661874058
sub11,-7798.031554811256,-7782.844205017956,-7782.717853663737,-7792.4589045271,-7787.413101776851
sub12,-7394.992188570121,-7397.566673211317,-7391.585769019701,-7391.762573624273,-7396.0107388054685
sub17,-6875.080702811265,-6869.971363064074,-6862.5155495857825,-6871.98463924898,-6873.383679974547
sub18,-7955.527310327712,-7956.265329051721,-7953.430554849275,-7954.249380870954,-7955.886766950384
sub19,-7753.822274268838,-7748.939582500194,-7748.779087095403,-7748.939536521059,-7752.404542560966
sub20,-7527.512992771106,-7500.543739929664,-7499.204631013062,-7499.318814715865,-7507.074472771415
sub41,-7467.707297757703,-7438.7684695051075,-7447.973883431119,-7438.698364014872,-7437.450449327816
sub42,-7675.104670520176,-7676.709103397218,-7676.3464870579455,-7675.559946745279,-7676.750984599491
sub43,-8003.266487188961,-8004.812969004173,-8001.38934120777,-8001.143710906674,-7999.428225214757
sub44,-7600.942374674862,-7606.134132885879,-7597.529196750046,-7596.75941337332,-7605.994541178654
sub45,-7142.888388297627,-7109.142279353982,-7107.924984918312,-7144.643264823709,-7127.178824469733
sub46,-7783.531515333766,-7779.556796271247,-7781.475068885443,-7779.3994025726415,-7782.349615189172
sub47,-7340.510179173781,-7314.48608908335,-7322.886737014375,-7314.821693611959,-7317.800429780627
sub48,-7653.1556625225,-7642.745273744806,-7630.384309668371,-7633.4914323969615,-7642.476530969132
sub05,-7210.909319449462,-7210.6069090691735,-7210.745181871801,-7211.792140518767,-7210.307745584639
sub06,-6951.708215840546,-6967.575768627228,-6929.683227595216,-6931.2279839393495,-6933.118848610158
sub07,-7819.188260884446,-7824.166803828703,-7823.192380663921,-7824.06799766845,-7824.0990091482145
sub08,-8031.57965677615,-8032.680028118873,-8031.790040571792,-8031.140723842471,-8031.5106118569665
sub21,-7065.950721007739,-7061.128954671665,-7072.156644733967,-7057.16907795677,-7066.475073743139
sub22,-7395.696351639097,-7392.189661590928,-7395.663132412152,-7394.643973202974,-7403.1198169519885
sub23,-6844.670293019892,-6828.444616405226,-6887.405741765399,-6845.91562902002,-6836.262459939306
sub24,-7205.074740159402,-7201.810661429621,-7199.70905715752,-7202.40493272254,-7203.708370452016
sub25,-6943.178342023659,-6941.611693933282,-6938.346975536034,-6939.235444617402,-6941.532213301018
sub26,-7749.219720130573,-7731.415149985772,-7767.28739049144,-7756.131992857285,-7716.525695276575
sub27,-7699.9224354827065,-7680.183375349013,-7658.838000058271,-7654.716659340792,-7690.134092791984
sub28,-7349.003187378805,-7347.531435587863,-7373.007864121201,-7362.802807074967,-7348.390666015974
sub29,-6373.951227308013,-6371.617091342916,-6355.030258776656,-6357.915566657097,-6400.119972626611
sub30,-7543.831871692018,-7540.377444719927,-7537.314300879339,-7537.88002053878,-7536.544007321791
sub31,-7283.951208782292,-7270.9917546182105,-7270.750416515024,-7296.885681673317,-7271.619391631428
sub32,-7037.1731314592225,-7019.313725867375,-7017.571997489516,-7016.6742775068,-7017.960225519171
