subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,2311.163064146692,2258.324909382033,2214.1753247445554,2206.9055720087163,2259.2528760291
sub02,2961.6577758827543,2830.558653229457,2830.561182279353,2952.4683895855987,3003.6933509999126
sub04,4937.745581887352,4947.814957350174,4936.460153369038,4963.508730182763,4938.080378315237
sub13,4737.845163380218,4664.76219377396,4573.94658124357,4648.665417893553,4767.444817748151
sub14,5957.386731245462,5896.041613455577,5889.690925197545,5882.114933661643,6028.417018785333
sub15,9794.419189942575,9693.896989691491,9608.26530410961,9726.064044513154,9577.663816830573
sub16,8532.840889629291,8064.643844840783,7925.862677185457,8258.390399670587,8274.708705407136
sub33,6457.14756856687,6211.7014676578465,6350.134552208836,6394.4164063091175,6193.809331992031
sub34,6049.204434669395,6067.63410857941,6026.8399273021005,6078.780285142718,6012.960369484933
sub35,7340.7601750548765,7113.946334067254,7057.0162690286215,7247.4067951745865,7335.256987334426
sub36,31470.55953299411,31231.779751404974,30910.64333316654,31245.5181612038,30245.787794311684
sub37,6026.799068826008,5867.796276683087,5724.654589051196,5851.0772317900755,5756.821316811699
sub38,6887.020396335401,6877.221113120086,6792.695213324891,6954.499707217575,6852.8001716705785
sub39,6146.638045357926,5415.170299067326,5676.435271696159,5985.977152108434,5847.086966445094
sub40,3970.545432674096,3920.228094409216,3940.229118498025,3952.2351462188617,4008.1215743539733
sub09,4754.436979211152,4504.0771996864205,4538.8045046725765,4568.122841551951,4710.865964384172
sub10,6657.146844074239,6529.420858358794,6605.304242341445,6539.128085660897,6584.1704858379235
sub11,9161.49415598562,8875.368011201967,8782.26228246361,8986.1370740116,9091.655552133536
sub12,5600.527844944263,5546.9080870908165,5496.313410330347,5505.50689470493,5537.5131055083875
sub17,2737.169901995543,2674.980483638949,2679.673773088501,2707.087216947237,2688.6916744327386
sub18,13852.032311780691,13665.607218750845,13683.250103367434,13769.68550386592,13784.095256644934
sub19,10559.361166372526,10540.333559807685,10452.041173296302,10473.67225827136,10540.3991630149
sub20,7333.292317772281,7011.8924380727085,6995.788769477093,7007.185819020852,7369.176969931841
sub41,7167.092861639803,6849.17295953202,6838.177440019666,6822.905045199283,7234.866607943228
sub42,10221.520729516807,10219.814224789916,10244.899691265655,10262.824684159135,10271.364618087538
sub43,12558.98488675958,12442.65581357211,12437.152086164353,12442.450434891765,12467.406204166591
sub44,8508.704637518504,8274.123503781058,8449.693394188052,8277.770504683589,8232.08646334081
sub45,3847.205042668008,3679.1240748897103,3711.032412714304,3863.4550647621777,3843.2816822240266
sub46,11489.975012522713,11435.903113220878,11455.212123310735,11413.471327823318,11466.70921499638
sub47,4706.435375040434,4494.434138429205,4573.36353480938,4542.160629193098,4492.695725064104
sub48,9812.721945381914,9437.04913052338,9459.71281554587,9396.254542129542,9436.650727344268
sub05,4476.7665342565215,4475.332462796568,4475.574279891303,4499.830920065013,4500.852761535548
sub06,3164.4688332913206,3052.744587345229,3051.583010750865,3051.726139783006,3059.165978799334
sub07,12304.319601783282,12316.393289465372,12316.977008258467,12224.371640300908,12259.300173024829
sub08,12280.565091227729,12231.43393607405,12281.777785923345,12267.29158093209,12236.849259140037
sub21,3692.568744513855,3659.264746643437,3629.392108390069,3759.704850775913,3687.044073375
sub22,5986.647042410716,5960.061050084219,5974.148115409784,5975.634176757063,6126.7792298483655
sub23,2561.107234260949,2473.619020863805,2432.773706407137,2446.7863549140893,2571.7766599485158
sub24,4631.569690913526,4593.345647422923,4681.370080825852,4652.707449978528,4772.803000109058
sub25,2879.179327722488,2860.3914472545957,2853.573599069854,2856.2828157826552,2869.540251383742
sub26,10501.252862196137,10413.140375611642,9986.136024860702,10198.023267944496,10392.25898346627
sub27,9656.187229214042,9066.218221024486,9065.810097711254,9237.059392797386,9647.447252331564
sub28,5266.941109631865,5172.890035340561,5169.44393596585,5228.655167646598,5220.141350077152
sub29,1291.6447475930422,1255.7623792000254,1249.3158319354245,1264.661231360272,1278.5232842200874
sub30,6695.865346939937,6671.654273145809,6659.46514801151,6587.413869711551,6641.575065586421
sub31,5060.031597468516,4979.098300533551,4952.571051116678,4958.8596329133225,4954.472425723709
sub32,3239.2034173931206,3190.0547914594613,3132.6923815650603,3216.999071146245,3293.0599348198284
