subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,0.1623826448211314,0.17833907909471924,0.1944023066460372,0.19713602319792733,0.178001450012496
sub02,0.13178728672164575,0.16804315960580574,0.1680120945010879,0.13282744058792684,0.11720513520108546
sub04,0.09558060118385303,0.09373624960367356,0.09581604597712412,0.09086170858306386,0.09551927838400176
sub13,0.10099458515098024,0.11486206830325195,0.13253759450611147,0.11791642927543546,0.0953780551385377
sub14,0.07818677851535205,0.08767898426267384,0.08866165481082211,0.08983392198674645,0.06715013275432935
sub15,0.1192351866752588,0.12800829775474698,0.13572197621218862,0.12507290841315122,0.13855893878482395
sub16,0.10166657345388684,0.15099087433814296,0.1658956457510221,0.13059411588231795,0.12887619840907993
sub33,0.08273858667711298,0.11605839457811562,0.09622418597522607,0.09005757340386145,0.11874590509532468
sub34,0.0636207954319935,0.06076799632392527,0.06785891705937475,0.05904263763694895,0.06923115118002654
sub35,0.0870692976753833,0.11837595287271464,0.12235699479855955,0.0986791533964747,0.08775369915865637
sub36,0.039704438410270604,0.046989516256291775,0.056904114034349924,0.04657137246100507,0.07707723646213882
sub37,0.1037499646369825,0.12963681970360974,0.1485195386526419,0.1305596861536149,0.14373543870168393
sub38,0.0628216768159714,0.0641551527368095,0.0756573461998914,0.053589682063389536,0.06747832795568576
sub39,0.16594577865220886,0.26520064950364763,0.22995175983160265,0.18792228266858346,0.20659268879584314
sub40,0.11198445399811907,0.12323796547917433,0.11875345362462753,0.11607956375198847,0.10358052059160504
sub09,0.1179347294334926,0.1643826406440726,0.15793986928132664,0.15250059468034305,0.12601822705507848
sub10,0.05253226045109749,0.07022551749746675,0.05941989844067719,0.06888959647463877,0.06239709802808624
sub11,0.0643865101447817,0.09360701463458054,0.10311539549613646,0.0822874997578239,0.07151874615267427
sub12,0.04935273012926522,0.058454279003992686,0.0670423426714073,0.06601502703845298,0.06004900601869913
sub17,0.022373658320890773,0.044742235307399285,0.0429265678413796,0.033271915853348766,0.043626376704054885
sub18,0.024552152515676,0.03761023112358641,0.036163722385330284,0.030280598879913745,0.029265803219436393
sub19,0.0556249774979799,0.0573267088814855,0.06519898133857037,0.06325821188671199,0.05733565058596535
sub20,0.09520947833036676,0.1348641862322998,0.13685107644139272,0.13544489465829912,0.09050900323332456
sub41,0.05014895859742263,0.09228271585637704,0.09373994628640693,0.09576398876309956,0.04111562177824457
sub42,0.07209773806133468,0.0723107144580859,0.07007782029259901,0.06845078152697004,0.0676756178989788
sub43,0.016911384885101244,0.026130421406411086,0.02656119054534356,0.026146496110031614,0.02419324231820774
sub44,0.05592678369713322,0.08195445380376565,0.06247430515106345,0.08154980539479627,0.08661862390043773
sub45,0.07435334336300202,0.11479402279982287,0.10711680102946974,0.07044355026341798,0.07528677991104404
sub46,0.030207856688805657,0.034771704937929686,0.03314196027265415,0.036665022438185264,0.032171567366497844
sub47,0.0928971337638399,0.13302231611631274,0.11776096722006403,0.12381586233557952,0.1334742651226749
sub48,0.075152283793821,0.11055939571965157,0.11043993317417312,0.1144042802274734,0.11059694536813636
sub05,0.053186219097898335,0.053489518055031986,0.05339656354976108,0.04830821666882357,0.04809210222957061
sub06,0.05053118897645759,0.08399036294878026,0.08440150764935095,0.08435856319626844,0.08212631011812832
sub07,0.09810002643654424,0.09721503169828184,0.09717224541543644,0.10394669939457113,0.101399919742296
sub08,0.030889346779978344,0.034766491317764985,0.030793647982676694,0.033809717136098934,0.03433914562020235
sub21,0.08104332861471708,0.0893315779858761,0.09676587715750827,0.06433540157169293,0.08232253166444037
sub22,0.04602069896445393,0.050318352778330855,0.04807370676261047,0.04783691622183117,0.024693059308277362
sub23,0.08821463596427925,0.11903098110513655,0.1335360834053687,0.12858732239854076,0.08407255054814189
sub24,0.07257193189607558,0.08022593543598923,0.06259987401929301,0.06833929509712311,0.044291296086903735
sub25,0.05396380370194731,0.060137095872414774,0.06237729358151721,0.06148710346287334,0.057130996129686314
sub26,0.09555194977676673,0.10305267807397787,0.13984525182651042,0.12158202732350545,0.10485131981867712
sub27,0.0840174760441601,0.1399817287696924,0.1400204432036215,0.1237703519668788,0.0848465468647629
sub28,0.09730018979398036,0.11345033950289772,0.11403580862672467,0.1038930984782781,0.10535222864233362
sub29,0.08849100126948661,0.11381305787987606,0.1183623630315519,0.10753317032557996,0.0977507710630644
sub30,0.044387200857822114,0.04784252932745437,0.049739326751458535,0.05986505372084627,0.05205593987007795
sub31,0.04271671074610972,0.05801132243908536,0.06304665993618208,0.061856953106789174,0.06268694798424701
sub32,0.12849128647751407,0.1417147405190453,0.15714811467958212,0.13424387201613686,0.11400117327063065
