,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q,PE
0,1,419.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,-0.5
1,2,370.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6881823060289151,0.31181769397108494,-0.31181769397108494
2,3,366.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8055394514531096,0.19446054854689038,-0.19446054854689038
3,4,425.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8787275203675129,0.12127247963248713,-0.12127247963248713
4,5,428.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.07562980988231502,0.07562980988231502,0.924370190117685
5,6,376.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5764699621162198,0.4235300378837802,-0.4235300378837802
6,7,371.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7358716805191868,0.26412831948081317,-0.26412831948081317
7,8,411.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8352802330140696,0.16471976698593033,-0.16471976698593033
8,9,430.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.10272507578601449,0.10272507578601449,0.8972749242139855
9,10,414.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5595723954529699,0.44042760454703006,-0.44042760454703006
10,11,293.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7253337599778723,0.2746662400221277,-0.2746662400221277
11,12,385.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8287084128491833,0.17129158715081677,-0.17129158715081677
12,13,472.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8931765045959704,0.10682349540402962,-0.10682349540402962
13,14,523.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.06661891199763062,0.06661891199763062,0.9333810880023694
14,15,431.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4179105230857578,0.4179105230857578,0.5820894769142422
15,16,322.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6369884032475318,0.6369884032475318,0.3630115967524682
16,17,390.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2263868779682321,0.7736131220317679,-0.7736131220317679
17,18,377.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5175474805245652,0.48245251947543477,-0.48245251947543477
18,19,468.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.30087446414674,0.30087446414674,0.69912553585326
19,20,428.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.43599942477212517,0.5640005752278748,-0.5640005752278748
20,21,379.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6482692824681573,0.3517307175318427,-0.3517307175318427
21,22,431.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2193517224791485,0.2193517224791485,0.7806482775208515
22,23,346.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4868398913981029,0.5131601086018971,-0.5131601086018971
23,24,358.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6799751965956099,0.3200248034043901,-0.3200248034043901
24,25,393.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8004212075777866,0.19957879242221346,-0.19957879242221346
25,26,445.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8755356023627431,0.12446439763725689,-0.12446439763725689
26,27,400.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.0776204029054992,0.0776204029054992,0.9223795970945008
27,28,395.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5752285578639713,0.42477144213602863,-0.42477144213602863
28,29,323.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7350974968967428,0.2649025031032572,-0.2649025031032572
29,30,326.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8347974247103483,0.16520257528965165,-0.16520257528965165
30,31,410.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.10302617212980744,0.10302617212980744,0.8969738278701925
31,32,353.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.44061537888219937,0.44061537888219937,0.5593846211178006
32,33,425.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.34885204519968327,0.6511479548003167,-0.6511479548003167
33,34,368.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.593921092600354,0.406078907399646,-0.406078907399646
34,35,339.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7467548230486892,0.25324517695131077,-0.25324517695131077
35,36,407.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8420673458274859,0.15793265417251415,-0.15793265417251415
36,37,486.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9015076079463876,0.09849239205361242,-0.09849239205361242
37,38,362.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9385766588722931,0.06142334112770687,-0.06142334112770687
38,39,381.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9616942308271182,0.03830576917288171,-0.03830576917288171
39,40,336.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9761111667814467,0.0238888332185533,-0.0238888332185533
40,41,300.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9851020782282617,0.01489792177173828,-0.01489792177173828
41,42,343.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9907091287763499,0.009290871223650101,-0.009290871223650101
42,43,399.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.005794116079881773,0.005794116079881773,0.9942058839201182
43,44,410.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3799780278870892,0.3799780278870892,0.6200219721129108
44,45,338.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6133323568886956,0.6133323568886956,0.3866676431113044
45,46,365.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7588603743835972,0.7588603743835972,0.2411396256164028
46,47,420.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.150383203969515,0.849616796030485,-0.849616796030485
47,48,344.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.47014889980534513,0.5298511001946549,-0.5298511001946549
48,49,771.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.33043389642147913,0.33043389642147913,0.6695661035785209
49,50,415.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.417565116758118,0.582434883241882,-0.582434883241882
50,51,322.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6367729956383965,0.3632270043616035,-0.3632270043616035
51,52,410.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7734787862238792,0.22652121377612083,-0.22652121377612083
52,53,413.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8587333549695977,0.14126664503040232,-0.14126664503040232
53,54,400.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9119011210231762,0.08809887897682375,-0.08809887897682375
