,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q,PE
0,1,449.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5
1,2,373.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.32927710511281916,0.6707228948871808,-0.6707228948871808
2,3,372.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5582926136773189,0.44170738632268114,-0.44170738632268114
3,4,368.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.29088825895056414,0.29088825895056414,0.7091117410494359
4,5,367.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5330114774114615,0.5330114774114615,0.4669885225885385
5,6,387.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.30753725767773255,0.6924627423222675,-0.6924627423222675
6,7,406.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5439757456192795,0.4560242543807205,-0.4560242543807205
7,8,357.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3003166926874309,0.3003166926874309,0.6996833073125691
8,9,357.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5392206121447085,0.5392206121447085,0.4607793878552915
9,10,348.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3034482058572945,0.6965517941427055,-0.6965517941427055
10,11,288.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5412828833270993,0.4587171166729007,-0.4587171166729007
11,12,387.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.30209008848750407,0.30209008848750407,0.6979099115124959
12,13,303.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4596115105847568,0.5403884894152432,-0.5403884894152432
13,14,314.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.35587511486188117,0.35587511486188117,0.6441248851381188
14,15,365.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5758088449811862,0.5758088449811862,0.42419115501881377
15,16,361.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7206471289218839,0.7206471289218839,0.2793528710781161
16,17,380.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8160309906128868,0.8160309906128868,0.18396900938711325
17,18,320.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.12115356568292335,0.8788464343170767,-0.8788464343170767
18,19,451.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5787680194613006,0.5787680194613006,0.42123198053869937
19,20,355.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7225959057345555,0.7225959057345555,0.27740409426544455
20,21,334.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8173143657876617,0.8173143657876617,0.1826856342123383
21,22,305.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.12030839355827627,0.8796916064417237,-0.8796916064417237
22,23,405.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.42067538887764766,0.5793246111223523,-0.5793246111223523
23,24,404.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.38151666174195575,0.38151666174195575,0.6184833382580442
24,25,392.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5926951936357574,0.5926951936357574,0.4073048063642426
25,26,351.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7317677049236897,0.7317677049236897,0.2682322950763103
26,27,411.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8233544927590102,0.8233544927590102,0.17664550724098982
27,28,446.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8836693574890027,0.8836693574890027,0.11633064251099734
28,29,474.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.9233899655961291,0.9233899655961291,0.07661003440387093
29,30,333.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.9495481392977998,0.9495481392977998,0.0504518607022002
30,31,416.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9667747147208486,0.9667747147208486,0.03322528527915136
31,32,388.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9781193484934669,0.9781193484934669,0.021880651506533066
32,33,375.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.01440959517210727,0.9855904048278927,-0.9855904048278927
33,34,507.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3509352893426001,0.6490647106573999,-0.6490647106573999
34,35,350.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.42744429791231636,0.42744429791231636,0.5725557020876837
35,36,350.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6229410318014598,0.6229410318014598,0.37705896819854023
36,37,437.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7516862289895163,0.7516862289895163,0.24831377101048369
37,38,360.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.16352807935595903,0.836471920644041,-0.836471920644041
38,39,360.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5508621050756591,0.5508621050756591,0.44913789492434086
39,40,315.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.29578165167430504,0.704218348325695,-0.704218348325695
40,41,310.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.46376595820803146,0.46376595820803146,0.5362340417919685
41,42,378.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.35313918588841164,0.6468608141115884,-0.6468608141115884
42,43,369.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5740070874368296,0.4259929125631704,-0.4259929125631704
43,44,301.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.719460573905242,0.280539426094758,-0.280539426094758
44,45,384.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8152495798110129,0.18475042018898716,-0.18475042018898716
45,46,340.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8783318329435867,0.12166816705641324,-0.12166816705641324
46,47,395.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.08012508366543723,0.08012508366543723,0.9198749163345628
47,48,327.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6057874990330829,0.394212500966917,-0.394212500966917
48,49,490.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.25961030223534165,0.25961030223534165,0.7403896977646583
49,50,533.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4875867526706035,0.5124132473293965,-0.5124132473293965
50,51,377.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6625480985958346,0.33745190140416537,-0.33745190140416537
51,52,464.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.22223037041836005,0.22223037041836005,0.77776962958164
52,53,372.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4877965358533759,0.4877965358533759,0.5122034641466241
53,54,375.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.33731374780591605,0.662686252194084,-0.662686252194084
54,55,383.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.43641482144106303,0.43641482144106303,0.563585178558937
55,56,426.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.628848607839244,0.628848607839244,0.371151392160756
56,57,405.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2444233119385728,0.7555766880614272,-0.7555766880614272
57,58,377.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5024117909288034,0.4975882090711966,-0.4975882090711966
58,59,364.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6723111899575284,0.32768881004247163,-0.32768881004247163
59,60,268.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.21580084549729908,0.21580084549729908,0.784199154502701
60,61,399.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5164376548531394,0.4835623451468606,-0.4835623451468606
61,62,503.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6815479816969517,0.31845201830304826,-0.31845201830304826
62,63,314.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7902820825916756,0.2097179174083244,-0.2097179174083244
63,64,298.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8618893825309952,0.13811061746900472,-0.13811061746900472
64,65,353.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.09095332861107563,0.09095332861107563,0.9090466713889244
65,66,396.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5986565127347783,0.4013434872652217,-0.4013434872652217
66,67,384.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2643064432851515,0.2643064432851515,0.7356935567148485
67,68,411.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4844940892104378,0.5155059107895622,-0.5155059107895622
68,69,303.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6605114120533315,0.3394885879466685,-0.3394885879466685
69,70,434.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7764283610841647,0.22357163891583537,-0.22357163891583537
70,71,386.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.14723404409506952,0.14723404409506952,0.8527659559049305
71,72,329.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4384073894017171,0.4384073894017171,0.5615926105982829
72,73,360.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.36983917814110656,0.6301608218588934,-0.6301608218588934
73,74,332.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5850049376455774,0.41499506235442263,-0.41499506235442263
74,75,315.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7267032544636437,0.2732967455363563,-0.2732967455363563
75,76,367.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.17998072241393234,0.17998072241393234,0.8200192775860676
76,77,362.3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.4599728522795088,0.4599728522795088,0.5400271477204912
77,78,313.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.3556371517674721,0.6443628482325279,-0.6443628482325279
78,79,353.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5756521333834849,0.42434786661651513,-0.42434786661651513
79,80,336.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7205439258394264,0.2794560741605736,-0.2794560741605736
80,81,324.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.815963025788426,0.18403697421157394,-0.18403697421157394
81,82,375.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.12119832420421922,0.12119832420421922,0.8788016757957808
82,83,411.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4212614564513423,0.4212614564513423,0.5787385435486577
83,84,334.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.38113070447382236,0.6188692955261776,-0.6188692955261776
84,85,369.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.407558980148139,0.407558980148139,0.592441019851861
85,86,393.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6098454720661861,0.6098454720661861,0.3901545279338139
86,87,336.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.25693790700940955,0.7430620929905905,-0.7430620929905905
87,88,396.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.48934666979802804,0.48934666979802804,0.510653330201972
88,89,383.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.33629290057025163,0.6637070994297484,-0.6637070994297484
89,90,359.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5629128953138929,0.43708710468610706,-0.43708710468610706
90,91,362.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.28784555302637005,0.28784555302637005,0.71215444697363
91,92,334.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.531007690614605,0.531007690614605,0.46899230938539505
92,93,329.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.308856859909197,0.691143140090803,-0.691143140090803
93,94,348.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5448447752246336,0.4551552247753664,-0.4551552247753664
94,95,384.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.29974438958201427,0.29974438958201427,0.7002556104179858
95,96,443.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5388437195251112,0.5388437195251112,0.46115628047488877
96,97,375.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.30369641007873327,0.6963035899212667,-0.6963035899212667
97,98,398.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.45855366073787646,0.45855366073787646,0.5414463392621236
98,99,402.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6434282336676693,0.6434282336676693,0.3565717663323307
99,100,389.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7651781620342512,0.7651781620342512,0.23482183796574885
100,101,324.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.15464291004526654,0.8453570899547335,-0.8453570899547335
101,102,332.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5567134707337833,0.5567134707337833,0.4432865292662167
102,103,359.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2919282101845776,0.7080717898154224,-0.7080717898154224
103,104,391.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4663036583249496,0.4663036583249496,0.5336963416750504
104,105,506.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.35146797279212516,0.6485320272078748,-0.6485320272078748
105,106,422.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.42709349698391413,0.42709349698391413,0.5729065030160858
