,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,535.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,2,354.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.17209981628861887,0.8279001837113811,0.5,0.5,0.0,0.0,0.5,-0.5
2,3,397.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3477608487432402,0.3477608487432402,0.6522391512567598,0.8279001837113811,0.17209981628861887,0.6522391512567598,-0.6522391512567598,0.0,0.0
3,4,349.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.22450047621506614,0.7754995237849338,0.22450047621506614,0.6522391512567598,0.3477608487432402,-0.7754995237849338,0.7754995237849338,0.0,0.0
4,5,408.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5706823610558842,0.2669266511505971,0.7330733488494028,0.5706823610558842,0.4293176389441158,0.0,0.0,0.4293176389441158,-0.4293176389441158
5,6,332.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8522290264165082,0.3917875299495533,0.6082124700504467,0.8522290264165082,0.14777097358349184,0.0,0.0,0.14777097358349178,-0.14777097358349184
6,7,323.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5502414314301762,0.44975856856982377,0.5502414314301762,0.9491372851869815,0.0508627148130186,-0.44975856856982377,0.44975856856982377,0.0,0.0
7,8,331.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7085277242626262,0.15480673405019774,0.8451932659498023,0.7085277242626262,0.2914722757373739,0.0,0.0,0.2914722757373738,-0.2914722757373739
8,9,342.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8996753497847446,0.3397319292934485,0.6602680707065516,0.8996753497847446,0.10032465021525541,0.0,0.0,0.10032465021525538,-0.10032465021525541
9,10,309.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9654682922574692,0.42558993172324683,0.5744100682767532,0.9654682922574692,0.03453170774253081,0.0,0.0,0.03453170774253078,-0.03453170774253081
10,11,325.4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.9881141988827563,0.4654525181682072,0.5345474818317928,0.9881141988827563,0.01188580111724366,0.0,0.0,-0.9881141988827563,0.9881141988827563
11,12,340.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.5160398791260205,0.4839601208739795,0.5160398791260205,0.1169500507211535,0.8830499492788465,-0.4839601208739795,0.48396012087397955,0.0,0.0
12,13,344.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8334211042131408,0.1665788957868593,0.8334211042131408,0.3221556374043214,0.6778443625956786,-0.1665788957868593,0.16657889578685925,0.0,0.0
13,14,419.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5825704777317141,0.05733639472495895,0.9426636052750411,0.4174295222682859,0.5825704777317141,0.0,0.0,-0.4174295222682859,0.4174295222682859
14,15,383.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8563209118083641,0.29447790850081634,0.7055220914991837,0.14367908819163588,0.8563209118083641,0.0,0.0,-0.14367908819163588,0.14367908819163588
15,16,438.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.40457916668357186,0.40457916668357186,0.5954208333164281,0.049454289364593604,0.9505457106354064,0.5954208333164281,-0.5954208333164281,0.0,0.0
16,17,333.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2049436320563473,0.7950563679436526,0.2049436320563473,0.29081836486593204,0.709181635134068,-0.7950563679436526,0.7950563679436526,0.0,0.0
17,18,433.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5971199046943577,0.2736581097243984,0.7263418902756016,0.4028800953056423,0.5971199046943577,0.0,0.0,-0.4028800953056423,0.4028800953056423
18,19,456.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.13867118077688462,0.39491284549038747,0.6050871545096126,0.13867118077688462,0.8613288192231154,0.0,0.0,0.8613288192231154,-0.8613288192231154
