,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,495.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,2,443.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.4670107115876706,0.5329892884123294,0.5,0.5,0.0,0.0,-0.5,0.5
2,3,354.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5265788674434975,0.47342113255650253,0.5265788674434975,0.4670107115876706,0.5329892884123294,-0.47342113255650253,0.47342113255650253,0.0,0.0
3,4,309.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.47342113255650253,0.4421854799917064,0.5578145200082937,0.47342113255650253,0.5265788674434975,0.0,0.0,0.5265788674434975,-0.5265788674434975
4,5,337.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5465801033475934,0.4534198966524066,0.5465801033475934,0.5081640568163651,0.4918359431836348,-0.4534198966524066,0.45341989665240656,0.0,0.0
5,6,396.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5764961028327031,0.42350389716729697,0.5764961028327031,0.5065776315394015,0.49342236846059845,-0.42350389716729697,0.42350389716729686,0.0,0.0
6,7,372.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5052994776544674,0.39556171275250207,0.604438287247498,0.5052994776544674,0.4947005223455325,0.0,0.0,0.49470052234553263,-0.4947005223455325
7,8,379.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5841440214800061,0.415855978519994,0.5841440214800061,0.5379391140732409,0.462060885926759,-0.415855978519994,0.4158559785199939,0.0,0.0
8,9,391.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5305668516177975,0.38841839289321894,0.6115816071067812,0.5305668516177975,0.4694331483822024,0.0,0.0,0.4694331483822025,-0.4694331483822024
9,10,362.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5615393826623741,0.4101007361130244,0.5898992638869758,0.5615393826623741,0.4384606173376258,0.0,0.0,0.43846061733762587,-0.4384606173376258
10,11,366.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.42756980422691077,0.42756980422691077,0.5724301957730894,0.590468390187972,0.40953160981202796,0.5724301957730893,-0.5724301957730894,0.0,0.0
11,12,361.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4271112695557858,0.46533793387548,0.5346620661245202,0.5728887304442142,0.4271112695557858,0.0,0.0,-0.5728887304442142,0.5728887304442142
12,13,372.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5350903473306193,0.4720734060908982,0.5279265939091019,0.5350903473306193,0.46490965266938067,0.0,0.0,0.46490965266938067,-0.46490965266938067
13,14,344.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4342355754342085,0.4775000530965988,0.5224999469034013,0.5657644245657915,0.4342355754342085,0.0,0.0,-0.5657644245657915,0.5657644245657916
14,15,335.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.47156390698508144,0.48187220352386484,0.5181277964761353,0.5284360930149186,0.47156390698508144,0.0,0.0,-0.5284360930149186,0.5284360930149186
15,16,323.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5064293683449888,0.4853947653080682,0.5146052346919319,0.4935706316550112,0.5064293683449888,0.0,0.0,-0.4935706316550112,0.49357063165501125
16,17,390.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5389944561840343,0.48823282903207627,0.5117671709679238,0.46100554381596565,0.5389944561840343,0.0,0.0,-0.46100554381596565,0.4610055438159657
17,18,342.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5094805948352777,0.4905194051647223,0.5094805948352777,0.43058905412671034,0.5694109458732896,-0.4905194051647223,0.49051940516472226,0.0,0.0
18,19,365.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5559231319704502,0.4581556329070757,0.5418443670929243,0.4440768680295497,0.5559231319704502,0.0,0.0,-0.4440768680295497,0.4440768680295498
19,20,304.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5337132426840774,0.4662867573159227,0.5337132426840774,0.4147773082762082,0.5852226917237917,-0.4662867573159227,0.4662867573159226,0.0,0.0
20,21,320.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.435521820676033,0.435521820676033,0.564478179323967,0.4313376330464241,0.5686623669535759,0.564478179323967,-0.564478179323967,0.0,0.0
21,22,259.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4727652875964029,0.4727652875964029,0.5272347124035972,0.44467998439960854,0.5553200156003913,0.5272347124035971,-0.5272347124035972,0.0,0.0
22,23,399.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5445703266841454,0.5075514835733506,0.49244851642664955,0.45542967331585454,0.5445703266841454,0.0,0.0,-0.45542967331585454,0.4554296733158546
23,24,334.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5060840924602308,0.5060840924602308,0.49391590753976927,0.4253810716267552,0.5746189283732448,0.4939159075397692,-0.49391590753976927,0.0,0.0
24,25,330.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4613280388892355,0.5386719611107645,0.4613280388892355,0.4398808916027703,0.5601191083972297,-0.5386719611107645,0.5386719611107644,0.0,0.0
25,26,445.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.45156313185846025,0.5031311517413284,0.4968688482586717,0.45156313185846025,0.5484368681415397,0.0,0.0,0.5484368681415397,-0.5484368681415397
26,27,496.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5025227117977829,0.5025227117977829,0.49747728820221726,0.4877482158966121,0.5122517841033879,0.49747728820221715,-0.49747728820221726,0.0,0.0
27,28,392.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4901289612082511,0.5353455552759557,0.4646544447240443,0.4901289612082511,0.5098710387917489,0.0,0.0,0.5098710387917489,-0.5098710387917489
28,29,339.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.4715227313589059,0.5284772686410942,0.4715227313589059,0.5237695267118411,0.47623047328815893,0.47152273135890577,-0.4715227313589059,0.0,0.0
29,30,439.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.5191506737511979,0.6191029772425877,0.38089702275741244,0.5191506737511979,0.48084932624880206,0.0,0.0,0.48084932624880206,-0.48084932624880206
30,31,462.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.44912357203581005,0.595959094500308,0.40404090549969207,0.55087642796419,0.44912357203581005,0.0,0.0,-0.55087642796419,0.55087642796419
31,32,506.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.48546961475913897,0.5773124906740491,0.42268750932595095,0.514530385240861,0.48546961475913897,0.0,0.0,-0.514530385240861,0.514530385240861
32,33,373.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4377107376288785,0.5622892623711215,0.4377107376288785,0.4805824026896256,0.5194175973103744,-0.5622892623711215,0.5622892623711215,0.0,0.0
33,34,393.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5251902170760878,0.5251902170760878,0.4748097829239123,0.48435559632166036,0.5156444036783396,0.4748097829239122,-0.4748097829239123,0.0,0.0
34,35,488.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5126044104499007,0.5565174908158327,0.4434825091841674,0.48739558955009926,0.5126044104499007,0.0,0.0,-0.48739558955009926,0.4873955895500993
35,36,443.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.45446488939507773,0.5455351106049223,0.45446488939507773,0.45523792220096815,0.5447620777990317,-0.5455351106049223,0.5455351106049222,0.0,0.0
36,37,555.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4904585196006733,0.5095414803993267,0.4904585196006733,0.4639360110637809,0.536063988936219,-0.5095414803993267,0.5095414803993267,0.0,0.0
37,38,386.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5290560975259254,0.47592265868944933,0.5240773413105507,0.4709439024740745,0.5290560975259254,0.0,0.0,-0.4709439024740745,0.4709439024740746
38,39,365.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4806013256458785,0.4806013256458785,0.5193986743541216,0.4398716940245842,0.5601283059754157,0.5193986743541215,-0.5193986743541216,0.0,0.0
39,40,533.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5484442784623794,0.5148705109843779,0.48512948901562225,0.4515557215376206,0.5484442784623794,0.0,0.0,-0.4515557215376206,0.4515557215376206
40,41,424.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5782372823264635,0.5119808992340416,0.48801910076595856,0.42176271767353646,0.5782372823264635,0.0,0.0,-0.42176271767353646,0.42176271767353646
41,42,324.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.509652791797609,0.509652791797609,0.4903472082023911,0.39393541380373615,0.6060645861962638,0.49034720820239097,-0.4903472082023911,0.0,0.0
42,43,463.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.45799479725525266,0.5420052027447474,0.45799479725525266,0.4145456991455958,0.5854543008544042,-0.5420052027447474,0.5420052027447473,0.0,0.0
43,44,331.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49375552916391174,0.5062444708360883,0.49375552916391174,0.4311510297979906,0.5688489702020094,-0.5062444708360883,0.5062444708360883,0.0,0.0
