,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,562.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,338.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.8658012214139488,0.13419877858605123,-0.5,0.5,0.0,0.0
2,3,377.8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.7436604713168674,0.13419877858605123,0.8658012214139488,0.7436604713168674,0.2563395286831326,0.0,0.0,-0.7436604713168674,0.7436604713168674
3,4,509.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.7917446695108912,0.2563395286831326,0.7436604713168674,0.20825533048910883,0.7917446695108912,0.0,0.0,-0.20825533048910883,0.20825533048910883
4,5,472.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6623024249423516,0.3376975750576484,0.6623024249423516,0.055895221971345666,0.9441047780286543,-0.3376975750576484,0.3376975750576484,0.0,0.0
5,6,420.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.09063720420841556,0.09063720420841556,0.9093627957915844,0.20418147017043178,0.7958185298295682,0.9093627957915844,-0.9093627957915844,0.0,0.0
6,7,535.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3029550526815522,0.745341245263817,0.25465875473618305,0.3029550526815522,0.6970449473184478,0.0,0.0,0.6970449473184478,-0.6970449473184478
7,8,394.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.33657801025546474,0.6634219897445353,0.33657801025546474,0.8129148389005718,0.1870851610994282,-0.6634219897445353,0.6634219897445353,0.0,0.0
8,9,438.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.708432811770944,0.17806084142168888,0.8219391585783111,0.708432811770944,0.2915671882290561,0.0,0.0,0.29156718822905603,-0.2915671882290561
9,10,317.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7144439179599628,0.28555608204003724,0.7144439179599628,0.9217440789277828,0.07825592107221724,-0.28555608204003724,0.28555608204003724,0.0,0.0
10,11,449.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7809240511812111,0.07664255485518248,0.9233574451448175,0.7809240511812111,0.21907594881878892,0.0,0.0,0.2190759488187889,-0.21907594881878892
11,12,472.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7819987156433195,0.21800128435668056,0.7819987156433195,0.9412005505018766,0.05879944949812349,-0.21800128435668056,0.21800128435668054,0.0,0.0
12,13,380.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7938840216689591,0.05851101218171392,0.941488987818286,0.7938840216689591,0.206115978331041,0.0,0.0,0.2061159783310409,-0.206115978331041
13,14,411.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.20592385001558575,0.20592385001558575,0.7940761499844142,0.9446789749218106,0.055321025078189395,0.7940761499844142,-0.7940761499844142,0.0,0.0
14,15,407.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7776262186482945,0.7776262186482945,0.2223737813517055,0.7962010028160562,0.20379899718394381,0.2223737813517055,-0.2223737813517055,0.0,0.0
15,16,306.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9403154203060791,0.9403154203060791,0.05968457969392099,0.6972997128651385,0.3027002871348616,0.059684579693920936,-0.05968457969392099,0.0,0.0
16,17,317.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9839808046093079,0.9839808046093079,0.016019195390692062,0.6314214885384445,0.36857851146155557,0.016019195390692076,-0.016019195390692062,0.0,0.0
17,18,305.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4124600467033307,0.9957004870892756,0.004299512910724352,0.5875399532966693,0.4124600467033307,0.0,0.0,-0.5875399532966693,0.5875399532966693
18,19,344.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8301864708086728,0.8301864708086728,0.16981352919132722,0.1576942882058372,0.8423057117941628,0.1698135291913272,-0.16981352919132722,0.0,0.0
19,20,500.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.04557753640972574,0.9544224635902743,0.04557753640972574,0.2719899054797387,0.7280100945202613,-0.9544224635902743,0.9544224635902743,0.0,0.0
20,21,539.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7327226963815177,0.26727730361848234,0.7327226963815177,0.34812230292435037,0.6518776970756497,-0.26727730361848234,0.26727730361848234,0.0,0.0
21,22,439.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.928263424621253,0.071736575378747,0.928263424621253,0.39883415066540817,0.6011658493345918,-0.071736575378747,0.071736575378747,0.0,0.0
22,23,382.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4326133509484835,0.01925392159154809,0.980746078408452,0.4326133509484835,0.5673866490515165,0.0,0.0,0.5673866490515165,-0.5673866490515165
23,24,473.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8202253278323044,0.1797746721676957,0.8202253278323044,0.847714809422508,0.152285190577492,-0.1797746721676957,0.1797746721676956,0.0,0.0
