,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,387.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,283.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.7897278104097611,0.2102721895902388,-0.5,0.5,0.0,0.0
2,3,414.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7897278104097611,0.2102721895902388,0.7897278104097611,0.7897278104097611,0.2102721895902388,0.0,0.0,0.21027218959023886,-0.2102721895902388
3,4,426.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.08842878743014666,0.2102721895902388,0.7897278104097611,0.9115712125698533,0.08842878743014666,0.0,0.0,-0.9115712125698533,0.9115712125698533
4,5,449.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.7897278104097611,0.2102721895902388,0.7897278104097611,0.3833561496689841,0.6166438503310159,0.7897278104097611,-0.7897278104097611,0.0,0.0
5,6,364.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.3321155917503309,0.6678844082496691,0.3321155917503309,0.3833561496689841,0.6166438503310159,-0.6678844082496691,0.6678844082496691,0.0,0.0
6,7,408.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.2808750338316777,0.2808750338316777,0.7191249661683223,0.3833561496689841,0.6166438503310159,0.7191249661683223,-0.7191249661683223,0.0,0.0
7,8,391.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3833561496689841,0.697576037549561,0.30242396245043907,0.3833561496689841,0.6166438503310159,0.0,0.0,0.6166438503310159,-0.6166438503310159
8,9,355.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.25932610521291644,0.697576037549561,0.30242396245043907,0.7406738947870836,0.25932610521291644,0.0,0.0,-0.7406738947870836,0.7406738947870836
9,10,398.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.697576037549561,0.697576037549561,0.30242396245043907,0.31148624325842045,0.6885137567415796,0.302423962450439,-0.30242396245043907,0.0,0.0
10,11,502.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.12718269753801997,0.8728173024619801,0.12718269753801997,0.31148624325842045,0.6885137567415796,-0.8728173024619801,0.8728173024619801,0.0,0.0
11,12,377.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6885137567415796,0.3670584106018525,0.6329415893981476,0.31148624325842045,0.6885137567415796,0.0,0.0,-0.31148624325842045,0.31148624325842045
12,13,373.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.13099378879437165,0.3670584106018525,0.6329415893981476,0.13099378879437165,0.8690062112056284,0.0,0.0,0.8690062112056284,-0.8690062112056284
13,14,328.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3670584106018525,0.3670584106018525,0.6329415893981476,0.63454432240455,0.36545567759544995,0.6329415893981475,-0.6329415893981476,0.0,0.0
14,15,299.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.63454432240455,0.7338199722290513,0.26618002777094874,0.63454432240455,0.36545567759544995,0.0,0.0,0.36545567759544995,-0.36545567759544995
15,16,335.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.26618002777094874,0.7338199722290513,0.26618002777094874,0.8463096689476407,0.15369033105235927,-0.7338199722290513,0.7338199722290513,0.0,0.0
16,17,350.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3086038646513017,0.3086038646513017,0.6913961353486984,0.8463096689476407,0.15369033105235927,0.6913961353486984,-0.6913961353486984,0.0,0.0
17,18,318.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7092372414920003,0.7092372414920003,0.2907627585079998,0.8463096689476407,0.15369033105235927,0.2907627585079997,-0.2907627585079998,0.0,0.0
18,19,297.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8777213562344501,0.8777213562344501,0.12227864376554992,0.8463096689476407,0.15369033105235927,0.12227864376554987,-0.12227864376554992,0.0,0.0
19,20,312.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8463096689476407,0.948576403670586,0.05142359632941397,0.8463096689476407,0.15369033105235927,0.0,0.0,0.1536903310523593,-0.15369033105235927
20,21,252.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.948576403670586,0.948576403670586,0.05142359632941397,0.9353663951415435,0.06463360485845651,0.051423596329413956,-0.05142359632941397,0.0,0.0
21,22,263.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9783740956064191,0.9783740956064191,0.021625904393580885,0.9353663951415435,0.06463360485845651,0.02162590439358092,-0.021625904393580885,0.0,0.0
22,23,339.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.009094652537414837,0.9909053474625852,0.009094652537414837,0.9353663951415435,0.06463360485845651,-0.9909053474625852,0.9909053474625852,0.0,0.0
23,24,258.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.41671967417526834,0.41671967417526834,0.5832803258247317,0.9353663951415435,0.06463360485845651,0.5832803258247317,-0.5832803258247317,0.0,0.0
24,25,278.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9353663951415435,0.7547047374878515,0.24529526251214845,0.9353663951415435,0.06463360485845651,0.0,0.0,0.06463360485845648,-0.06463360485845651
