subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,13352.809453413955,13284.94253054154,13286.1380444388,13287.750701563007,13290.640992939629
sub02,13742.774599996399,13712.297215187798,13714.297152207642,13728.103355804958,13711.526631824672
sub04,13879.85393555396,13883.573255050846,13885.399677497173,13886.962716766899,13889.399677498224
sub13,13735.88180762424,13703.213431561418,13704.985444914575,13703.918165638634,13709.041834162805
sub14,13772.51649371328,13756.923131545847,13758.22767899435,13762.70763730493,13754.647516558809
sub15,15062.109759078545,15025.543297647131,15027.221109683709,15029.273241931232,15031.37918002094
sub16,14527.758008956482,14495.490144236632,14481.461311424131,14497.951642558908,14501.343955429054
sub33,14455.220065425825,14396.830560538745,14394.826080833633,14400.830560539187,14402.446521288291
sub34,14299.830307289165,14284.147264650372,14285.576512575331,14287.857168130107,14289.88039814769
sub35,14664.75088435819,14612.17148147484,14608.015098805376,14615.789554971936,14616.071921852605
sub36,16476.987786728027,16411.57292300439,16412.55251387203,16414.86230175628,16417.738642316846
sub37,14045.399204213012,13973.300969607255,13971.377131914138,13976.764571010503,13975.37713191405
sub38,13738.926628863372,13719.027012545945,13720.214547329106,13722.377772028876,13724.559588914652
sub39,14391.48307278956,14180.224853238007,14178.56432531743,14184.178642657616,14180.452972000476
sub40,13731.363756856665,13716.580620181201,13713.421425398066,13720.776365204669,13722.354277818999
sub09,14154.650641325476,14083.279067459653,14081.492303421222,14086.688007659197,14083.971636340384
sub10,14799.156377439082,14767.565900823045,14767.548717696332,14771.565900821151,14774.345267261118
sub11,13817.35961408703,13771.667204220601,13773.344497622342,13773.52242547797,13781.780164181182
sub12,14186.856607920066,14154.73309653009,14154.028050829742,14158.689386368711,14160.22778601607
sub17,13269.533407883953,13244.230396810075,13242.685504961697,13247.893243245711,13247.807212717571
sub18,14505.703751971703,14498.960145285771,14500.918824801953,14501.741723599143,14505.608174516497
sub19,13810.333748171222,13799.532872553435,13801.532872530992,13804.03216342323,13805.412538833702
sub20,14372.316379897286,14326.016751273064,14326.626842302527,14327.667436616297,14331.888410376429
sub41,14693.77542528703,14637.878654832359,14639.749351146409,14641.728784834384,14643.878654990514
sub42,14367.486066492085,14367.898670753251,14368.551925191772,14371.898670764256,14373.048710682722
sub43,14093.199571939436,14088.389328994643,14087.184596774692,14092.370961971934,14091.34775017379
sub44,14882.36720365348,14870.78976191676,14871.9032827846,14874.733509092275,14876.016672948295
sub45,13668.096406123708,13619.126644409282,13620.301396368495,13618.343521653174,13625.079494252781
sub46,15226.998334433301,15214.721110262424,15215.864969654442,15218.721110262,15219.86496962788
sub47,13974.41073084657,13912.0331987027,13914.033024472346,13915.923796710906,13917.96291860451
sub48,14966.552714806021,14895.101998659924,14896.140753270718,14899.101998769122,14901.050825908633
sub05,14225.371254560994,14218.103811964238,14219.64733645181,14222.103811964364,14224.103307288886
sub06,13745.234495931178,13702.161193712005,13701.548949985672,13705.614376669198,13708.16034234576
sub07,15011.067374667571,15008.306307171753,15007.389135674748,15012.484618400696,15011.389135674463
sub08,14157.3432613392,14153.59222625106,14155.549599260516,14157.613434534858,14159.696228999112
sub21,13813.81260057685,13793.792317462838,13793.13117841025,13797.42365368184,13799.810770403985
sub22,14454.919182314878,14451.042694420525,14452.916113564963,14455.014962331883,14457.001327737278
sub23,13155.363518454793,13119.425983151003,13108.290071934123,13123.356668665348,13122.167442076721
sub24,13605.819753080883,13599.370263562743,13597.584497669624,13599.687802361954,13602.056848388791
sub25,13441.430203408792,13427.596621436558,13426.281364709528,13433.718496992706,13435.632171352412
sub26,15074.03458482338,15014.486353227527,15015.501878999077,15019.825544469919,15015.903606891367
sub27,15093.118035784462,15035.540502198615,15037.48054179327,15037.712912461076,15037.719414326632
sub28,14218.386170391868,14190.565227148969,14192.18706701859,14192.541771477998,14196.187067017738
sub29,12625.3859601227,12536.482225542832,12536.342331348873,12540.141600050503,12541.200269938547
sub30,14151.96999455496,14132.911550677658,14134.302003256496,14136.981262522244,14138.341947464349
sub31,14426.903271261885,14394.635974313289,14396.6272962587,14398.550596404708,14401.092618936775
sub32,13817.737061015669,13773.90544747094,13775.189018460791,13777.011352947822,13777.878082846424
