subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,-6674.404726706977,-6639.471265270769,-6639.0690222194,-6638.875350781505,-6639.320496469814
sub02,-6869.3872999981995,-6853.148607593899,-6853.148576103821,-6859.051677902479,-6849.763315912336
sub04,-6937.926967776982,-6938.786627525423,-6938.699838748586,-6938.481358383448,-6938.699838749112
sub13,-6865.94090381212,-6848.606715780709,-6848.4927224572875,-6846.959082819317,-6848.520917081402
sub14,-6884.25824685664,-6875.461565772924,-6875.113839497175,-6876.353818652465,-6871.323758279405
sub15,-7529.054879539272,-7509.771648823566,-7509.6105548418545,-7509.636620965616,-7509.68959001047
sub16,-7261.879004478241,-7244.745072118316,-7236.7306557120655,-7243.975821279456,-7244.671977714527
sub33,-7225.6100327129125,-7195.4152802693725,-7193.413040416816,-7195.4152802695935,-7195.223260644146
sub34,-7147.9151536445825,-7139.073632325186,-7138.788256287665,-7138.928584065054,-7138.940199073845
sub35,-7330.375442179095,-7303.085740737421,-7300.007549402688,-7302.894777485968,-7302.035960926302
sub36,-8236.493893364013,-8202.786461502195,-8202.276256936017,-8202.431150878137,-8202.869321158423
sub37,-7020.699602106506,-6983.6504848036275,-6981.688565957069,-6983.382285505251,-6981.688565957025
sub38,-6867.463314431687,-6856.513506272972,-6856.107273664553,-6856.188886014438,-6856.279794457326
sub39,-7193.74153639478,-7087.112426619004,-7085.282162658715,-7087.089321328807,-7084.226486000238
sub40,-6863.681878428332,-6855.2903100906005,-6852.710712699033,-6855.388182602334,-6855.177138909499
sub09,-7075.32532066274,-7038.639533729826,-7036.746151710611,-7038.3440038295985,-7035.985818170192
sub10,-7397.578188719541,-7380.7829504115225,-7379.774358848166,-7380.782950410576,-7381.172633630559
sub11,-6906.679807043515,-6882.833602110301,-6882.672248811171,-6881.761212738985,-6884.890082090591
sub12,-7091.428303960033,-7074.366548265045,-7073.014025414871,-7074.3446931843555,-7074.113893008035
sub17,-6632.766703941977,-6619.1151984050375,-6617.342752480849,-6618.946621622856,-6617.9036063587855
sub18,-7250.851875985853,-7246.480072642886,-7246.459412400976,-7245.870861799573,-7246.804087258249
sub19,-6903.166874085611,-6896.766436276717,-6896.766436265496,-6897.016081711615,-6896.706269416851
sub20,-7184.158189948643,-7160.008375636532,-7159.313421151263,-7158.8337183081485,-7159.944205188214
sub41,-7344.8877126435145,-7315.939327416179,-7315.8746755732045,-7315.864392417192,-7315.939327495257
sub42,-7181.743033246043,-7180.949335376626,-7180.275962595886,-7180.949335382128,-7180.524355341361
sub43,-7044.599785969718,-7041.19466449732,-7039.592298387346,-7041.185480985967,-7039.673875086894
sub44,-7439.18360182674,-7432.39488095838,-7431.951641392298,-7432.366754546138,-7432.0083364741495
sub45,-6832.048203061855,-6806.563322204641,-6806.150698184248,-6804.171760826587,-6806.539747126391
sub46,-7611.499167216651,-7604.360555131212,-7603.932484827221,-7604.360555130998,-7603.93248481394
sub47,-6985.205365423285,-6953.01659935135,-6953.016512236173,-6952.961898355453,-6952.981459302255
sub48,-7481.2763574030105,-7444.550999329962,-7444.070376635359,-7444.550999384561,-7444.5254129543155
sub05,-7110.685627280497,-7106.051905982119,-7105.823668225905,-7106.051905982183,-7106.051653644443
sub06,-6870.617247965589,-6848.080596856003,-6846.774474992836,-6847.807188334599,-6848.08017117288
sub07,-7503.533687333786,-7501.153153585877,-7499.694567837374,-7501.242309200348,-7499.694567837231
sub08,-7076.6716306696,-7073.79611312553,-7073.774799630258,-7073.806717267429,-7073.848114499557
sub21,-6904.906300288425,-6893.896158731419,-6892.565589205125,-6893.71182684092,-6893.905385201992
sub22,-7225.459591157439,-7222.521347210262,-7222.458056782481,-7222.5074811659415,-7222.500663868639
sub23,-6575.681759227397,-6556.712991575501,-6550.1450359670625,-6556.678334332673,-6555.083721038361
sub24,-6800.9098765404415,-6796.6851317813735,-6794.792248834812,-6794.843901180977,-6795.028424194395
sub25,-6718.715101704396,-6710.798310718279,-6709.140682354764,-6711.859248496353,-6711.816085676206
sub26,-7535.01729241169,-7504.243176613763,-7503.750939499539,-7504.912772234959,-7501.951803445683
sub27,-7544.559017892231,-7514.7702510993095,-7514.740270896635,-7513.856456230538,-7512.859707163317
sub28,-7107.193085195935,-7092.2826135744845,-7092.093533509295,-7091.270885738999,-7092.093533508869
sub29,-6310.692980061352,-6265.241112771416,-6264.171165674436,-6265.070800025252,-6264.600134969272
sub30,-7073.98499727748,-7063.455775338829,-7063.151001628248,-7063.490631261122,-7063.170973732174
sub31,-7211.451635630941,-7194.317987156644,-7194.31364812935,-7194.275298202354,-7194.546309468387
sub32,-6906.868530507834,-6883.95272373547,-6883.5945092303955,-6883.505676473911,-6882.939041423212
