subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,2297.613977700993,2173.8702862155587,2172.484952511632,2171.818258823159,2173.350931756402
sub02,2947.1104451996302,2872.6423463731653,2872.642203804636,2899.49267992238,2857.356552768804
sub04,4907.917061643681,4914.815923391016,4914.118994275248,4912.364996137636,4914.1189942794845
sub13,4741.378850343659,4608.001953138391,4607.137373422739,4595.521278834458,4607.351199794719
sub14,5964.280951048381,5877.042707130814,5873.620584627896,5885.832872730887,5836.4497569617515
sub15,9792.451865775582,9495.404912732109,9492.961692631656,9493.356979916942,9494.160295176418
sub16,8332.66240630911,8102.611360442111,7997.195743242681,8092.433215013563,8101.643680409727
sub33,6435.138280634743,6130.447219955411,6110.760623052831,6130.447219957597,6128.5564815192565
sub34,6061.0805737398905,5975.12214587409,5972.36808500158,5973.438478365876,5972.650095865359
sub35,7332.809680788328,7019.27736923551,6984.764133006651,7017.131301807438,7007.48792843654
sub36,31290.32790264644,29646.200317795654,29621.989829756432,29629.337848488794,29650.134084168374
sub37,5945.353693176308,5594.444398391302,5576.450662268288,5591.981187055746,5576.450662267895
sub38,6915.235582690664,6787.650853285164,6782.963076350545,6783.904593014543,6784.953508003398
sub39,6113.986149270247,5151.496296275146,5136.37219878907,5151.305092085629,5127.668980365756
sub40,3969.53701620952,3915.9144192858807,3899.5766631340016,3916.5356359869393,3915.1962214947375
sub09,4786.689238955612,4514.022449907416,4500.379210111302,4511.890213999285,4494.912046717213
sub10,6652.09130728294,6478.59005829136,6468.316149925413,6478.590058281686,6482.563893620006
sub11,9152.127519972315,8781.912761887541,8779.459441260855,8765.62030941652,8813.240937794379
sub12,5583.93887696184,5432.007217732615,5420.141595738629,5431.815277254425,5429.788713922105
sub17,2730.254224661947,2670.5090530881025,2662.84853289703,2669.779515735372,2665.2701665230247
sub18,13698.50159525553,13596.771829625695,13596.292873704973,13582.655886741135,13604.285505281001
sub19,10533.624955179814,10416.108687964988,10416.108687760116,10420.196999181398,10415.010226840575
sub20,7268.903942592594,6987.880193253185,6979.956103912146,6974.491624511453,6987.148124735936
sub41,7094.841661734063,6774.971151382826,6774.273156470637,6774.16214398148,6774.971152236209
sub42,10221.813477383495,10208.1872205586,10196.640956413718,10208.187220652964,10200.898604191741
sub43,12518.275059565325,12444.233140749067,12409.54252875098,12444.034044682949,12411.30629438636
sub44,8323.595328249572,8233.959348289543,8228.140645136438,8233.589991925035,8228.884690010009
sub45,3839.549328112415,3683.942231704908,3681.475390700387,3669.6674049321887,3683.8012454149152
sub46,11501.952936363523,11371.223587739209,11363.431729679314,11371.223587735363,11363.431729665792
sub47,4702.769508204896,4464.281648791024,4464.281019992011,4463.8868389789795,4464.028018030306
sub48,9797.655759286248,9235.910164571562,9228.776284415288,9235.910165382304,9235.53024719779
sub05,4466.291265308079,4433.690592547782,4432.090982898639,4433.690592548229,4433.6888237146395
sub06,3162.809868530427,3051.7547029933144,3045.4393379384464,3050.431634155987,3051.752642596745
sub07,12122.248843790192,12075.264402919742,12046.566407774184,12077.02077471595,12046.566407771452
sub08,12284.576153677894,12223.560196583496,12223.10907631087,12223.784649495889,12224.660924924936
sub21,3677.4432256360933,3613.2278300041853,3605.543770898836,3612.162334073363,3613.2811701622554
sub22,5974.0414969764115,5946.089232198492,5945.48857538514,5945.957631521029,5945.892930578668
sub23,2510.5908293986013,2434.5200589912297,2408.721280674461,2434.383203538831,2428.0946652909984
sub24,4588.168636532778,4556.161756552115,4541.893703603437,4542.282451436579,4543.6714884303665
sub25,2875.309793261081,2838.944882333533,2831.3891738169964,2843.791368192575,2843.594033939844
sub26,10476.120835096044,9971.208661609648,9963.333444138452,9981.931402132455,9934.602249449115
sub27,9660.02913234953,9212.509806238326,9212.070019106834,9199.114547435689,9184.525477048086
sub28,5223.845778640324,5100.4038419311155,5098.857348782789,5092.134337143139,5098.857348779293
sub29,1354.2418937601133,1259.690734245259,1257.5463792076594,1259.3491541451758,1258.405667559676
sub30,6677.792061616357,6563.049453362156,6559.757694889795,6563.426025715367,6559.9733563153195
sub31,5052.755147160838,4918.139369866719,4918.105737293036,4917.808490175296,4919.909461492232
sub32,3235.934961177755,3120.793748167253,3119.0267962555395,3118.588768916693,3115.7961832187707
