,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr,conflict
0,1,535.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0,0.75
1,2,354.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.151718740620925,0.848281259379075,0.5,0.5,0.0,0.0,0.5,-0.5,0.75
2,3,397.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.41876626155219226,0.41876626155219226,0.5812337384478077,0.848281259379075,0.151718740620925,0.5812337384478077,-0.5812337384478077,0.0,0.0,0.8246348181856008
3,4,349.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.17636810160738697,0.823631898392613,0.17636810160738697,0.5812337384478077,0.41876626155219226,-0.823631898392613,0.823631898392613,0.0,0.0,0.9688942927354064
4,5,408.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5189471011847481,0.24992078871869783,0.7500792112813022,0.5189471011847481,0.4810528988152519,0.0,0.0,0.48105289881525193,-0.4810528988152519,0.7306939061719467
5,6,332.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8540305200394094,0.44167108136487954,0.5583289186351205,0.8540305200394094,0.14596947996059056,0.0,0.0,0.14596947996059062,-0.14596947996059056,0.270631870841216
6,7,323.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5136047404008942,0.48639525959910573,0.5136047404008942,0.9557073886625757,0.04429261133742429,-0.48639525959910573,0.4863952595991058,0.0,0.0,0.7362101706377301
7,8,331.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6062899993107503,0.14759055246072839,0.8524094475392716,0.6062899993107503,0.39371000068924966,0.0,0.0,0.39371000068924966,-0.39371000068924966,0.6324124367357704
8,9,342.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.880533629051127,0.4178033956263408,0.5821966043736593,0.880533629051127,0.11946637094887297,0.0,0.0,0.11946637094887302,-0.11946637094887297,0.22466052811005233
9,10,309.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9637494253061695,0.4808283182595241,0.5191716817404759,0.9637494253061695,0.03625057469383053,0.0,0.0,0.03625057469383053,-0.03625057469383053,0.07118704522202807
