,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr,conflict
0,1,458.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0,0.75
1,2,425.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.12417128251678117,0.8758287174832189,0.5,0.5,0.0,0.0,-0.5,0.5,0.75
2,3,385.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.42567417207572367,0.42567417207572367,0.5743258279242763,0.12417128251678117,0.8758287174832189,0.5743258279242763,-0.5743258279242763,0.0,0.0,0.8188014992276472
3,4,356.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8573704507282609,0.8573704507282609,0.14262954927173915,0.42567417207572367,0.5743258279242763,0.1426295492717391,-0.14262954927173915,0.0,0.0,0.26491591021801875
4,5,336.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4853009404560049,0.9645790118842754,0.03542098811572457,0.4853009404560049,0.5146990595439951,0.0,0.0,0.5146990595439951,-0.5146990595439951,0.7644829971925172
5,6,371.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5918775444457163,0.5918775444457163,0.4081224555542838,0.872178315332482,0.12782168466751798,0.4081224555542837,-0.4081224555542838,0.0,0.0,0.6496809723809092
6,7,339.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.10135417746014685,0.8986458225398531,0.10135417746014685,0.5736039055445098,0.4263960944554902,-0.8986458225398531,0.8986458225398531,0.0,0.0,0.989727330711377
7,8,446.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5145562884462127,0.22317200862624265,0.7768279913737574,0.5145562884462127,0.4854437115537873,0.0,0.0,0.4854437115537873,-0.4854437115537873,0.735231826020458
8,9,401.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8794436634933197,0.4452530669043734,0.5547469330956266,0.8794436634933197,0.1205563365066803,0.0,0.0,0.1205563365066803,-0.1205563365066803,0.22657884274144863
9,10,381.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.02993926983911828,0.4891729638014447,0.5108270361985553,0.9700607301608817,0.02993926983911828,0.0,0.0,-0.9700607301608817,0.9700607301608817,0.9991036401215004
10,11,336.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7590926300335162,0.49785878941127043,0.5021412105887296,0.24090736996648376,0.7590926300335162,0.0,0.0,-0.24090736996648376,0.24090736996648376,0.4237783790287993
11,12,336.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9401724458070341,0.4995765431369021,0.500423456863098,0.059827554192965954,0.9401724458070341,0.0,0.0,-0.059827554192965954,0.059827554192965926,0.11607577214521957
12,13,343.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9851422717320344,0.49991625498405035,0.5000837450159497,0.014857728267965623,0.9851422717320344,0.0,0.0,-0.014857728267965623,0.014857728267965609,0.02949470444664651
13,14,375.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.499983438153192,0.499983438153192,0.500016561846808,0.0,1.0,0.500016561846808,-0.500016561846808,0.0,0.0,0.7500165615725132
14,15,370.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8758246044717009,0.8758246044717009,0.12417539552829915,0.40111741803286355,0.5988825819671364,0.12417539552829915,-0.12417539552829915,0.0,0.0,0.23293126220198876
15,16,386.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.969161963760445,0.969161963760445,0.03083803623955496,0.48044446996702506,0.5195555300329749,0.030838036239554945,-0.03083803623955496,0.0,0.0,0.06072508799999778
16,17,385.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,1.0,1.0,0.0,0.4961325973972071,0.5038674026027928,0.0,0.0,0.0,0.0,0.0
17,18,492.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5007648375097412,1.0,0.0,0.49923516249025884,0.5007648375097412,0.0,0.0,-0.49923516249025884,0.4992351624902588,0.7492345775138425
18,19,360.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5988825819671364,0.5988825819671364,0.40111741803286355,0.12398134080777817,0.8760186591922219,0.4011174180328636,-0.40111741803286355,0.0,0.0,0.6413396530163762
19,20,391.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.900385471526079,0.900385471526079,0.09961452847392105,0.42563660822250476,0.5743633917774953,0.09961452847392105,-0.09961452847392105,0.0,0.0,0.18930600266476047
20,21,459.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9752614724841776,0.9752614724841776,0.02473852751582238,0.4852935116344151,0.514706488365585,0.024738527515822395,-0.02473852751582238,0.0,0.0,0.04886506028799369
21,22,358.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49709156891748263,1.0,0.0,0.49709156891748263,0.5029084310825174,0.0,0.0,0.5029084310825174,-0.5029084310825174,0.7528999721111557
22,23,386.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5988825819671364,0.5988825819671364,0.40111741803286355,0.8751064302479632,0.12489356975203686,0.4011174180328636,-0.40111741803286355,0.0,0.0,0.6413396530163762
23,24,281.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4258170153292117,0.900385471526079,0.09961452847392105,0.5741829846707883,0.4258170153292117,0.0,0.0,-0.5741829846707883,0.5741829846707883,0.8186798694561218
24,25,361.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8574059247882297,0.5791822984132562,0.42081770158674386,0.1425940752117702,0.8574059247882297,0.0,0.0,-0.1425940752117702,0.14259407521177025,0.26485508013804054
25,26,364.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4843404997736099,0.5156595002263902,0.4843404997736099,0.03541217839667972,0.9645878216033202,-0.5156595002263902,0.5156595002263902,0.0,0.0,0.7654142802790499
26,27,551.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.12806020297014653,0.12806020297014653,0.8719397970298535,0.4081207132987526,0.5918792867012473,0.8719397970298535,-0.8719397970298535,0.0,0.0,0.9836005844152449
27,28,427.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7834602342507625,0.7834602342507625,0.2165397657492375,0.4818294778033637,0.5181705221966363,0.2165397657492375,-0.2165397657492375,0.0,0.0,0.38619006134774037
28,29,442.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5035934963009892,0.9462239591420676,0.05377604085793236,0.4964065036990109,0.5035934963009892,0.0,0.0,-0.4964065036990109,0.49640650369901085,0.7463935904833456
29,30,378.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5882475544311313,0.5882475544311313,0.4117524455688687,0.12327886442795494,0.8767211355720451,0.4117524455688687,-0.4117524455688687,0.0,0.0,0.6539648147057932
30,31,357.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4254976828660891,0.8977443415085848,0.1022556584914151,0.4254976828660891,0.574502317133911,0.0,0.0,0.574502317133911,-0.574502317133911,0.8189517218755892
31,32,393.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.14267337905476052,0.5786599749023746,0.4213400250976253,0.8573266209452395,0.14267337905476052,0.0,0.0,-0.8573266209452395,0.8573266209452395,0.9796443069090967
32,33,348.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7870893078829027,0.515556202831634,0.48444379716836605,0.21291069211709734,0.7870893078829027,0.0,0.0,-0.21291069211709734,0.21291069211709734,0.38049042141641326
