,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr,conflict
0,1,495.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0,0.75
1,2,443.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.16539596520354816,0.8346040347964518,0.5,0.5,0.0,0.0,-0.5,0.5,0.75
2,3,354.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5786732950130564,0.4213267049869435,0.5786732950130564,0.16539596520354816,0.8346040347964518,-0.4213267049869435,0.4213267049869436,0.0,0.0,0.6651372176387321
3,4,309.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4213267049869435,0.13937147407469225,0.8606285259253077,0.4213267049869435,0.5786732950130564,0.0,0.0,0.5786732950130564,-0.5786732950130564,0.822483807664845
4,5,337.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5847922662603418,0.41520773373965814,0.5847922662603418,0.8085795436675959,0.19142045633240407,-0.41520773373965814,0.41520773373965825,0.0,0.0,0.6580180053220935
5,6,396.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8626526322363028,0.13734736776369716,0.8626526322363028,0.5725543237657711,0.42744567623422886,-0.13734736776369716,0.13734736776369716,0.0,0.0,0.25583043609577805
6,7,372.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5170592315826965,0.0,1.0,0.5170592315826965,0.48294076841730343,0.0,0.0,0.4829407684173035,-0.48294076841730343,0.7326497510351114
7,8,379.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6175617847240178,0.38243821527598215,0.6175617847240178,0.8402470909429538,0.15975290905704626,-0.38243821527598215,0.3824382152759822,0.0,0.0,0.6186174420484859
8,9,391.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5800001105168178,0.12650747549258679,0.8734925245074132,0.5800001105168178,0.4199998894831823,0.0,0.0,0.41999988948318223,-0.4199998894831823,0.6635998718004792
9,10,362.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8610674257870911,0.41218310447565903,0.587816895524341,0.8610674257870911,0.138932574212909,0.0,0.0,0.13893257421290894,-0.138932574212909,0.25856288824839246
10,11,366.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.47935217806647173,0.47935217806647173,0.5206478219335283,1.0,0.0,0.5206478219335282,-0.5206478219335283,0.0,0.0,0.7702214893829296
