,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr,conflict
0,1,552.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5,0.75
1,2,267.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.5,0.5,0.5,0.2660229492342434,0.7339770507657566,-0.5,0.5,0.0,0.0,0.75
2,3,227.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.2660229492342434,0.2660229492342434,0.7339770507657566,0.2660229492342434,0.7339770507657566,0.7339770507657566,-0.7339770507657566,0.0,0.0,0.9292317904807151
3,4,302.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.2660229492342434,0.6094905205700829,0.39050947942991715,0.2660229492342434,0.7339770507657566,0.0,0.0,-0.2660229492342434,0.2660229492342434,0.46127768894920196
4,5,370.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.8584635809614303,0.6094905205700829,0.39050947942991715,0.1415364190385697,0.8584635809614303,0.0,0.0,-0.1415364190385697,0.14153641903856973,0.26304028016287784
5,6,329.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.39050947942991715,0.6094905205700829,0.39050947942991715,0.07530387123338805,0.9246961287666119,-0.6094905205700829,0.6094905205700829,0.0,0.0,0.8475023464753751
6,7,284.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6757230683752645,0.32427693162473553,0.6757230683752645,0.07530387123338805,0.9246961287666119,-0.32427693162473553,0.3242769316247355,0.0,0.0,0.5433983348655176
7,8,244.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.17253021143888647,0.17253021143888647,0.8274697885611135,0.07530387123338805,0.9246961287666119,0.8274697885611135,-0.8274697885611135,0.0,0.0,0.9702333261408531
8,9,295.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9246961287666119,0.5597480928894736,0.4402519071105265,0.07530387123338805,0.9246961287666119,0.0,0.0,-0.07530387123338805,0.07530387123338811,0.14493706944404153
9,10,291.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.9599348841714768,0.5597480928894736,0.4402519071105265,0.040065115828523186,0.9599348841714768,0.0,0.0,0.9599348841714768,-0.9599348841714768,0.998394786493647
