,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,505.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,2,656.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,1,0.944761676477915,0.944761676477915,0.055238323522085075,0.5,0.5,0.05523832352208502,-0.055238323522085075,0.0,0.0
2,3,464.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.9960608227670957,0.0039391772329042535,0.5,0.5,0.0,0.0,-0.5,0.5
3,4,451.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6475072233009458,0.6475072233009458,0.3524927766990542,0.03565619828532013,0.9643438017146799,0.3524927766990542,-0.3524927766990542,0.0,0.0
4,5,354.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9748628953197509,0.9748628953197509,0.0251371046802491,0.3619240590985032,0.6380759409014968,0.0251371046802491,-0.0251371046802491,0.0,0.0
5,6,474.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4589421342862066,0.9982074128224043,0.0017925871775956205,0.4589421342862066,0.5410578657137934,0.0,0.0,0.5410578657137934,-0.5410578657137934
6,7,421.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3518544728377298,0.6481455271622701,0.3518544728377298,0.9614158669125539,0.03858413308744624,-0.6481455271622701,0.6481455271622703,0.0,0.0
7,8,389.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.36279470139244346,0.04622081086848251,0.9537791891315175,0.6372052986075565,0.36279470139244346,0.0,0.0,-0.6372052986075565,0.6372052986075565
8,9,388.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3650655219915005,0.3650655219915005,0.6349344780084996,0.04544063695121536,0.9545593630487845,0.6349344780084996,-0.6349344780084996,0.0,0.0
9,10,372.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9547213007078854,0.9547213007078854,0.04527869929211459,0.3648335317134012,0.6351664682865987,0.04527869929211459,-0.04527869929211459,0.0,0.0
10,11,479.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.003228932560122043,0.996771067439878,0.003228932560122043,0.45980728671711174,0.5401927132828882,-0.996771067439878,0.996771067439878,0.0,0.0
11,12,463.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.07108213365141303,0.07108213365141303,0.928917866348587,0.48804841007153377,0.5119515899284662,0.928917866348587,-0.928917866348587,0.0,0.0
12,13,414.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.49644610950216617,0.9337566407333966,0.06624335926660341,0.49644610950216617,0.5035538904978338,0.0,0.0,0.5035538904978338,-0.5035538904978338
13,14,381.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.035909634733870266,0.6289806304517811,0.3710193695482189,0.9640903652661297,0.035909634733870266,0.0,0.0,-0.9640903652661297,0.9640903652661297
14,15,489.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5383533102884851,0.5383533102884851,0.4616466897115149,0.06875159445779166,0.9312484055422083,0.4616466897115149,-0.4616466897115149,0.0,0.0
15,16,404.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.032921131812230886,0.9670788681877691,0.032921131812230886,0.37176521116976463,0.6282347888302353,-0.9670788681877691,0.9670788681877691,0.0,0.0
16,17,372.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9310352882367079,0.06896471176329211,0.9310352882367079,0.4618684710366411,0.5381315289633589,-0.06896471176329211,0.06896471176329211,0.0,0.0
17,18,439.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5113386820717456,0.0049180388746437875,0.9950819611253562,0.48866131792825435,0.5113386820717456,0.0,0.0,-0.48866131792825435,0.4886613179282544
18,19,427.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9651523903071686,0.35278384818896424,0.6472161518110358,0.034847609692831405,0.9651523903071686,0.0,0.0,-0.034847609692831405,0.034847609692831405
19,20,342.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.45622422738896284,0.45622422738896284,0.5437757726110372,0.0024850665619540815,0.9975149334380459,0.5437757726110372,-0.5437757726110372,0.0,0.0
20,21,397.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3520603865210763,0.9612220464580554,0.038777953541944576,0.3520603865210763,0.6479396134789237,0.0,0.0,0.6479396134789237,-0.6479396134789237
21,22,281.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6371476647131835,0.6371476647131835,0.36285233528681654,0.9537938733297636,0.04620612667023638,0.3628523352868165,-0.36285233528681654,0.0,0.0
22,23,420.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6349388444595682,0.9741241303694437,0.02587586963055638,0.6349388444595682,0.36506115554043184,0.0,0.0,0.36506115554043184,-0.36506115554043184
23,24,384.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9739666141035646,0.6409841913752743,0.3590158086247257,0.9739666141035646,0.026033385896435446,0.0,0.0,0.026033385896435446,-0.026033385896435446
24,25,375.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5419226547323206,0.5419226547323206,0.45807734526767935,0.9981434968608769,0.0018565031391231182,0.4580773452676794,-0.45807734526767935,0.0,0.0
25,26,411.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.03266659330575483,0.9673334066942452,0.03266659330575483,0.6481265212952941,0.35187347870470587,-0.9673334066942452,0.9673334066942452,0.0,0.0
26,27,422.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4559535225305308,0.06898286351420846,0.9310171364857915,0.5440464774694692,0.4559535225305308,0.0,0.0,-0.5440464774694692,0.5440464774694692
27,28,361.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9612027418458373,0.37183398067298234,0.6281660193270177,0.038797258154162684,0.9612027418458373,0.0,0.0,-0.038797258154162684,0.038797258154162684
28,29,385.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9972332745406568,0.4618889201388517,0.5381110798611484,0.0027667254593431584,0.9972332745406568,0.0,0.0,-0.0027667254593431584,0.0027667254593432
