,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,451.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,-0.5,0.5
1,2,422.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.43673810391199785,0.5632618960880021,0.5,-0.5,0.0,0.0
2,3,330.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5632618960880021,0.5632618960880021,0.43673810391199785,0.4784456133662036,0.5215543866337964,0.43673810391199785,-0.43673810391199785,0.0,0.0
3,4,313.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5073439402213442,0.618519657182706,0.3814803428172941,0.49265605977865573,0.5073439402213442,0.0,0.0,-0.49265605977865573,0.4926560597786558
4,5,389.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.569676653143028,0.5403816305326571,0.4596183694673429,0.43032334685697193,0.569676653143028,0.0,0.0,-0.43032334685697193,0.43032334685697204
5,6,288.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5137586972763701,0.5137586972763701,0.4862413027236298,0.37587720515075784,0.624122794849242,0.48624130272362986,-0.4862413027236298,0.0,0.0
6,7,284.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5752797908095643,0.5752797908095643,0.4247202091904357,0.4577092867003815,0.5422907132996184,0.42472020919043574,-0.4247202091904357,0.0,0.0
7,8,283.6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.48559084627797156,0.629017002290124,0.370982997709876,0.48559084627797156,0.5144091537220284,0.0,0.0,-0.48559084627797156,0.48559084627797156
8,9,346.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.7683596527529911,0.5439582516753261,0.4560417483246739,0.23164034724700888,0.7683596527529911,0.0,0.0,-0.23164034724700888,0.23164034724700888
9,10,318.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7976676679076491,0.5149773119515366,0.4850226880484633,0.20233233209235088,0.7976676679076491,0.0,0.0,-0.20233233209235088,0.2023323320923509
