,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,362.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,2,325.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.930869081970032,0.06913091802996796,0.930869081970032,0.5,0.5,-0.06913091802996796,0.06913091802996796,0.0,0.0
2,3,289.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.009558167655332295,0.9904418323446678,0.5,0.5,0.0,0.0,0.5,-0.5
3,4,292.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.18949358530421095,0.18949358530421095,0.8105064146957891,0.930869081970032,0.06913091802996796,0.810506414695789,-0.8105064146957891,0.0,0.0
4,5,407.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7727899722708784,0.8879378949658043,0.11206210503419567,0.7727899722708784,0.2272100277291216,0.0,0.0,0.22721002772912158,-0.2272100277291216
5,6,395.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9685855243949427,0.7456095645728071,0.25439043542719286,0.9685855243949427,0.03141447560505731,0.0,0.0,0.03141447560505728,-0.03141447560505731
6,7,286.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9956565769239847,0.6554992667446455,0.3445007332553544,0.9956565769239847,0.00434342307601529,0.0,0.0,0.004343423076015318,-0.00434342307601529
7,8,326.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5984490241663804,0.5984490241663804,0.40155097583361965,0.9993994703507251,0.0006005296492749687,0.40155097583361965,-0.40155097583361965,0.0,0.0
8,9,313.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.816177635782511,0.9444808248095848,0.055519175190415215,0.816177635782511,0.18382236421748904,0.0,0.0,0.183822364217489,-0.18382236421748904
9,10,289.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9745843824144117,0.781407780108894,0.21859221989110603,0.9745843824144117,0.0254156175855883,0.0,0.0,0.0254156175855883,-0.0254156175855883
