,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,633.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,2,436.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.6303431248584663,0.3696568751415337,0.5,0.5,0.0,0.0,-0.5,0.5
2,3,511.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6099304026469548,0.6099304026469548,0.39006959735304536,0.3696568751415337,0.6303431248584663,0.39006959735304525,-0.39006959735304536,0.0,0.0
3,4,419.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.711616183109514,0.711616183109514,0.28838381689048603,0.39006959735304536,0.6099304026469548,0.288383816890486,-0.28838381689048603,0.0,0.0
4,5,370.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5927144675965366,0.7867938788137494,0.21320612118625065,0.4072855324034636,0.5927144675965366,0.0,0.0,-0.4072855324034636,0.40728553240346344
5,6,806.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.7418797816065215,0.7418797816065215,0.25812021839347854,0.30111179439724045,0.6988882056027597,-0.7418797816065215,0.7418797816065215,0.0,0.0
6,7,521.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.6677408037238838,0.5484819235987004,0.4515180764012996,0.3322591962761163,0.6677408037238838,0.0,0.0,-0.3322591962761163,0.3322591962761162
7,8,409.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7543562075350667,0.540889286551103,0.459110713448897,0.24564379246493334,0.7543562075350667,0.0,0.0,-0.24564379246493334,0.24564379246493329
8,9,396.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8183921665589946,0.5344857140673155,0.46551428593268457,0.18160783344100537,0.8183921665589946,0.0,0.0,-0.18160783344100537,0.1816078334410054
9,10,408.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.13426516842205236,0.5290849896157104,0.4709150103842896,0.13426516842205236,0.8657348315779476,0.0,0.0,0.8657348315779476,-0.8657348315779476
10,11,439.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.47546994041373974,0.5245300595862602,0.47546994041373974,0.30735917532344237,0.6926408246765576,-0.5245300595862602,0.5245300595862603,0.0,0.0
