,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,466.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,350.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6790932023487304,0.5,0.5,0.6790932023487304,0.3209067976512696,0.0,0.0,0.3209067976512696,-0.3209067976512696
2,3,377.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7940376544424141,0.5,0.5,0.7940376544424141,0.2059623455575858,0.0,0.0,0.20596234555758586,-0.2059623455575858
3,4,389.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.8678105665007418,0.13218943349925813,-0.5,0.5,0.0,0.0
4,5,392.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8678105665007418,0.3209067976512696,0.6790932023487304,0.8678105665007418,0.13218943349925813,0.0,0.0,0.13218943349925816,-0.13218943349925813
5,6,348.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9151590244248352,0.3209067976512696,0.6790932023487304,0.9151590244248352,0.08484097557516479,0.0,0.0,0.08484097557516479,-0.08484097557516479
6,7,315.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9455479084371285,0.3209067976512696,0.6790932023487304,0.9455479084371285,0.05445209156287144,0.0,0.0,0.05445209156287145,-0.05445209156287144
7,8,435.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3209067976512696,0.3209067976512696,0.6790932023487304,0.9650519073422904,0.03494809265770958,0.6790932023487304,-0.6790932023487304,0.0,0.0
8,9,506.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4358512497449535,0.5641487502550465,0.4358512497449535,0.9650519073422904,0.03494809265770958,-0.5641487502550465,0.5641487502550465,0.0,0.0
9,10,393.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.03494809265770958,0.36207833768662573,0.6379216623133743,0.9650519073422904,0.03494809265770958,0.0,0.0,-0.9650519073422904,0.9650519073422904
10,11,397.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6193834343049285,0.36207833768662573,0.6379216623133743,0.6193834343049285,0.3806165656950716,0.0,0.0,0.3806165656950715,-0.3806165656950716
11,12,456.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.244284886460459,0.36207833768662573,0.6379216623133743,0.755715113539541,0.244284886460459,0.0,0.0,-0.755715113539541,0.755715113539541
12,13,492.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4850282340452795,0.36207833768662573,0.6379216623133743,0.4850282340452795,0.5149717659547205,0.0,0.0,0.5149717659547205,-0.5149717659547205
13,14,479.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.36207833768662573,0.36207833768662573,0.6379216623133743,0.669484119413303,0.33051588058669695,0.6379216623133743,-0.6379216623133743,0.0,0.0
