subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,13421.676360866235,13422.630257400237,13425.029719414766,13426.409213568835
sub02,13766.769665986578,13768.09570553962,13770.74873389268,13771.756560581453
sub04,13897.954250005281,13898.813519120658,13902.340444684556,13902.878184953635
sub13,13778.3906657965,13778.780543316065,13779.370670210124,13781.315047938733
sub14,13770.447300364056,13772.434003852371,13774.319131395934,13776.427374510764
sub15,15075.161783181844,15075.76914671039,15076.634292338817,15073.112176493973
sub16,14526.707996500105,14524.81873288921,14529.77814176502,14528.921626850572
sub33,14500.89569138131,14501.193740061084,14504.526653867066,14504.484986588315
sub34,14308.161875037915,14309.91646376042,14312.147526166424,14311.800126961292
sub35,14691.545448715351,14693.434496756141,14693.652421793015,14695.576956821516
sub36,16500.39739600231,16501.978563412613,16501.20194798778,16499.801542462108
sub37,14084.937310337451,14086.022851684509,14087.48065937525,14085.224466619875
sub38,13733.095446585594,13735.092694088717,13735.285462763612,13738.849653073648
sub39,14441.044176245376,14443.027797155777,14443.678022716562,14446.911060639375
sub40,13743.747849977972,13745.227869835908,13745.668012097633,13746.388706307343
sub09,14163.532703035991,14165.434002510754,14165.46042245401,14166.490606542593
sub10,14798.804357446159,14800.160109368313,14797.789499956194,14803.92901257505
sub11,13856.680212182167,13858.149250144055,13857.364287840985,13861.903707365938
sub12,14188.548062145906,14187.392524141636,14196.039393147868,14195.461865665713
sub17,13261.058640636233,13262.415975321352,13263.580063999028,13261.771768628365
sub18,14514.700225634731,14516.612099670901,14518.729059033512,14520.123382318381
sub19,13806.1360461187,13805.982512003076,13809.147592702118,13810.015850613354
sub20,14433.051780432206,14433.935425747195,14436.493167879378,14437.901636678083
sub41,14729.448742905452,14730.845054060646,14730.458990114172,14735.189548309056
sub42,14367.048586437159,14367.716661029883,14370.41256579175,14371.630393501653
sub43,14093.137018714562,14093.415466605791,14096.698948707719,14097.054556915606
sub44,14896.074987350881,14896.240434037285,14897.602973353498,14898.225442008335
sub45,13695.796739668007,13697.479920301648,13698.472858766985,13700.937646616345
sub46,15223.372629595979,15224.241792420149,15225.121438697075,15228.916097943697
sub47,14020.031509940949,14020.700433799024,14022.9817233384,14024.871077195468
sub48,14951.775670737255,14953.323036340293,14955.665006271369,14956.732243928936
sub05,14211.363832832883,14213.165813511367,14213.641126018929,14214.212503850025
sub06,13784.420164843566,13785.701132208127,13787.923099588685,13782.056271517791
sub07,15021.499223930163,15021.401684229819,15024.763904751377,15024.745769456818
sub08,14160.402988646902,14162.253054287437,14164.71897523344,14160.989623511045
sub21,13840.594442441812,13842.142658735753,13842.644435445662,13845.440249422983
sub22,14464.75481171809,14466.29470769705,14468.748944383635,14469.775754775339
sub23,13200.931155449924,13202.93115554888,13204.931155470735,13206.800622496605
sub24,13646.596626844024,13647.745388526282,13650.597950787806,13650.397540828877
sub25,13440.016279505171,13441.782877717971,13443.971667118603,13445.59542265151
sub26,15112.866717677827,15113.183183843652,15116.807004986867,15116.332115436133
sub27,15155.074030994905,15156.78590511808,15159.98960204621,15158.403142602248
sub28,14243.497077725835,14245.336924398154,14247.193796300957,14248.908253727275
sub29,12613.011829924952,12613.831800183365,12614.439123988823,12617.79338624595
sub30,14175.99346408473,14174.89005210376,14180.624036680669,14178.820381594394
sub31,14462.058145861221,14463.27344884042,14465.695523148566,14467.144186551905
sub32,13890.29562406316,13892.160115304368,13892.008918452086,13894.111027309875
