subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,-1685.208871629447,-1684.3550421461166,-1686.5302216683801,-1682.3399400909916
sub02,-1393.7211850035253,-1392.2648836849605,-1390.025187966341,-1393.3597250466873
sub04,-817.9610835478833,-815.9717096026579,-820.3589348444775,-814.8705109678967
sub13,-633.5620147116348,-633.2673253471074,-633.0667000631015,-630.2379237883509
sub14,-700.5118810082286,-698.5294842335588,-697.3776128586604,-694.9077791126974
sub15,-468.18663954844766,-467.7485647347117,-457.35989207498636,-463.02738173281296
sub16,-225.75511540430625,-227.63336564475003,-222.03200850793843,-232.7357447297068
sub33,-340.5010119699805,-340.47110303913536,-337.00218087767144,-336.23433155456183
sub34,-707.5924409386894,-705.6358172281758,-704.1887990840582,-657.3208336223774
sub35,-458.9484659227087,-457.0900654836237,-456.75989133342995,-455.30876167939005
sub36,610.8648046085433,612.6788057571857,610.1757416013184,612.9823227862718
sub37,-549.5623779069515,-549.5204214628602,-545.5615160262423,-551.4820871079669
sub38,-498.5688181437481,-496.58856221838545,-494.76850414343653,-492.7515508716315
sub39,-423.3722472402064,-421.57095119831587,-423.7554801788883,-418.93830127368483
sub40,-1040.6199101319207,-1039.260264838068,-1037.8920177773489,-1037.197193670263
sub09,-1011.4451626753785,-1009.6306366815463,-1008.0243636782312,-1005.0115044293912
sub10,-645.5677325767119,-644.5186280179078,-647.2497369621498,-639.892764432805
sub11,-158.49474103001012,-156.5342092593296,-155.62736261392732,-155.69621585638924
sub12,-590.7745410417398,-594.1626166782047,-587.6678014844488,-585.9213881363663
sub17,-1174.2712405876227,-1172.4981467577018,-1173.2419940325235,-1168.832586332658
sub18,10.037212690151136,11.45744612650924,17.63080302056096,13.578807415683965
sub19,-121.29436431893828,-121.31127931347736,-118.11216194173677,-118.85254960190694
sub20,-515.8547698794746,-514.8940667917564,-512.4305094132756,-513.1237195706053
sub41,-601.0990553382749,-599.8060292515943,-597.0849321494675,-595.5305957356118
sub42,-190.6993592901249,-191.2756863036993,-187.15466829198974,-188.2129571202649
sub43,332.58781182035864,333.0335756261861,343.9297070765383,338.1403366848067
sub44,-563.409932219663,-563.2708877611726,-560.5612868401454,-562.3445825375588
sub45,-1127.0439679983674,-1125.3018143390973,-1123.457028838272,-1089.501681534166
sub46,-390.9680092783556,-389.71870431067833,-388.2801046014824,-384.15139349776115
sub47,-891.5051331495357,-891.3480407464763,-880.2840204850877,-887.1027992745744
sub48,-236.31817879541583,-234.8669827652643,-232.3254678382414,-230.75591934109616
sub05,-1336.504779088929,-1334.1478603545834,-1333.5908657623434,-1307.501176848697
sub06,-1195.1716875719667,-1193.8522257166733,-1191.2169095451407,-1190.2449096786868
sub07,-179.2369253754891,-179.46773476205001,-166.70396597433364,-177.83651766909404
sub08,45.375641699224616,45.72124616970586,46.589500431919525,54.24294149736671
sub21,-1185.017236300553,-1183.4341158460345,-1181.8740482527048,-1180.1464091533396
sub22,-808.0421434653896,-806.3274541524847,-804.5956138439146,-801.0263449085746
sub23,-1145.058595656913,-1143.0585955735432,-1141.0585956401465,-1139.080767547618
sub24,-787.0119922275171,-785.7655900600702,-783.0996053812752,-782.6233910365236
sub25,-1256.9725924414881,-1254.9062735558782,-1253.0679889031317,-1251.771873589707
sub26,-133.20233839598632,-132.93089660547278,-128.16045526157313,-128.63497936706062
sub27,-165.30788984913715,-163.65715902152849,-161.28121314707687,-159.65715873099268
sub28,-885.5453909755861,-883.5596561456041,-881.5453909781672,-879.5353020849425
sub29,-1835.121216427787,-1834.4749252407337,-1834.8694241963547,-1830.5132250071701
sub30,-502.399398108063,-504.24005352833734,-498.9804167133193,-500.6489446743126
sub31,-877.6838418002799,-876.4055113593131,-857.6613286203748,-872.6516620360571
sub32,-1138.798657683013,-1136.8673064336729,-1137.381929708345,-1134.24902948301
