subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,-1759.3590525444065,-1815.495636723616,-1814.1806462831632,-1813.6350529788795,-1811.8134458506681
sub02,-1424.938359859207,-1480.5813573178978,-1478.5814389705704,-1476.5814375848395,-1475.824568095466
sub04,-833.1915453634782,-831.3834679274896,-829.5775842286321,-829.0398331410361,-819.8482629861146
sub13,-683.4440428973735,-727.4308606123918,-727.4428742448285,-727.261643389324,-726.6544610638153
sub14,-700.2273411621492,-712.8984812097716,-711.7691294854294,-714.4131123157257,-715.9477263853587
sub15,-487.18530479169664,-527.7859117703424,-525.8759785346465,-526.4026486006942,-526.8353722188299
sub16,-225.64326747361886,-275.65548750198195,-294.18762205563826,-272.18167435266514,-283.2193814185066
sub33,-392.85739538455977,-446.1433859657268,-447.3824222692992,-444.5836506138794,-443.69593725668886
sub34,-718.9102876844687,-734.5935464731415,-733.4204265320982,-731.0761417055859,-723.3387128187082
sub35,-493.4427256459521,-548.2118069333173,-550.3354903612435,-552.6690155122534,-551.0488018602064
sub36,580.8585374000936,501.1377112234859,500.87173659071686,498.781611269374,498.69343229612196
sub37,-589.3189148760844,-652.7522837356088,-652.6810243339837,-650.0100294111386,-650.002360558346
sub38,-500.1397574418902,-515.6462563460364,-514.7264301404707,-512.2824942633656,-511.76796587234816
sub39,-482.2887332754822,-705.6164226862566,-707.3538669257978,-704.7171223023915,-726.8424718736796
sub40,-1057.2570042782042,-1071.2996260043356,-1074.2811641710423,-1069.7371746527988,-1068.977399769352
sub09,-1036.7931966810195,-1106.6279530303286,-1110.2660786886922,-1103.2544214706427,-1109.349717643849
sub10,-649.588711233011,-675.2622968980168,-674.8371832522053,-671.2623641527307,-670.3794016343772
sub11,-208.92132355991768,-266.1624279324278,-265.0573617125565,-262.4199344111057,-261.86246083994143
sub12,-594.3345810742999,-628.7093212209442,-631.0577003198819,-625.3582452444894,-628.4650638552707
sub17,-1173.0518544893955,-1193.6333848628292,-1194.9595510676857,-1191.0370787882648,-1192.115273107871
sub18,17.73452990548094,-7.604815414115818,-5.624498924104046,-3.604790498537113,-2.872032682788813
sub19,-115.49443022838112,-129.75838432085402,-128.3310520963205,-126.88639714053714,-124.35987382287522
sub20,-576.5499034768983,-644.0016610646485,-645.1992994488205,-639.7716762106379,-639.3945884581212
sub41,-630.6474467604025,-701.1302519161804,-701.1691025762907,-685.8906556111183,-702.6748840210797
sub42,-193.07519457476792,-191.3377243595401,-190.25869881721886,-187.33754071660405,-187.19996797411113
sub43,334.07653686854434,335.9890905599164,325.36786642212974,332.92570274268155,331.19053960116213
sub44,-579.3847898772842,-589.6375391578063,-587.9454410541052,-588.210470906522,-585.9292645995487
sub45,-1157.3066679452904,-1214.9573576516184,-1213.3634354854285,-1212.1692196800595,-1219.2203690069455
sub46,-390.22668012189115,-398.0384281724082,-396.1610750262016,-394.03851037529694,-392.78510522811933
sub47,-944.074157311386,-1009.3337478874279,-1007.3756065476005,-1006.3207270047457,-1007.4246717925002
sub48,-219.73731400974654,-280.3698603244102,-279.909957722049,-277.3472666157859,-280.9545739968553
sub05,-1320.1819083703501,-1319.3789654306606,-1317.4453430554315,-1316.1003912023784,-1316.1172508817474
sub06,-1242.5842805250013,-1291.6856169804905,-1290.4497601442436,-1287.7986835754084,-1286.60239089451
sub07,-183.14727447790028,-181.19940786716185,-180.14867339163902,-177.19933335029873,-162.65550320457032
sub08,33.63108774454077,33.304520351761774,33.88809332451228,35.7395589855023,36.70482957636432
sub21,-1210.888121677876,-1230.3794877880239,-1229.5842364548755,-1228.8821546053618,-1227.9683046164105
sub22,-821.0202447589686,-825.7163105320966,-823.758854457948,-822.1173556613943,-820.1144895358134
sub23,-1202.378249443922,-1233.6440516510456,-1245.4214448684704,-1230.7216900130713,-1237.9995497712825
sub24,-825.1871816494387,-835.0751467458722,-841.2923761467863,-831.3444649409047,-838.3214663580184
sub25,-1257.1049229767568,-1264.3316823041832,-1264.7387093319185,-1260.7770603420695,-1260.3015017146256
sub26,-183.7518022948375,-253.62520815913055,-254.6150607589325,-250.31322518252816,-250.20990051312992
sub27,-233.0661344567975,-315.70576591316467,-313.71198615959975,-326.11812598885484,-309.8619580872619
sub28,-915.1933232851708,-935.3440214070517,-934.0914688791344,-933.1424374867777,-929.6882922120913
sub29,-1888.347922543675,-1926.5135177786026,-1926.8592217371047,-1922.961314969731,-1922.769170402676
sub30,-536.0301288935475,-552.6217751074314,-551.4358364415407,-548.612018103227,-547.3357013592649
sub31,-919.1928901643753,-947.3061556742124,-945.3760800632743,-944.2683190395064,-943.1233533077066
sub32,-1214.1332940069353,-1256.1602339588476,-1254.5487366068694,-1254.6652139407647,-1253.8078782221394
