subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,206.37316688896684,201.38788824817718,203.26978458632541,202.65547465890904,204.66077319621945
sub02,241.81046072682784,243.81048184757216,245.63085901069417,248.4261179521518,249.42549853281525
sub04,1405.2433561220416,1407.2212312851466,1415.367037462328,1408.2264493598934,1419.2679600795782
sub13,-226.91694047184228,-251.35577322242213,-249.73758026781158,-247.53269095147468,-245.73764807836915
sub14,-765.0682784310657,-781.7963879578218,-780.8247066813065,-783.161309137936,-776.8627623629936
sub15,628.0642311148143,607.2653890147085,609.2630492327003,608.9030063449,611.1978373560014
sub16,-234.70784113552187,-278.08294030283605,-296.63943791408155,-274.0831825898108,-290.13012824273534
sub33,-56.635955564303906,-88.45447993016704,-88.81062822774084,-86.27960675461235,-85.63248084852967
sub34,-696.0712469522838,-710.3414490719911,-710.0035328583767,-706.3414595022673,-706.0033469177838
sub35,-494.99343689085936,-548.0428688156403,-550.050736122666,-551.8063256900846,-553.3799674741035
sub36,1612.6657001186638,1569.4069197693052,1569.7439796404226,1570.9000670552546,1572.5036146246262
sub37,-413.6714438137801,-476.99511081354655,-476.6389698669036,-474.1462162340786,-471.2537770924091
sub38,605.5709146386198,598.3515119288095,600.1450174900792,602.1249146179342,607.1564078153759
sub39,-466.5642781587631,-681.759280494608,-694.2122049581494,-685.2540534465023,-691.8479482135518
sub40,-1023.2978880320379,-1038.4592992377977,-1041.1148836304046,-1038.7429160080321,-1032.7451989001127
sub09,-1052.3249928030496,-1123.5488492529726,-1127.2528728109505,-1120.0183328741546,-1124.5380540577846
sub10,-646.3675819572312,-670.8832315570086,-670.4228595879426,-666.9853775305596,-666.2261676652538
sub11,2353.4195292529284,2345.4670448361207,2347.2507017448384,2349.055849812123,2350.5431652981
sub12,432.91433971341996,432.02091542908653,430.38295740522466,436.0209110332434,438.7130607142572
sub17,-1200.3989707152582,-1220.7492614326934,-1221.9750780587926,-1217.0319047449098,-1217.3085798400002
sub18,3480.8964144133906,3482.9019384482704,3477.53961598372,3485.736458342452,3488.6376009758064
sub19,2740.642946891005,2742.6459946248256,2750.4825743946667,2747.0805962294826,2746.7459667581047
sub20,574.1917252871423,541.4410086367739,542.3491165942663,544.4326153834836,607.5613583502268
sub41,564.5730270337845,530.7731557404763,532.0396687579519,531.6781688374836,532.3744200048218
sub42,1249.3686342890587,1250.938141849911,1253.3898229080355,1254.6649497439062,1250.7125681635264
sub43,2866.841491210944,2868.0947990799896,2869.830236178088,2872.1817681004686,2874.218423717736
sub44,-578.8878638258337,-589.8412021573395,-588.0891094889147,-586.4555007245508,-587.2364825171718
sub45,935.6300601206833,918.862403328977,919.86069979685,922.6722870047456,922.8745185154597
sub46,-378.05520146944167,-385.36362396545655,-384.15418565791197,-385.73891487576515,-381.89459589350565
sub47,-618.1532636004476,-670.7288725313101,-669.4937541566696,-666.9555603667604,-669.6348159457821
sub48,-206.32330492468785,-260.6803483783133,-259.7330661160386,-261.0946579469187,-261.8416938263058
sub05,1025.7536995536984,1027.7539407651207,1029.6505404195902,1031.7264026705857,1033.7460443032924
sub06,-1256.0519716110346,-1303.0388322014066,-1301.8914497452638,-1299.1364809398242,-1297.7981266553793
sub07,1544.4559937704926,1557.432635656865,1544.3548390694527,1549.89278447871,1550.0100405776864
sub08,4910.835245805366,4912.229427746535,4910.46694995166,4917.106021379284,4917.829492143455
sub21,-1240.3146042073308,-1260.806430307011,-1259.948184112533,-1259.42481716878,-1256.8303229466333
sub22,1403.8327963917334,1402.6040650250477,1398.798625442163,1404.875277893313,1408.922778168394
sub23,-1173.9412715172434,-1203.2442107632064,-1215.714508965088,-1199.5094271485918,-1209.0435691501248
sub24,-824.9979039897752,-831.5999450240787,-835.8781696431515,-827.7079531675017,-834.6655081984163
sub25,-1261.9156903871972,-1268.583677780638,-1268.6465692929676,-1264.7747390918385,-1264.6475338496375
sub26,754.0781085154667,712.115620717297,712.5878791869109,715.7130721586956,716.7279981937112
sub27,-199.76698478367558,-278.62423390128015,-276.6245300325258,-274.92988003899933,-273.9391685882033
sub28,1384.8971308973366,1386.8972583890134,1388.896442559599,1390.8765667881546,1322.0338225556625
sub29,-1906.7325688796325,-1944.430816500764,-1944.7757288581133,-1940.5822746137733,-1940.2456648830605
sub30,1992.1113244482772,1990.4968116595328,1990.402204086391,1994.0156653511915,1994.8384963431427
sub31,-625.1152666190324,-645.7753194012516,-643.8171899592749,-642.5836977717195,-639.6375539625718
sub32,-1200.1129699239327,-1238.0232431904342,-1236.308061212435,-1236.5775602799652,-1235.3973068284395
