subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,13625.75167,13626.80448,13627.89237,13630.86032,13562.30274,13520.16347,13521.28077,13521.37688,13523.2309
sub02,13937.83318,13939.13534,13941.63406,13940.05815,13913.81657,13871.45761,13873.45761,13875.45761,13876.13402
sub04,14651.39957,14653.35847,14652.35714,14651.11394,14646.84522,14648.84525,14650.84223,14650.62115,14652.64311
sub13,14666.20795,14666.87339,14669.76882,14695.65963,14623.14872,14590.16258,14592.01033,14592.7136,14593.87684
sub14,14657.96317,14659.88423,14661.91168,14661.67447,14657.02098,14642.97697,14643.55719,14641.65077,14635.58533
sub15,15361.84799,15363.31447,15365.40386,15367.17502,15353.23352,15318.29703,15320.29697,15322.29569,15322.91663
sub16,15095.33406,15093.21866,15099.0732,15097.41695,15097.7503,15059.41512,15041.55878,15063.09837,15048.145
sub33,14904.40145,14904.78822,14900.15621,14908.24569,14860.98967,14819.95413,14819.01459,14822.9668,14821.76251
sub34,14786.90607,14788.10538,14789.66757,14792.16197,14775.56438,14765.79642,14765.06013,14769.79642,14769.02072
sub35,15045.4652,15047.33938,15047.47384,15047.96666,15017.27073,14973.62137,14971.46777,14975.71342,14970.28173
sub36,16767.01749,16768.31719,16766.43419,16772.45836,16751.79133,16702.8622,16702.19533,16704.68783,16703.46909
sub37,15107.63895,15105.40876,15111.34968,15105.78854,15073.31523,15028.26351,15028.95551,15031.50852,15032.6509
sub38,14492.88412,14494.8405,14495.96315,14497.28881,14492.14169,14475.6515,14476.89313,14478.27277,14495.84195
sub39,14840.39444,14842.03809,14844.39422,14843.59652,14808.05678,14643.37104,14619.18211,14645.67576,14623.1424
sub40,14361.88171,14363.76809,14364.13564,14367.50276,14354.95808,14340.59375,14338.08981,14342.80237,14342.08981
sub09,14477.3436,14479.25029,14478.91465,14476.65232,14459.33902,14391.96714,14388.23141,14395.01151,14389.29621
sub10,14895.08431,14896.83772,14893.0829,14895.89816,14894.73851,14873.59739,14874.11529,14876.90741,14879.92156
sub11,15637.03654,15638.78989,15639.74461,15641.22471,15598.06311,15569.68841,15571.0515,15573.66371,15575.29068
sub12,14790.99512,14792.19777,14793.5801,14796.40842,14791.96572,14782.97998,14802.58483,14786.97998,14779.75758
sub17,13752.55502,13754.53736,13756.41206,13758.2374,13752.04321,13731.63375,13730.62445,13734.3807,13735.07906
sub18,15909.10578,15910.49633,15912.47874,15914.44128,15914.81017,15910.72528,15908.76349,15914.73997,15912.76349
sub19,15499.76708,15501.70688,15503.69433,15505.68796,15509.64455,15501.44417,15503.38131,15503.58987,15507.05897
sub20,15103.42298,15104.53041,15107.09421,15108.99721,15055.65482,15005.08748,15004.40926,15009.01326,15010.09519
sub41,14956.15272,14957.27675,14957.13464,14959.00856,14937.4146,14881.03446,14881.0372,14878.03682,14879.81558
sub42,15350.60985,15352.2198,15354.04508,15355.81448,15352.17826,15354.74317,15356.66845,15358.58569,15359.46351
sub43,16007.46285,16008.02269,16012.74842,16011.72319,16007.23487,16006.421,16005.05049,16009.66138,16008.98059
sub44,15221.78045,15221.71224,15222.25808,15224.85062,15203.88475,15193.92281,15195.36306,15197.62186,15197.60628
sub45,14297.51091,14299.50968,14301.50866,14303.50866,14281.43569,14220.03336,14221.84997,14219.84532,14219.97959
sub46,15569.57035,15570.08734,15573.01478,15573.84441,15569.06303,15562.37538,15563.84403,15566.08612,15567.86904
sub47,14716.28687,14718.2822,14719.91421,14719.50942,14682.80955,14632.8923,14634.5388,14636.89966,14637.77357
sub48,15289.18739,15290.98112,15292.06058,15294.23237,15305.65976,15265.27699,15266.76584,15265.2364,15270.76584
sub05,14405.92722,14407.72509,14404.62312,14409.96117,14423.25947,14424.98486,14426.96351,14397.72336,14397.42928
sub06,13948.76425,13950.06049,13952.03902,13953.98688,13905.40999,13863.68547,13865.02929,13867.6236,13868.8827
sub07,15645.91933,15645.89377,15648.95066,15649.19952,15640.35926,15641.92505,15642.68135,15651.92411,15658.30478
sub08,16063.2614,16072.89295,16074.81929,16073.29558,16065.06703,16066.31122,16068.2419,16064.16941,16072.12465
sub21,14157.6767,14159.23455,14160.48408,14161.91632,14133.24908,14114.1192,14114.81218,14115.17764,14120.11438
sub22,14805.4289,14806.69689,14809.59879,14809.63699,14791.49071,14788.37932,14789.93248,14791.05164,14796.13954
sub23,13743.90242,13745.90242,13747.90242,13749.926,13687.50389,13660.88923,13650.52585,13664.63742,13656.94979
sub24,14443.61614,14444.78542,14446.75072,14448.83922,14412.14948,14407.62123,14403.87344,14410.20251,14404.96888
sub25,13889.77634,13891.62473,13893.44532,13895.53447,13888.35668,13882.36979,13882.49473,13886.36979,13886.49188
sub26,15532.08641,15532.37786,15536.07607,15536.34,15499.62129,15438.23355,15437.42625,15442.0615,15442.32828
sub27,15459.7321,15461.49841,15463.53985,15465.49841,15388.27093,15314.86679,15316.77214,15308.45213,15316.0026
sub28,14729.27543,14731.05859,14733.20354,14734.82997,14700.00637,14689.7873,14691.58572,14688.42057,14693.67835
sub29,12796.84529,12797.72601,12797.99148,12800.85773,12749.85017,12712.95912,12712.36056,12715.96411,12713.70907
sub30,15107.30431,15107.78301,15111.6208,15111.5446,15087.3602,15078.13691,15079.60608,15081.14332,15082.77654
sub31,14605.60802,14606.86066,14605.21748,14609.93244,14569.90242,14545.50797,14547.46686,14549.41774,14551.0296
