subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,-1754.2185995013053,-1805.2147306374136,-1798.7592871538598,-1793.0732408064746,-1786.111180635162
sub02,-1419.7923753914922,-1470.2893883824688,-1463.143485567427,-1455.9974997139816,-1450.094645756894
sub04,-828.081665900406,-821.1637090013451,-814.2479458394153,-808.600315288747,-794.2988656707532
sub13,-678.3415435415989,-717.2258619008426,-712.1353761775046,-706.8516459662254,-701.141964284942
sub14,-695.1422768681965,-702.7283526218663,-696.5139366035718,-694.0728551399156,-690.522404915596
sub15,-482.0528072400365,-517.5209166670223,-510.4784858796664,-505.87265839405404,-501.17288446052964
sub16,-220.53338801054656,-265.4357285758374,-278.85798366642143,-251.742156500376,-257.66998410314517
sub33,-387.7305045756609,-435.88960434792915,-432.00174984260286,-424.0760873782842,-418.0614832121949
sub34,-713.789035231224,-724.3510415666524,-718.0566691723645,-710.5911318926077,-697.7324505524855
sub35,-488.31262713582663,-537.9516099130661,-534.9451948308667,-532.148621471751,-525.3983093095785
sub36,585.9886359102193,511.39790824373705,516.2620321210936,519.3020053098763,524.3439248467498
sub37,-584.2139494278147,-642.5423528390689,-637.3661279891743,-629.5901676180591,-624.4775333169969
sub38,-495.0698833134316,-505.50650808911917,-499.516807755095,-492.0029977495314,-486.4185952300554
sub39,-477.1618424665834,-695.362641068459,-691.9731944991014,-684.2095590667963,-701.2080178291857
sub40,-1052.1389880737393,-1061.0635935954049,-1058.9271155576464,-1049.2651098349374,-1043.3873187470253
sub09,-1031.661498170553,-1096.3645560093946,-1094.8709831572914,-1082.7276274287751,-1083.6912250915145
sub10,-644.4411519618216,-664.9671783556379,-659.3945054386369,-650.6721270679727,-644.6416052784299
sub11,-203.86946793696185,-256.05871668651605,-249.9017948436888,-242.21251191928212,-236.6031827251619
sub12,-589.2141367019074,-618.4684324761593,-615.6963672027044,-604.8764677549193,-602.8628419933083
sub17,-1167.9338382849305,-1183.3973524538985,-1179.6055024542895,-1170.5650139704035,-1166.5251920855444
sub18,22.801849754134413,2.5298242831911324,9.577460621856384,16.66448889607679,22.46456656047857
sub19,-110.45476987851906,-119.67906362112987,-113.21207104673428,-106.72775574108887,-99.16157207356484
sub20,-571.4392073539192,-633.7802688186907,-629.867211079884,-619.3288917187226,-613.8411078432272
sub41,-625.5125559088367,-690.8604702130485,-685.7644300215931,-665.3510922048547,-677.0004297632504
sub42,-187.99348598866237,-181.1743071873289,-175.0135730589021,-167.01070637218177,-161.79142504358327
sub43,339.1223134454238,346.0806437136754,340.50519615276835,353.1088090501997,356.4194224855596
sub44,-574.2506961560914,-579.3693517154205,-572.5431598905267,-567.6740960217505,-560.2587959935845
sub45,-1152.190273801197,-1204.7245693634318,-1198.014253053148,-1191.7036431036854,-1193.6383982864784
sub46,-385.0965816117656,-387.77823115215705,-380.7707794958249,-373.5181163347946,-367.13461267749153
sub47,-938.9537129389937,-999.0928591426429,-992.0142734304229,-985.8389495151756,-981.8224499305377
sub48,-214.61122673644743,-270.1176857778119,-264.5316959021517,-256.8429175225894,-255.3241376303597
sub05,-1315.0390809691885,-1309.0933106283373,-1302.0168608519466,-1295.5290815977319,-1290.4031138759394
sub06,-1237.4446201890366,-1281.4062963085607,-1275.0307791363487,-1267.2400422315484,-1260.9040892146852
sub07,-178.03576236140412,-170.97638363416957,-164.81413704215055,-156.7532848843141,-137.09794262208953
sub08,38.682943367496655,43.408231597673556,49.043660193379964,55.94698147732588,61.96410769114379
sub21,-1205.7572228475794,-1220.1176901274314,-1214.1915399639868,-1208.3585592841764,-1202.3138104649288
sub22,-815.8869488040725,-815.4497186223042,-808.3589665932598,-801.5841718418103,-794.4480097613332
sub23,-1197.2610439407574,-1223.409640644717,-1230.0698283589775,-1210.252868000414,-1212.4135222554607
sub24,-820.091288428341,-824.883360303677,-826.0046964834938,-810.9608920565147,-812.8420002525309
sub25,-1251.9788357034574,-1254.079507757585,-1249.360447512021,-1240.272711248873,-1234.6710653481298
sub26,-178.6241085954901,-243.36982076043574,-239.23197966089032,-229.8024503851386,-224.57143201639286
sub27,-227.93044710976932,-305.43439121910836,-298.3049241185153,-305.5753766007424,-284.1835213521212
sub28,-910.0648273394906,-925.0870295156917,-918.7059810420944,-912.6284537040573,-904.0458124836913
sub29,-1883.2122351966468,-1916.242143084546,-1911.4521596960208,-1902.4185655816186,-1897.090733667535
sub30,-530.9276295377729,-542.4167763958822,-536.1283383742167,-528.2020206801284,-521.8232045803917
sub31,-914.0469056966608,-937.0141867387836,-929.9381266601313,-923.6843811686487,-917.3934309691347
sub32,-1208.990466605774,-1245.8745791565245,-1239.1202544033847,-1234.0939043361184,-1228.0937412163314
