subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,223.164075321947,230.23329887175944,237.0944989840444,248.2013151349061
sub02,255.6954799548924,262.5956327906644,271.87117368450987,276.7720704189941
sub04,1407.7485063270274,1414.8459682998794,1424.192409038806,1429.1489387650254
sub13,-182.0990749562349,-176.3672850169177,-167.88621084320502,-162.86851850442946
sub14,-760.7947850561079,-753.7237949470024,-741.4311020431294,-724.8055337457538
sub15,631.0072876160832,637.528520086484,644.3199152591326,650.6834821970435
sub16,-233.1597514148709,-230.03243112922482,-218.86402868214267,-215.55179621324916
sub33,-15.766040535113564,-9.77907642091416,-1.8119981562998329,4.99892213103162
sub34,-680.4512600782572,-673.6751449126763,-669.2191980050679,-660.2826863057825
sub35,-456.42005265635737,-449.41609337733934,-444.7723431070065,-438.62042618310204
sub36,1627.9900679050336,1635.1115357362432,1642.2594829982386,1654.8182926302775
sub37,-367.8977389410426,-366.8242385227889,-353.6122565336392,-356.0099443176425
sub38,609.9659763094394,612.5459187832589,622.915649974311,629.8459243282991
sub39,-407.9260946913499,-401.2865989411308,-399.2101657082288,-386.73913626934217
sub40,-1010.3976753407687,-1003.3593044008604,-997.0435920064286,-991.4590877867508
sub09,-1023.0578296108985,-1016.0888215029717,-1012.1278699863133,-1004.0907639381447
sub10,-638.4422639861582,-631.7093609558111,-624.1581108902581,-618.8806851797779
sub11,2359.346781750489,2361.878028482584,2372.4082852857496,2376.17786222803
sub12,438.01540835491136,444.87903014758604,450.9185565062853,457.6426242256234
sub17,-1193.2794524437554,-1186.2172824638562,-1178.9720270135035,-1164.3491337943547
sub18,3512.4547283056922,3484.2289737690376,3503.133485982605,3481.490205738699
sub19,2744.0249602066338,2749.539633390053,2758.323982698805,2765.5307268860042
sub20,588.7653034222153,595.6589519515759,602.6018731653663,609.7531101771012
sub41,565.7459903471123,590.6773974593357,578.4566953141169,567.7366163444402
sub42,1253.351665037533,1259.5128768414625,1267.051808516592,1273.7476754574147
sub43,2871.874830996797,2873.133125721962,2886.2271330135427,2889.1983434528324
sub44,-555.3437807130274,-550.221352266732,-537.755203302194,-537.9057232720695
sub45,936.5857030994084,943.7198917981308,960.5309163999688,954.5586154831267
sub46,-372.70687538418474,-366.6705397964978,-359.87269807899077,-351.5978058968897
sub47,-577.5490800857689,-570.3936837766918,-557.8057527294109,-556.4840088283769
sub48,-220.0412194988706,-213.13492964420456,-205.8616952062611,-200.1175135737273
sub05,1024.6473777078957,1032.9848710007561,1040.9696095463555,1054.0797471070928
sub06,-1200.1877220328606,-1193.6793843719595,-1179.4271875267018,-1180.074158456073
sub07,1558.2022409294004,1563.2621981365432,1574.9330787295712,1576.3773608565073
sub08,4903.957952148593,4910.00904044423,4930.419239183172,4934.7651113152615
sub21,-1208.443260072006,-1201.6796849992174,-1196.9627162550084,-1188.1092852701493
sub22,1416.917690942778,1422.7854941086193,1436.5757957871192,1437.0796213326803
sub23,-1104.6167105630034,-1097.463658816924,-1055.5963769979778,-1083.208517302034
sub24,-781.6455477668089,-775.1968195886752,-770.4537262929853,-762.9580456557308
sub25,-1255.5333942946954,-1248.4715388930751,-1241.0917696478173,-1234.1291019724335
sub26,766.0873326740013,772.2299639696798,800.5579645576871,786.3496104131947
sub27,-121.51106651422987,-114.6370437197919,-109.39718270290365,-100.7144983780652
sub28,1410.148938664905,1417.3002593620677,1341.5942866135736,1431.4628314097047
sub29,-1850.7969417578927,-1844.939499848949,-1837.5133836049317,-1830.8389148315198
sub30,2000.9351221732447,2005.670838576692,2013.9779150403656,2024.6388588736065
sub31,-580.2698735226293,-573.623652721081,-565.8999185511593,-559.6223639778873
sub32,-1127.3126651999905,-1120.0509429621343,-1115.5814848434306,-1105.9310753171499
