subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,211.52386834655928,211.68929116336227,218.72188895910298,223.25828048927917,230.4142804841821
sub02,246.96585702872454,254.12127445136562,261.0970479163844,269.0477031597387,275.2024800422989
sub04,1410.394841585946,1417.524202212956,1430.8214938540423,1428.8323912155124,1445.0253873991019
sub13,-221.76545500793753,-241.0528022946127,-234.28312387609742,-226.92674909585574,-219.98022075884543
sub14,-759.9191468325082,-771.4981247607071,-765.3773118856343,-762.5647827437062,-751.1171043702066
sub15,633.2133627133719,617.5636522118233,624.7104440283725,629.4995327391297,636.9434953487885
sub16,-229.55949539162185,-267.7862488150359,-281.19440068238134,-253.48979961421054,-264.38839952323497
sub33,-51.48290392936643,-78.14837666029209,-73.35147332292841,-65.66740021486244,-59.86722267384226
sub34,-690.9213301161516,-700.0416153997269,-694.5537823499805,-685.7417921577387,-680.2537627371232
sub35,-489.8411680348268,-537.7383311035752,-534.5939295545684,-531.1972502659544,-527.6186231939408
sub36,1617.8101072989853,1579.6957341299471,1585.1772011813862,1591.477695776539,1598.225650526232
sub37,-408.5168284568665,-466.68588009971916,-461.17512379616267,-453.5277548064239,-445.4807003078408
sub38,610.6921670918642,608.5940168352986,615.5087748498129,622.6099244309124,632.7626700815987
sub39,-461.415932414863,-671.4625890068079,-678.7671677264493,-664.6606704709021,-666.1062194940514
sub40,-1018.1417113945572,-1028.1469459628363,-1025.6463537179627,-1018.1182094581094,-1006.9643157127098
sub09,-1047.171941168112,-1113.2427459830976,-1111.793717906138,-1099.4061263344047,-1098.7727958830974
sub10,-641.2137481556524,-660.5755639538507,-654.9613581832061,-646.3700423242442,-640.4569986573596
sub11,2358.5694460890604,2355.7668785083856,2362.7004522532347,2369.655517156651,2376.29274947876
sub12,438.057957316124,442.3081506344947,445.8138102133371,456.59538144405997,464.4311487277778
sub17,-1195.2451369136793,-1210.4415938295356,-1206.513576654056,-1196.4165695385946,-1191.5394108321061
sub18,3486.038450988097,3493.186011597684,3492.96572570784,3506.304604641279,3514.3477838493404
sub19,2745.789719070458,2752.939538983731,2765.9228909330245,2767.6676849472933,2772.4798276553674
sub20,579.345559088721,551.7486762399317,557.810617999003,565.0479505897989,633.330527358121
sub41,569.720586304974,541.0682742828552,547.4823465715201,552.2684059222414,558.1122163607689
sub42,1254.5059127263194,1261.2126987244321,1268.8016582198168,1275.2140634929476,1276.3989603498285
sub43,2871.987475678657,2878.3867680154185,2885.268189581231,2892.765705971327,2899.9483460563088
sub44,-573.7332484689202,-579.5319714435121,-572.6252634181739,-565.8370392968961,-561.4634057326034
sub45,940.7831117556206,929.1685065988519,935.3198547016624,943.2844935444957,948.6397766901473
sub46,-372.90371600553704,-375.0606530376471,-368.69972926619783,-365.1329730201463,-356.1371685739818
sub47,-612.9978672985509,-660.4180799275166,-654.0275652509796,-646.3339751591735,-643.8578344362984
sub48,-201.17653274523516,-250.386804019408,-244.2927495776807,-240.50756922910813,-236.10783292904262
sub05,1030.9036163898306,1038.0537744373848,1045.1002909279869,1052.326070015114,1059.495628483953
sub06,-1250.9004861471294,-1292.735861273597,-1286.4369933535495,-1278.5305390842054,-1272.0406993358556
sub07,1549.6043395143927,1567.7293271446651,1559.7998763011526,1570.48616745431,1575.751769297187
sub08,4915.972524242627,4922.503984621056,4925.878785263441,4937.655135128326,4943.515884329759
sub21,-1235.160770405752,-1250.4987627038533,-1244.4866827077965,-1238.8094819624644,-1231.0611539387394
sub22,1408.9834978493259,1412.9054679402325,1414.2507298149405,1425.4780837236829,1434.6762854563567
sub23,-1168.7882198823058,-1192.9381074933315,-1200.2553540602755,-1178.897220608842,-1183.2783109754373
sub24,-819.8487723912178,-821.301681826964,-820.4307748474793,-807.1114267732721,-808.9198502056292
sub25,-1256.7579549029472,-1258.2682068121385,-1253.173362840218,-1244.143797154839,-1238.858856428388
sub26,759.2327238723802,722.4248514311246,728.0517252576518,736.3315335863501,742.5010749782796
sub27,-194.61236942676186,-268.3150031874528,-261.16068396178486,-254.3114186113446,-248.166091803635
sub28,1390.0501825322744,1397.2033616588878,1404.3555974644116,1411.4887733279047,1347.79908073035
sub29,-1901.5826520435,-1934.1309828285,-1929.3259783497172,-1919.982607269245,-1914.4960807024
sub30,1997.259670192177,2000.7935031473328,2005.8472413180912,2014.6090483267915,2020.5802250626432
sub31,-619.9622149840949,-635.4692161313767,-628.3580350544623,-621.9714912319696,-613.8722957878845
sub32,-1194.9544559266035,-1227.7062151957755,-1220.832519220447,-1215.9435042906478,-1209.6047368417928
