subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,13630.90236990637,13637.10588419822,13643.344472001974,13651.4631291704
sub02,13942.988572017672,13949.446128957596,13957.100252891045,13960.679734459178
sub04,14656.551057349168,14663.661440468088,14667.811593570012,14671.719884550088
sub13,14671.359436050698,14677.176362124806,14685.223271783583,14716.265570061782
sub14,14663.112298512231,14670.182491002137,14677.359078648584,14682.270993999453
sub15,15366.997117183733,15373.612734459568,15380.851250043315,15387.771550591697
sub16,15100.482403420747,15103.515353157278,15114.518235590818,15118.010334635364
sub33,14909.554505570977,14915.094322044994,14915.61536763679,14928.8578977193
sub34,14792.055988595132,14798.405211394274,14805.1173172179,14812.761634893606
sub35,15050.617473059641,15057.643919225704,15062.930643627778,15068.575732197241
sub36,16772.161900512772,16778.60600213987,16781.867411765114,16793.035984920432
sub37,15112.79356054931,15115.71799140078,15126.813524611314,15126.407002490589
sub38,14498.005369139002,14505.083009165764,14511.326904308191,14517.773824514417
sub39,14845.54278707287,14852.334780851013,14859.839252986636,14864.189903784798
sub40,14367.037889954641,14374.080441268838,14379.604165633817,14388.127471110793
sub09,14482.49664863451,14489.5563937855,14494.37380448258,14497.26452727897
sub10,14900.23814859392,14907.145384642241,14908.54440496848,14916.513492792816
sub11,15642.186455788276,15649.089726035083,15655.194362364731,15661.824374290725
sub12,14796.138733880493,14802.485007095536,14809.01094870455,14816.982886364534
sub17,13757.708858738735,13764.845024255117,13771.873561520824,13778.852734679795
sub18,15914.247819519474,15920.780404645571,15927.904845451803,15935.009425080463
sub19,15504.913852627142,15512.000420967044,15519.13464313098,15526.275048886067
sub20,15108.576811529514,15114.83807919381,15122.555714667536,15129.612540722232
sub41,14961.300279090083,14967.571869204436,14972.577320422262,14979.598793760877
sub42,15355.747133017692,15362.494361781964,15369.456913299864,15376.363594826658
sub43,16012.608833107754,16018.314660343924,16028.186368657925,16032.307124608746
sub44,15226.935068155222,15232.021469852642,15237.721926945325,15245.469084105864
sub45,14302.663962819217,14309.81578019797,14316.967815894768,14324.120867529717
sub46,15574.721836334036,15580.390310167637,15588.469239885833,15594.450353100032
sub47,14721.442271286136,14728.59299119607,14735.38040305594,14740.131009153696
sub48,15294.33416500057,15301.274668466678,15307.50089179671,15314.819460125325
sub05,14411.077132291897,14418.024919431238,14420.072869143676,14430.560834283282
sub06,13953.91573476082,13960.363460124996,13967.493479458162,13974.592821987693
sub07,15651.067671878202,15656.1904636245,15664.395697687534,15669.792903668433
sub08,16068.398678631404,16083.167504697525,16090.231125221024,16093.844689291316
sub21,14162.830529695308,14169.5422136584,14175.945586070236,14182.531650698007
sub22,14810.579604433391,14816.998297239868,14825.050898964768,14830.239798794917
sub23,13749.0554730525,13756.208524807014,13763.361576342031,13770.538210874713
sub24,14448.76527463965,14455.08367915444,14462.19811558876,14469.43574241324
sub25,13894.934075416306,13901.940203407285,13908.918522248188,13916.165409403313
sub26,15537.241027157383,15542.687088475703,15551.539917461787,15556.958459231782
sub27,15464.886715686975,15471.807644289887,15479.003693895547,15486.116875003765
sub28,14734.428483976477,14741.364690612396,14748.662692733711,14755.44217847728
sub29,12801.995207989356,12808.02584687311,12813.441234510703,12821.457393783645
sub30,15112.45265661658,15118.079703077228,15127.065832961562,15132.13798215547
sub31,14610.761072264619,14617.166761617244,14620.67663094734,14630.544645310973
sub32,14142.796183044607,14149.804065876047,14155.507870683738,14162.048071517802
