subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,13567.453445127363,13530.464869435686,13536.732874738911,13541.979689550702,13548.98440716892
sub02,13918.971968650163,13881.768398946318,13888.92379523482,13896.079191527582,13901.911002105935
sub04,14651.996701641388,14659.14822080614,14666.296682636013,14671.227095873037,14678.400533899578
sub13,14628.300204462508,14600.465546212796,14607.46479087099,14613.319542938458,14619.634263993325
sub14,14662.170116566422,14653.275234260027,14659.004580819132,14662.247296759755,14661.33098620277
sub15,15358.382654898489,15328.595291562722,15335.744365844768,15342.89221970071,15348.66229137347
sub16,15102.898645186891,15069.711809075416,15057.003821388998,15083.691757092063,15073.886729099795
sub33,14866.14272314356,14830.260233434832,14834.473744583116,14843.579007649643,14847.527768748118
sub34,14780.714298970957,14776.096254653037,14780.509879504436,14790.396088325317,14794.770302374149
sub35,15022.42300280493,14983.925904470174,14986.924576924432,14996.322495799084,14996.043076397616
sub36,16756.935738561126,16713.151010791928,16717.628550478268,16725.265461241186,16729.1911215469
sub37,15078.469844501358,15038.572737669316,15044.41935515378,15052.12697801086,15058.423978510371
sub38,14497.26294244094,14485.894007878145,14492.256887027175,14498.757780609221,14521.448214699178
sub39,14813.205123783377,14653.667731970532,14634.62714529702,14666.269138514475,14648.88413125304
sub40,14360.114259742895,14350.906108132034,14353.558340270638,14363.427077730083,14367.870693517783
sub09,14464.492073699825,14402.27324676211,14403.690564626168,14415.623715893398,14415.061466153738
sub10,14899.892340979597,14883.905058793353,14889.576788325912,14897.522740843471,14905.690730753648
sub11,15603.213026458645,15579.988243554504,15586.50125534631,15594.263375933784,15601.040262076458
sub12,14797.109342512516,14793.267211226961,14818.015679496018,14807.554446552158,14805.475664003832
sub17,13757.197043385586,13741.941417511922,13746.085946608497,13754.996039079637,13760.848230993251
sub18,15919.952202200302,15921.009357567313,15924.189601649687,15935.308117070776,15938.473674326477
sub19,15514.791320717155,15511.737709413244,15518.821623782937,15524.176957327883,15532.792829452383
sub20,15060.808653871902,15015.395147461653,15019.870763430132,15029.628593623534,15035.8643558658
sub41,14942.56215478662,14891.329576044614,14896.47988194551,14898.6270588552,14905.553374231853
sub42,15357.315540087127,15365.017725602343,15372.080288387011,15379.13479936887,15385.149903953574
sub43,16012.380851669855,16016.712970049766,16020.48844011988,16030.245319164931,16034.710513150341
sub44,15209.039364706641,15204.232038208262,15210.826903224624,15218.240324831982,15223.379354392375
sub45,14286.588740845142,14230.33946493297,14237.309124146961,14240.457525158165,14245.74484380136
sub46,15574.21451613144,15572.678353125286,15579.298483513754,15586.692066222613,15593.62646854749
sub47,14687.964941825183,14643.203088329392,14650.004987495833,14657.52124814969,14663.550550605769
sub48,15310.806529046973,15275.570531046897,15282.206161494754,15285.823491039353,15296.499705849874
sub05,14428.409388758277,14435.28469640502,14442.413259706896,14418.323025955415,14423.178867866694
sub06,13910.561477145158,13873.988436557805,13880.483750726135,13888.229540626111,13894.640130587122
sub07,15645.50760727527,15652.22173763671,15658.126384760344,15672.517496438486,15684.046507951018
sub08,16070.204307527169,16076.585780149066,16083.653737998955,16084.718526262266,16097.811038116155
sub21,14138.40291107589,14124.426863438915,14130.27368228131,14135.792975417962,14145.883548138954
sub22,14796.641406863584,14798.680725992901,14805.384580615406,14811.654446380908,14821.893047377214
sub23,13692.656942615657,13671.195335984085,13665.985001272096,13685.249628077025,13682.715044787705
sub24,14417.298611755632,14417.919489897698,14419.320839304055,14430.799032990113,14430.714538616843
sub25,13893.514419528072,13892.6852598474,13897.967935093584,13907.00073081593,13912.28055911753
sub26,15504.775901716292,15448.5427807296,15452.890096348747,15462.679961100368,15468.101361028092
sub27,15393.425541100627,15325.17601894485,15332.23599055266,15329.07058759749,15341.77567876357
sub28,14705.159426097669,14700.093402166587,14707.044872586504,14709.032779512358,14719.443610805381
sub29,12755.000084633584,12723.258956062928,12727.810311779709,12736.563778679536,12739.458649690954
sub30,15092.508549783224,15088.433596912193,15095.051112668269,15101.736707679749,15108.518272527834
sub31,14575.055469199522,14555.814075794751,14562.926010492432,14570.029948217207,14576.794855459077
sub32,14077.741745508145,14046.602749697939,14053.560405847376,14059.282923632778,14067.264827685834
