subject,SR_Q_D_alphaCCC_relevant_WOB
sub01,-6649.991074768532
sub02,-6843.541384518974
sub04,-6941.569671569841
sub13,-6843.939111237827
sub14,-6875.788768008171
sub15,-7508.923566961432
sub16,-7238.196680489676
sub33,-7202.873797912486
sub34,-7139.815647223913
sub35,-7305.7177816020785
sub36,-8215.95437854925
sub37,-6998.562570781402
sub38,-6857.369808416853
sub39,-7103.693781237171
sub40,-6855.9696080531885
sub09,-7036.8262802298495
sub10,-7385.747777527507
sub11,-6883.248398164142
sub12,-7078.5449934508715
sub17,-6619.0303339787215
sub18,-7249.181510593009
sub19,-6898.491327023311
sub20,-7162.109469987876
sub41,-7320.127470970743
sub42,-7179.972906916538
sub43,-7041.029777034108
sub44,-7433.412388456936
sub45,-6802.885470926806
sub46,-7606.417082928138
sub47,-6957.173687589126
sub48,-7457.610466964117
sub05,-7111.721222927108
sub06,-6848.313490024921
sub07,-7507.6330756318985
sub08,-7074.167986502826
sub21,-6897.382101833919
sub22,-7223.844478585995
sub23,-6558.7662288406755
sub24,-6801.590445412829
sub25,-6714.625876051694
sub26,-7506.523101183159
sub27,-7504.717792632207
sub28,-7101.081223114148
sub29,-6261.3433883597545
sub30,-7065.748367721311
sub31,-7198.772009848206
sub32,-6885.405715251897
