subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,843.6044358147235,844.1775210730583,846.2651108341901,845.1699700454958
sub02,697.8605925017627,698.1324418424801,698.0125939831705,700.6798625233438
sub04,409.98054177394164,409.98585480132897,413.1794674222389,411.43525548394837
sub13,317.7810073558173,318.63366267355383,319.53335003155075,319.11896189417547
sub14,351.2559405041143,351.2647421167794,351.6888064293302,351.4538895563487
sub15,235.09331977422383,235.87428236735585,231.67994603749318,235.51369086640648
sub16,113.87755770215313,115.81668282237499,114.01600425396921,120.36787236485338
sub33,171.25050598499024,172.23555151956768,171.50109043883572,172.11716577728092
sub34,354.7962204693447,354.81790861408786,355.0943995420291,332.6604168111887
sub35,230.47423296135437,230.54503274181184,231.379945666715,231.65438083969502
sub36,-304.43240230427165,-304.33940287859286,-302.0878708006592,-302.49116139313577
sub37,275.78118895347575,276.7602107314301,275.78075801312116,279.74104355398345
sub38,250.28440907187405,250.29428110919272,250.3842520717183,250.37577543581574
sub39,212.6861236201032,212.785475599158,214.87774008944416,213.46915063684241
sub40,521.3099550659604,521.630132419034,521.9460088886744,522.5985968351315
sub09,506.72258133768923,506.81531834077333,507.0121818391156,506.5057522146956
sub10,323.783866288356,324.2593140089539,326.6248684810748,323.9463822164025
sub11,80.24737051500506,80.2671046296648,80.81368130696364,81.84810792819462
sub12,296.38727052086983,299.08130833910235,296.8339007422244,296.96069406818316
sub17,588.1356202938114,588.2490733788509,589.6209970162618,588.4162931663291
sub18,-4.018606345075568,-3.72872306325462,-5.8154015102804815,-2.789403707841984
sub19,61.64718215946914,62.65563965673869,62.056080970868386,63.42627480095347
sub20,258.9273849397373,259.4470333958782,259.2152547066378,260.5618597853026
sub41,301.54952766913743,301.9030146257972,301.54246607473374,301.7652978678059
sub42,96.34967964506245,97.6378431518497,96.57733414599487,98.10647856013249
sub43,-165.29390591017932,-164.51678781309306,-168.96485353826915,-165.07016834240338
sub44,282.7049661098315,283.6354438805863,283.2806434200727,285.17229126877936
sub45,564.5219839991837,564.6509071695486,564.728514419136,548.750840767083
sub46,196.48400463917775,196.85935215533917,197.1400523007412,196.07569674888055
sub47,446.75256657476785,447.6740203732381,443.14201024254396,447.5513996372872
sub48,119.15908939770792,119.43349138263216,119.1627339191207,119.37795967054808
sub05,669.2523895444643,669.0739301772917,669.7954328811717,657.7505884243485
sub06,598.5858437859832,598.9261128583366,598.6084547725703,599.1224548393434
sub07,90.61846268774455,91.73386738102501,86.3519829871668,92.91825883454705
sub08,-21.687820849612308,-20.860623084852925,-20.294750215959766,-23.121470748683354
sub21,593.5086181502762,593.7170579230171,593.9370241263524,594.0732045766698
sub22,405.0210717326948,405.16372707624237,405.2978069219573,404.5131724542873
sub23,573.5292978284565,573.5292977867716,573.5292978200732,573.540383773809
sub24,394.50599611375856,394.8827950300352,394.54980269063753,395.3116955182618
sub25,629.4862962207441,629.4531367779391,629.5339944515658,629.8859367948535
sub26,67.60116919799316,68.46544830273639,67.08022763078657,68.31748968353031
sub27,83.65394492456858,83.82857951076427,83.64060657353843,83.82857936549634
sub28,443.772695487793,443.77982807280205,443.7726954890836,443.7676510424712
sub29,918.5606082138935,919.2374626203668,920.4347120981773,919.2566125035852
sub30,252.1996990540315,254.1200267641686,252.49020835665962,254.3244723371563
sub31,439.84192090014,440.20275567965655,431.8306643101872,440.32583101802857
sub32,570.3993288415065,570.4336532168364,571.6909648541725,571.124514741505
