subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,-108.00668693217722,-107.9659479782872,-107.8211973056334,-109.799254652268
sub02,-124.27004182649785,-124.14242009343548,-125.20249238940984,-124.07524260570358
sub04,-700.2985104315612,-700.2714986860351,-701.3689763235459,-700.2714984547031
sub13,94.62528021006985,95.33512797236358,94.67033361745962,95.7372301800242
sub14,383.9719583273327,384.01102907205865,381.4392484194009,376.7010300699917
sub15,-311.9290780087629,-311.6151284446846,-311.4362602317301,-311.04347790140696
sub16,120.1540485793855,122.16456130851248,120.15453295692144,122.0725895944247
sub33,11.459546085025522,12.042589845394561,11.635576530556135,11.80664220435915
sub34,343.8005884571946,343.9874892924702,345.33447425673216,344.4411768251555
sub35,231.7861607561949,231.8603155447022,233.11457483755203,233.6147508036161
sub36,-810.4228303623561,-810.4113606878004,-810.4131307286377,-813.1203319544966
sub37,187.52617714897812,190.56673461830815,187.5380513021901,192.3142028726486
sub38,-301.42236192809736,-299.15170693838485,-300.7759463072887,-300.68045725766046
sub39,207.53722021762496,207.79164521446543,210.3276014699645,207.6662596224712
sub40,508.77692598912466,508.83582883791087,509.2560609594352,510.0418971683366
sub09,515.105440622918,515.1974623864232,516.7935124455628,516.3514852389474
sub10,322.7980488938685,323.00851427948436,322.80980614749734,323.7480101930466
sub11,-1176.0984324571784,-1173.7890974051595,-1175.4792673886764,-1173.7890974417508
sub12,-215.43589537610362,-215.2958974710889,-214.74385184908647,-214.53407690740346
sub17,600.2166431226673,600.2624750335068,600.2167642091201,596.4822345003353
sub18,-1752.6563458654925,-1734.972450309812,-1740.8536881292418,-1726.4610297199356
sub19,-1368.4390940135906,-1367.623044515574,-1368.4418330802234,-1368.4718190840968
sub20,-290.8057348103182,-290.67564217420914,-290.57018588031497,-290.56888748539285
sub41,-279.2992155379613,-288.1911394584784,-278.50700875027434,-269.5731896298412
sub42,-623.1071933001363,-622.6191599834708,-622.8199866024054,-622.5992808541866
sub43,-1432.3644232645413,-1429.4205783932666,-1432.3945898051995,-1430.3072027909875
sub44,281.2491980349705,282.2652914902796,279.60952468646747,283.26209234986214
sub45,-464.7163257322354,-464.706894264128,-469.5358807475782,-462.9732044716884
sub46,189.92918042404472,190.48675536215362,190.66357723535248,190.1018738762544
sub47,292.3522381938328,292.3522381902426,289.6359708175505,292.55279701798185
sub48,113.5939958391616,113.71423700155493,113.6510058723095,114.35230114576893
sub05,-508.74873043588167,-509.342518664246,-509.7599295189796,-512.7400398812822
sub06,603.6696037483828,603.9911776498844,600.4408219592079,604.340050155846
sub07,-775.5269475927499,-774.4827533243715,-776.7440207489357,-773.8919889404535
sub08,-2448.4103368556657,-2447.867241784855,-2454.5037019356955,-2453.107998783109
sub21,607.7985469367925,607.9936763011876,609.2121088298725,608.3623102382322
sub22,-704.8834947425928,-704.2420455967173,-707.5618457071707,-704.2384077511551
sub23,555.8848810989705,555.8848810433993,538.5277659513952,555.910361920892
sub24,394.3973396826832,394.74754139289513,395.9505605443287,395.7772860249802
sub25,631.3455648894727,631.3935049307875,631.2824880502835,631.3800219547165
sub26,-379.4663586585439,-378.9603666279263,-389.54705924347314,-378.86557449277007
sub27,64.33284093557178,64.47313721680962,65.43051438682232,64.66647990285993
sub28,-701.4979435149838,-701.4970780460961,-660.0675658543805,-701.4253124349773
sub29,928.9734292970128,929.6196667606067,929.4815670566638,929.7192910880243
sub30,-996.8933882146722,-995.687073544446,-996.2664389043327,-998.0227379490033
sub31,293.7114625787833,293.964877995478,293.6795367279858,294.11728525881864
sub32,567.2355895986598,567.1839854783966,568.5285134177093,567.2825656532336
