subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,-102.18658344448342,-98.69394412408859,-98.63489229316271,-97.32773732945452,-97.33038659810973
sub02,-119.90523036341392,-119.90524092378608,-119.81542950534708,-120.2130589760759,-119.71274926640764
sub04,-701.6216780610208,-701.6106156425733,-704.683518731164,-700.1132246799467,-704.6339800397891
sub13,114.45847023592114,127.67788661121106,127.86879013390579,127.76634547573737,127.86882403918457
sub14,383.53413921553283,392.8981939789109,393.41235334065317,395.580654568968,393.4313811814968
sub15,-313.03211555740717,-301.63269450735424,-301.63152461635013,-300.45150317245,-300.5989186780007
sub16,118.35392056776094,141.04147015141803,151.31971895704078,141.0415912949054,150.0650641213676
sub33,29.31797778215196,46.227239965083534,47.40531411387042,47.13980337730617,47.816240424264834
sub34,349.03562347614184,357.17072453599553,358.00176642918836,357.17072975113365,358.0016734588919
sub35,248.49671844542968,276.02143440782015,278.025368061333,279.9031628450423,281.68998373705176
sub36,-805.3328500593319,-782.7034598846526,-781.8719898202113,-781.4500335276273,-781.2518073123131
sub37,207.83572190689011,240.49755540677327,241.3194849334518,241.0731081170393,240.62688854620453
sub38,-301.7854573193099,-297.17575596440474,-297.0725087450396,-297.06245730896717,-298.57820390768796
sub39,234.28213907938152,342.879640247304,350.1061024790747,346.62702672325116,350.9239741067758
sub40,512.648944016019,521.2296496188987,523.5574418152023,523.3714580040161,521.3725994500563
sub09,527.1624964015248,563.7744246264863,566.6264364054753,564.0091664370773,567.2690270288923
sub10,324.18379097861566,337.4416157785043,338.2114297939713,337.4926887652798,338.1130838326269
sub11,-1175.7097646264642,-1170.7335224180604,-1170.6253508724192,-1170.5279249060613,-1170.2715826490496
sub12,-215.4571698567099,-214.01045771454326,-212.19147870261241,-214.0104555166217,-214.35653035712858
sub17,601.1994853576291,612.3746307163467,613.9875390293963,612.5159523724549,613.6542899200001
sub18,-1739.4482072066953,-1739.4509692241352,-1735.7698079918598,-1738.868229171226,-1739.3188004879032
sub19,-1369.3214734455028,-1369.3229973124128,-1372.2412871973331,-1369.5402981147413,-1368.372983379052
sub20,-286.09586264357114,-268.72050431838693,-268.17455829713316,-268.2163076917418,-298.7806791751134
sub41,-281.2865135168922,-263.38657787023817,-263.019834378976,-261.8390844187418,-261.1872100024109
sub42,-623.6843171445294,-623.4690709249555,-623.6949114540178,-623.3324748719531,-620.3562840817632
sub43,-1432.4207456054714,-1432.0473995399948,-1431.915118089044,-1432.0908840502348,-1432.109211858868
sub44,290.44393191291687,296.92060107866973,297.04455474445734,297.2277503622754,298.61824125858584
sub45,-466.81503006034166,-457.4312016644885,-456.930349898425,-457.3361435023728,-456.43725925772986
sub46,190.0276007347209,194.68181198272828,195.07709282895598,196.86945743788257,195.94729794675283
sub47,310.0766318002238,337.36443626565506,337.7468770783348,337.4777801833802,339.81740797289103
sub48,104.16165246234392,132.34017418915664,132.8665330580193,134.54732897345934,135.9208469131529
sub05,-511.8768497768492,-511.87697038256033,-511.8252702097952,-511.86320133529284,-511.8730221516462
sub06,629.0259858055173,653.5194161007033,653.9457248726319,653.5682404699121,653.8990633276896
sub07,-771.2279968852463,-776.7163178284325,-769.1774195347264,-770.946392239355,-770.0050202888432
sub08,-2454.417622902683,-2454.114713873268,-2452.23347497583,-2454.553010689642,-2453.914746071728
sub21,621.1573021036654,632.4032151535055,632.9740920562665,633.71240858439,633.4151614733166
sub22,-700.9163981958667,-699.3020325125239,-696.3993127210815,-698.4376389466565,-699.461389084197
sub23,587.9706357586217,603.6221053816032,610.857254482544,603.7547135742959,609.5217845750624
sub24,413.4989519948877,417.79997251203935,420.93908482157576,417.85397658375086,422.3327540992082
sub25,631.9578451935986,636.291838890319,637.3232846464838,636.3873695459192,637.3237669248188
sub26,-376.03905425773337,-354.0578103586485,-353.29393959345543,-353.8565360793478,-353.3639990968556
sub27,100.88349239183776,141.31211695064007,141.3122650162629,141.46494001949964,141.96958429410162
sub28,-691.4485654486683,-691.4486291945067,-691.4482212797997,-691.4382833940773,-656.0169112778312
sub29,954.366284439816,974.215408250382,975.3878644290567,974.2911373068866,975.1228324415302
sub30,-995.0556622241388,-993.2484058297664,-992.2011020431956,-993.0078326755955,-992.4192481715713
sub31,313.5576333095162,324.8876597006258,324.90859497963737,325.29184888585974,324.818776981286
sub32,601.0564849619664,621.0116215952171,621.1540306062175,622.2887801399826,622.6986534142197
