subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,-6811.875834224388,-6811.402240641517,-6810.9461838146,-6811.430161670015
sub02,-6967.916587857887,-6967.567668176902,-6967.817031992677,-6966.029074625794
sub04,-7324.699785942631,-7324.679234770139,-7323.178568589149,-7321.556971347234
sub13,-7332.1039752933975,-7331.436695598499,-7331.884407695935,-7343.82981410308
sub14,-7327.981583456838,-7327.942113902511,-7327.955841926457,-7326.837233802611
sub15,-7679.923992792588,-7679.657235631225,-7679.701927623822,-7679.587512098733
sub16,-7546.667028838423,-7544.609330834739,-7546.53659917956,-7544.7084758298815
sub33,-7451.20072696802,-7450.394109387558,-7447.078106365989,-7450.122845589774
sub34,-7392.453035879501,-7392.052688861006,-7391.833783354751,-7392.080983774538
sub35,-7521.732602101803,-7521.669690756818,-7520.73691852984,-7519.9833283865555
sub36,-8382.508746666226,-8382.158593889613,-8380.217095112075,-8382.229178099575
sub37,-7552.819472596198,-7550.704380343476,-7552.674839270287,-7548.894270531466
sub38,-7245.442058342878,-7245.420252129635,-7244.98157347423,-7244.64440735072
sub39,-7419.197220664486,-7419.019044681607,-7419.197107877469,-7417.798260404599
sub40,-7179.940856658582,-7179.884043996938,-7179.067817860689,-7179.751382280436
sub09,-7237.671798499787,-7237.625145257813,-7236.457324788883,-7234.326160369609
sub10,-7446.542157396172,-7446.4188585195425,-7443.541451781873,-7443.949078793249
sub11,-7817.518269476071,-7817.394946181409,-7816.8723059281665,-7816.612353473098
sub12,-7394.497558138894,-7394.098885945064,-7393.7900479482205,-7394.204207976859
sub17,-6875.2775124685795,-6875.268678325979,-6875.206030058044,-6875.1186997367395
sub18,-7953.552891472384,-7953.2481657480785,-7953.239367863842,-7953.220639390819
sub19,-7748.883540223844,-7748.85343830407,-7748.84716329631,-7748.843980084129
sub20,-7550.711488863969,-7550.265205795327,-7550.5471066313985,-7550.498602757958
sub41,-7477.076359909448,-7476.638375331029,-7475.567321304348,-7475.5042783380595
sub42,-7674.304927290216,-7674.109902453722,-7674.0225389940415,-7673.907240538809
sub43,-8002.731424320021,-8002.011345704248,-8003.37420762739,-8001.8615933689425
sub44,-7609.890226399154,-7608.856119569406,-7608.129040437292,-7608.425311339105
sub45,-7147.7554555921415,-7147.7548384640495,-7147.7543304949795,-7147.754330494981
sub46,-7783.785175435066,-7783.043669619913,-7783.507391747059,-7782.922205622204
sub47,-7357.14343749212,-7357.141099296137,-7356.957107075124,-7355.754711973054
sub48,-7643.5936964105595,-7643.490562053887,-7643.030287629174,-7643.116185703758
sub05,-7201.963607727884,-7201.862542879488,-7199.311559317641,-7200.980583469376
sub06,-6973.382124648459,-6973.0302445985935,-6973.0195115332235,-6972.993440066038
sub07,-7821.9596630671485,-7820.946886068349,-7821.475330227918,-7820.5997603464175
sub08,-8030.630700097073,-8034.446473911501,-8034.409644954621,-8032.647787771138
sub21,-7077.838347946865,-7077.617273027622,-7077.242042332751,-7076.9581577458475
sub22,-7401.714451487899,-7401.348447162342,-7401.799397295996,-7400.818496482272
sub23,-6870.95121070878,-6870.9512107685705,-6870.951210718608,-6870.96300216748
sub24,-7220.808071520547,-7220.392707978664,-7220.375360396543,-7220.419608009505
sub25,-6943.888169966028,-6943.812366219392,-6943.72265789772,-6943.767233733155
sub26,-7765.043205900234,-7764.188928880939,-7765.038035695522,-7764.169998902062
sub27,-7728.86605016503,-7728.749206788029,-7728.769923912404,-7728.749206788056
sub28,-7363.637716170769,-7363.5292936712585,-7363.601768914449,-7363.414985968765
sub29,-6397.422645576613,-6396.863006600423,-6395.995742001153,-6396.428863219559
sub30,-7552.652155436339,-7551.891505794714,-7552.810397864931,-7551.772299589936
sub31,-7301.804010314841,-7301.430329173684,-7299.608738021265,-7300.966219385612
sub32,-7067.8188345236385,-7067.743518940694,-7067.016164345875,-7066.707007764242
