subject,SR_Q_D_alphaCCC_relevant_WOB
sub01,2210.4160778874234
sub02,2829.4741363949493
sub04,4937.216735127771
sub13,4572.511234163437
sub14,5880.264664548084
sub15,9482.549596008796
sub16,8016.1370409865995
sub33,6204.341306109671
sub34,5982.2890086886
sub35,7048.92350597253
sub36,30277.94324622373
sub37,5733.121905180713
sub38,6797.542884294172
sub39,5290.559096940982
sub40,3920.228094412636
sub09,4500.9557597846115
sub10,6529.402098974188
sub11,8788.222738127826
sub12,5468.828860528725
sub17,2670.141766456597
sub18,13659.543453076953
sub19,10447.6491572302
sub20,7011.892286340929
sub41,6820.340798190649
sub42,10191.448749410432
sub43,12440.658918366504
sub44,8247.332421879419
sub45,3662.012646252705
sub46,11408.731649245665
sub47,4494.388230010086
sub48,9431.87672666431
sub05,4473.350457556437
sub06,3052.8821639043877
sub07,12203.58707827812
sub08,12231.433929001689
sub21,3633.436946489431
sub22,5958.660295059649
sub23,2442.6416818446523
sub24,4593.345647436522
sub25,2856.468594869047
sub26,10007.766048830385
sub27,9066.218221024534
sub28,5172.8891617658755
sub29,1251.8965910886748
sub30,6587.863978609089
sub31,4952.7848702720285
sub32,3127.9711381871693
