subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,0.01537811919678054,0.015364158859741303,0.015313412325960082,0.015340012808079619
sub02,0.019492292338427062,0.01948394272167122,0.019487623303824683,0.019405874486753783
sub04,0.0299633619369282,0.029963101813544318,0.02980715197870872,0.02989222410951301
sub13,0.034701464968324616,0.034652793965847965,0.034601512309716816,0.034625122758545165
sub14,0.032508766876951166,0.03250828760141395,0.032485204338375887,0.03249798963593471
sub15,0.04021860817406052,0.04016846497173954,0.04043850609245185,0.04019160967196386
sub16,0.04860876050090257,0.04845498713755835,0.048597765478801534,0.04809598408028783
sub33,0.0444683187818851,0.0443980076488394,0.04445042187135125,0.04440645197227015
sub34,0.03300640936978468,0.03300525293157234,0.03298476304258307,0.034208096376444015
sub35,0.04048065463339746,0.04047606558775614,0.040421988068391534,0.040401184843379206
sub36,0.09533147621719493,0.09531728068109467,0.09497424865969813,0.09503560107106536
sub37,0.03722704591252187,0.0371672481946421,0.037227072256329145,0.03698577256662035
sub38,0.03825309437326261,0.03825245214054457,0.03824659951018577,0.038247150877240885
sub39,0.04160472559952277,0.041598085949755316,0.04145850669002889,0.04155242496797778
sub40,0.025152754826815643,0.025139705793929518,0.025126838679249044,0.025100276599097457
sub09,0.02604355083584381,0.026039689889733254,0.02603149571280363,0.02605258037893749
sub10,0.035176686120927315,0.035150378615861906,0.03501977976059287,0.035167691565341136
sub11,0.050953921627876264,0.05095218047922363,0.05090397944285306,0.0508128810874254
sub12,0.03625853728642265,0.03610094724637326,0.03623236379050344,0.036224936857472696
sub17,0.02257086752832165,0.022566717610975576,0.02251659537665219,0.02256060239157112
sub18,0.05895238335627327,0.058923252771860286,0.05913326617072282,0.05882895873249835
sub19,0.052552887804628585,0.0524600735355597,0.05251523466848556,0.05238925796409338
sub20,0.03836477131785841,0.03833223623283905,0.03834674444064766,0.03826253023797042
sub41,0.03620948845002316,0.03618909645410708,0.0362098959371249,0.036197039708389694
sub42,0.04979656361210167,0.04968887162922321,0.04977751446272333,0.0496497509644365
sub43,0.07808880383377796,0.07798315372542497,0.07858981167509957,0.07805837179116416
sub44,0.03729999151438835,0.03724467879752685,0.03726576040699951,0.037153499701192805
sub45,0.023416629219265968,0.023411728845574662,0.02340877948605447,0.024023894173432037
sub46,0.042744994647714224,0.04271931104975552,0.042700113899134536,0.042772951158657375
sub47,0.02843332911942865,0.028391000109875393,0.028599796972017262,0.028396629326715925
sub48,0.04834216271169409,0.0483208407511236,0.04834187945840707,0.04832515499127946
sub05,0.02032337431714925,0.020329109350010182,0.020305932838400088,0.02068934288550197
sub06,0.022657602141203145,0.02264537755541829,0.022656789609037224,0.022638326729738697
sub07,0.05050389074885007,0.05041207825415172,0.05085662389061172,0.050314769947849385
sub08,0.06079046072613591,0.0607034481933847,0.06064399605932792,0.06094156116783275
sub21,0.02265236867074769,0.022644815282942238,0.022636846933733246,0.02263191515849206
sub22,0.030673406916358014,0.030666423313438964,0.030659860968020338,0.030698283715737268
sub23,0.023094148425313803,0.023094148425313803,0.023094148425313803,0.02309373314698525
sub24,0.03045290677422941,0.030433899249934105,0.03045069635326892,0.030412277913292145
sub25,0.021281589719800317,0.021282724292944786,0.021279957798169772,0.021267920499839343
sub26,0.05252919512946206,0.052456372642432,0.05257313748796935,0.05246883218433245
sub27,0.05124772843942032,0.051233479424025404,0.05124881691812274,0.051233479435981985
sub28,0.028735512093679864,0.028735183371414626,0.028735512093679864,0.028735744579932856
sub29,0.013561055040652236,0.013546446895160193,0.013520645897542764,0.013546033823544041
sub30,0.038657263017421784,0.03853525905225705,0.03863878135589825,0.03852229273465641
sub31,0.029273068670544286,0.029256426056960463,0.029645016370380268,0.02925075167524455
sub32,0.023761368553230917,0.023760079111348045,0.023712894681913742,0.023734140829511984
