subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,0.014500593525722166,0.013847747132418022,0.013840232659214156,0.013824291509070642,0.013822337482347121
sub02,0.01901863523154369,0.01817406079234301,0.018174059623116075,0.018174059642881442,0.018156264792018442
sub04,0.029592832264559808,0.029588192487535307,0.02958350041638371,0.02954817965581132,0.029722299993797507
sub13,0.033305639497858065,0.032068604682091925,0.032015543714745874,0.03196765456299211,0.03193102937401834
sub14,0.03251651490184911,0.03211941654695211,0.0320960040500082,0.0319714112556504,0.03187690581018378
sub15,0.03961291200055683,0.0382877147784086,0.03828496052402032,0.03820777528479685,0.03813360698084064
sub16,0.04861320252528585,0.04659072593694612,0.04581570275299005,0.04657070129757173,0.04607727574021018
sub33,0.04263705360403226,0.04078511800085337,0.0406791478940875,0.04070525534565725,0.0406689053905645
sub34,0.03270603851576117,0.03224219485972536,0.03222066697077978,0.03222962870726582,0.032379341425844345
sub35,0.03937797677181753,0.03762824888748024,0.037504220769581716,0.037374321761652216,0.03736295899190959
sub36,0.09306850255037163,0.08717405954927394,0.08701604903563777,0.08673156190333836,0.08658667823343923
sub37,0.036031541326524585,0.03414693138773005,0.03409290145812688,0.03411168837468885,0.03405593613765174
sub38,0.038202028752689667,0.03763754706361624,0.037602992279153764,0.03761718995953709,0.03756970357580014
sub39,0.039681745791681766,0.03311231217664728,0.03301305928385357,0.0330299478502737,0.032396061919008644
sub40,0.0248159149278404,0.02449538357969734,0.024396697421896683,0.02444704504439957,0.02442248701293804
sub09,0.025521161006787325,0.02409696945548459,0.02398861130681886,0.02408490533739916,0.023929553654805084
sub10,0.03506557581395225,0.03431034191936935,0.03426785456638018,0.034310340103813966,0.0342801991939215
sub11,0.04877716865833971,0.04633841656880035,0.04630252587410491,0.04632808660128936,0.04627026168909404
sub12,0.03615433657829836,0.03510667529527325,0.03498348278086176,0.035088263331806716,0.03494370392835488
sub17,0.02259318211918162,0.02218349907026939,0.02212378541114924,0.022158279344070532,0.02210307473377621
sub18,0.05934050479572992,0.057973437661953876,0.057972464847647426,0.05797343889336187,0.057910841522582863
sub19,0.05282070488459289,0.05207313272210914,0.05204700378013194,0.05202167774005608,0.052045689086014764
sub20,0.036510232986239566,0.034497859021532906,0.034407926099821684,0.03450433635305772,0.03445865436596966
sub41,0.03536691085371719,0.03338215374387725,0.033327965720090495,0.03368246220775571,0.033182073622400166
sub42,0.049697243939744895,0.049686281277804965,0.04964784254410886,0.049686288945484006,0.04960858749898798
sub43,0.0781901349915569,0.07818417926132608,0.07732932255520142,0.07770460632009743,0.07745219540711523
sub44,0.036827836218717366,0.03646974620463279,0.036460792675531664,0.03639499503336165,0.0364031574320148
sub45,0.022848433073374984,0.021768517462827243,0.021761343553958548,0.021747115296241782,0.021587930957298104
sub46,0.042770372963744585,0.042435698740960835,0.042431531927879816,0.04243569594801346,0.04241033741848197
sub47,0.027250308101632103,0.025808184603664342,0.0258073112976688,0.025787600948185142,0.025722974473613592
sub48,0.04899081263593204,0.04658530170227785,0.04652766383344306,0.046548714176086574,0.04633936886335902
sub05,0.020587315278456333,0.02056784291916376,0.02056676370274019,0.020556116512697453,0.02052336883943101
sub06,0.02182151106984633,0.0209548846274865,0.02094219019443357,0.0209530058075858,0.020939655515747203
sub07,0.05034306429460051,0.05034092359411855,0.0503019607819305,0.050340926653902274,0.05085863425142082
sub08,0.060175448429093385,0.06005435637357112,0.05998075423178336,0.0599730411334335,0.059919337169995625
sub21,0.022188357518990467,0.021810131779158318,0.02178912132402116,0.021766508669494197,0.021747603534146804
sub22,0.03035734300022613,0.03019554525189838,0.030194520020273813,0.03018588217243845,0.03018595122026772
sub23,0.022045121079253882,0.021458304944183517,0.02121986705167792,0.02143955864132724,0.021278839493528937
sub24,0.029504809675831037,0.029215637767496187,0.029017413866314783,0.029209119600530718,0.02899268411540038
sub25,0.021279326010474227,0.021122080920819426,0.021081251125045726,0.02111452012704261,0.021088661497857653
sub26,0.05044076712069615,0.04761350351385532,0.0474993889903942,0.047587219519655416,0.04751483681999307
sub27,0.04855628531039617,0.045391978540935934,0.04539175374113292,0.04487409127078422,0.04538633408959032
sub28,0.028060371278191783,0.02756633042854149,0.027549812216705903,0.027526603082817656,0.027558720987553104
sub29,0.012998372198472429,0.01258927369085812,0.01256578392121364,0.012584732859749677,0.012566684881487955
sub30,0.03760191805598361,0.03703092205342495,0.037006119300207516,0.03703121942959208,0.037009169311426414
sub31,0.02833103620318161,0.027666657054309915,0.02766513260926876,0.027631444558970725,0.027627066978175928
sub32,0.02238761758615724,0.0216218443159139,0.02161520490565761,0.0215790706431884,0.02155958724684524
