subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,0.06872897643711652,0.06835346402488376,0.06834713271464646,0.06820713465510578,0.06820741810516394
sub02,0.07060379386986307,0.07060379503273162,0.07059389560795931,0.07063773468371051,0.07058257942325387
sub04,0.17584425897476513,0.17584120999996758,0.17669018548571705,0.17542899323108813,0.17667646658170486
sub13,0.04893418449183521,0.0479306959521772,0.0479163561875423,0.047924050809437256,0.047916353641045635
sub14,0.03205043736711242,0.03158236954169853,0.03155686786993983,0.0314495491311678,0.03155592450773609
sub15,0.09574423684004932,0.09404476556897184,0.0940445927142302,0.09387040288013836,0.09389214609524152
sub16,0.048607952173856835,0.04690455980551821,0.04615263824351038,0.0469045508713056,0.0462437747033932
sub33,0.05592419892511672,0.05446373754324672,0.05436341952751774,0.054386012755017935,0.05432847089666806
sub34,0.03385008796451002,0.033420538586550336,0.033376965967422366,0.03342053831292975,0.03337697083879099
sub35,0.03967375674590642,0.03799982391705477,0.03788074834327365,0.03776950671984501,0.03766395777610771
sub36,0.20874676342819493,0.20142168453718026,0.20115749153714868,0.2010235508813128,0.2009606591593423
sub37,0.042314714965904984,0.04020939932108649,0.04015779294661982,0.040173255218183365,0.04020127450471947
sub38,0.09533674424698907,0.09462940726873936,0.09461362470260913,0.09461208835436136,0.0948440490663714
sub39,0.04050842873478105,0.03414988714639336,0.033764059871688006,0.03394926364047828,0.0337206684905898
sub40,0.02631433556854876,0.025964427629788255,0.02587030878184242,0.02587781604760508,0.025958637931718917
sub09,0.025659087054822297,0.02423025642424035,0.024122351901861447,0.02422135687860624,0.024098106196316357
sub10,0.03526690531125868,0.0345432944823661,0.03450173715143539,0.03454053582773954,0.03450704343368905
sub11,0.3707679629705393,0.3678828087756537,0.3678203424020519,0.3677640904238824,0.3676161241579503
sub12,0.08229027113564535,0.08210241269764335,0.08186682312003041,0.08210241240802227,0.0821473118515339
sub17,0.022868708997382088,0.022472553948154433,0.022415946441703718,0.022467588335807368,0.0224276306344764
sub18,0.9179745617016468,0.9179785731157604,0.9126472367185768,0.9171325349387058,0.9177866187677532
sub19,0.5058751915152949,0.5058764053898295,0.5082066283837959,0.5060495490642349,0.5051201373023176
sub20,0.09158362681326747,0.08912877953867603,0.08905272209067487,0.08905853603266738,0.09341837229801966
sub41,0.09114946015011413,0.08861790116199478,0.08856677502172271,0.08840237198872389,0.08831173831565868
sub42,0.1578155910990904,0.15776159523847838,0.15781824922561205,0.1577273388428455,0.15698279539659746
sub43,0.5597199219706172,0.5593906741181137,0.5592740637187665,0.559429012436507,0.5594451720203164
sub44,0.03719073120059465,0.036816266552277634,0.03680913675639666,0.03679860190249997,0.036718738500643916
sub45,0.1215612396350855,0.11978913494277492,0.11969528033596274,0.1197713163374996,0.1196029519221977
sub46,0.0434681857565262,0.043152239073324265,0.04312551184678499,0.04300452726352813,0.04306673056330894
sub47,0.036080829714276064,0.03457593021212505,0.034555291176125234,0.03456981213635253,0.03444376537283922
sub48,0.049692007943590334,0.04753510493978804,0.047495718865799806,0.047370167602670835,0.047267815709474456
sub05,0.13077163334242967,0.13077165809968727,0.13076104484767698,0.13076883144306495,0.13077084756020946
sub06,0.021844388417221618,0.021021655254012783,0.02100761336983786,0.021020046586546555,0.021009149863463656
sub07,0.1968615813795252,0.19856773668079572,0.1962278866883954,0.19677443536593592,0.19648339625008687
sub08,2.898570613483287,2.897175077976096,2.8885230333226426,2.8991945773885472,2.8962541722500554
sub21,0.02216603331951614,0.021779640441953692,0.021760206594158702,0.02173509846538656,0.021745203541192533
sub22,0.17580139416530047,0.17535676876551062,0.17456013429408776,0.17511916163385455,0.17540060836394386
sub23,0.023329913365205037,0.022765419132818696,0.02250910891134801,0.022760695239283656,0.022556200730248242
sub24,0.030576549372090905,0.0303706310093566,0.03022121684596127,0.030368054311688764,0.030155117390419088
sub25,0.02187884521938822,0.021731643610414467,0.021696757293116,0.02172841014660816,0.021696740995204973
sub26,0.10536591901960682,0.10180849425540814,0.10168705341066338,0.1017764814296292,0.10169818549771033
sub27,0.05001123877705664,0.04694975699601238,0.046949746134090066,0.04693854738770231,0.046901550617769586
sub28,0.1727693287109982,0.17276934594452634,0.17276923565654126,0.17276654873372047,0.16345026265543414
sub29,0.01308750536110052,0.01268598278075633,0.012662654556177905,0.012684474711016495,0.012667924111574377
sub30,0.2798996484672855,0.2791054151372008,0.2786461893264817,0.2789998607779132,0.2787417805510649
sub31,0.03584405383551783,0.035214108791578144,0.035212955105936944,0.03519184171574205,0.035217904993634565
sub32,0.02297442723315164,0.022271841320466484,0.022266905352492764,0.02222761342910703,0.022213438178891744
