subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,2559.119056828708,2557.218614010069,2555.389876791033,2557.3306167623296
sub02,3105.697120108718,3104.0057169145794,3105.2144249562675,3096.558298359484
sub04,5669.428518283222,5669.245898315149,5655.926701075218,5641.569351093864
sub13,5735.607277525754,5729.611582349234,5733.633708857376,5710.307238592328
sub14,5855.024776802989,5854.66171623187,5854.787990863392,5844.5076106879305
sub15,10178.05671508967,10173.791985075326,10174.506365275905,10172.6775878009
sub16,8332.773186360542,8305.85711164931,8331.064492440619,8307.151999426942
sub33,6787.540601710968,6778.97801089207,6743.8905532423705,6776.10085751419
sub34,6420.3617362622645,6416.32788206535,6414.123285869794,6416.612895369986
sub35,7649.841770935128,7649.088069876371,7637.921824179834,7628.912478376233
sub36,32668.968780629213,32650.916737933185,32551.004073600543,32654.554885929483
sub37,7811.898972163597,7786.124574027459,7810.133764413447,7764.134217483764
sub38,7095.378650157489,7095.128697629863,7090.102236794009,7086.24134696643
sub39,6819.404079161391,6817.493884442671,6819.402869821262,6804.420445834458
sub40,4286.726710795174,4286.346789481853,4280.89218462904,4285.459776622994
sub09,4859.461307364806,4859.106532171662,4850.234260076424,4834.084919926007
sub10,6677.120955449514,6675.833696492975,6645.863503411703,6650.101027218378
sub11,12512.983956817556,12510.561675725196,12500.301327992851,12495.201137486858
sub12,6931.237457583901,6926.873442345273,6923.494676037325,6928.026069619252
sub17,2732.967465308633,2732.9297119739167,2732.661995122155,2732.288847413616
sub18,17100.423723972224,17092.180555033814,17091.94262123382,17091.436131924696
sub19,11673.646433793683,11673.093062476435,11672.977710601244,11672.919194898279
sub20,7858.366336573373,7852.884190511736,7856.346618367375,7854.890443360578
sub41,7538.5266433498655,7533.3329046826575,7520.647128446569,7519.90110109405
sub42,11648.418278378977,11644.807183509341,11643.189917746045,11641.055865897511
sub43,17584.635428596797,17564.690373315338,17602.458655372004,17560.54530948787
sub44,8540.513487691074,8526.724937432395,8517.04355751302,8520.98720834131
sub45,4221.596770049205,4221.592692966685,4221.589337024605,4221.589337024629
sub46,11642.449964865864,11628.926564344416,11637.381972315847,11626.712831617331
sub47,5702.646689403221,5702.6258714903015,5700.9879510091405,5690.295663957937
sub48,9889.989480923456,9888.383315791089,9881.218401074217,9882.555149207099
sub05,4760.882131716988,4760.126841846132,4741.102158743697,4753.540760753141
sub06,3268.835092789761,3267.0327091882805,3266.977748432647,3266.8442482978553
sub07,12846.178448716135,12825.738258159754,12836.399426923144,12818.739942507586
sub08,20525.45933150045,20650.35432813682,20649.145251767764,20591.387000741564
sub21,3751.428751781929,3750.1321083535872,3747.932339899811,3746.2689405057267
sub22,6455.2911479290615,6451.586071244191,6456.1513616909615,6446.225127392268
sub23,2737.4585577251705,2737.4585577251705,2737.4585577251705,2737.509072211917
sub24,4947.6899521787955,4944.462270137869,4944.327512508806,4944.671239429616
sub25,2916.5250069363037,2916.180660411413,2915.773203459716,2915.97566063034
sub26,10883.497637789671,10868.979950959116,10883.409716409256,10867.884630915843
sub27,10285.35314036968,10283.47553771577,10283.808424380364,10283.475537716184
sub28,5918.347972891985,5917.343860521938,5918.015042730897,5916.285429703962
sub29,1346.377070731574,1345.194725035869,1343.3645115636393,1344.278228287974
sub30,8411.55951610593,8401.505388460433,8413.65264713356,8399.930832774862
sub31,5372.487315005402,5369.346453786804,5354.061905627379,5365.448079008772
sub32,3507.3609728834253,3506.949854675981,3502.981990389671,3501.2968395152184
