subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,2434.8842470798213,2352.0332747633256,2350.405500466365,2346.89838973552,2346.6296918054973
sub02,3048.0129340375206,2944.271719115276,2944.271719115276,2944.27171911528,2941.2311387365908
sub04,5649.229012853589,5649.229162042238,5649.215775551477,5639.39100955593,5639.4880309202745
sub13,5545.28576665822,5395.307247281779,5394.663566306743,5389.184031516186,5385.65111624594
sub14,5850.692916877505,5777.4175451283445,5770.977546371252,5753.295471971976,5716.959113196964
sub15,10109.413753103721,9820.300574588011,9820.300132431415,9820.290275550751,9809.657568880655
sub16,8348.61684169991,8088.035159376292,7962.75864818733,8086.021391431823,7978.96491120838
sub33,6560.849793295875,6343.597291778626,6329.0230882356955,6338.69838808802,6322.825469247528
sub34,6363.4586102764115,6304.949866614962,6291.4226531484655,6304.949866615055,6291.228032826449
sub35,7482.794266747089,7220.0287603864235,7196.5828976159,7209.249479273744,7167.416043821607
sub36,32278.719326718165,31006.95502586064,30941.758123029354,30953.788028377432,30875.2513588485
sub37,7605.203449143938,7330.718400996111,7323.231161471602,7326.395752447878,7321.488626560917
sub38,7091.124838111379,6986.002111334408,6981.723940806388,6978.226291870846,7066.539144120717
sub39,6648.221653314123,5831.691828565456,5712.851969794989,5823.924694423268,5712.673646852685
sub40,4263.638013588404,4209.559889906055,4194.79673970733,4203.681831753161,4194.7967397076745
sub09,4791.48077681809,4538.324575605229,4518.001965749353,4534.932277642384,4507.637309848714
sub10,6675.315883400834,6555.624571680601,6548.032318574734,6552.088944920826,6557.286346463383
sub11,12135.990180959423,11850.066026775903,11844.143357559287,11849.836270798545,11846.367114155071
sub12,6936.553491131626,6876.6217688191455,6972.915252443456,6876.6217688190345,6826.7098223456205
sub17,2731.874036974557,2684.4255454238896,2678.1168989468224,2681.796880959726,2679.0689969735336
sub18,17177.771671869632,17095.276804044217,17041.77845173535,17095.475434381522,17041.778451735372
sub19,11764.792601763862,11670.678622294787,11670.101003812473,11653.650978631209,11667.139391382625
sub20,7570.284795071659,7265.450785998395,7250.252896140675,7265.029178037113,7259.8161808091345
sub41,7428.202742437981,7094.724588285086,7083.584671012238,7055.771101082777,7054.543005397253
sub42,11662.949959621721,11668.188403571077,11667.495422378177,11666.727809324206,11656.32537803227
sub43,17581.47655529116,17542.534780597056,17496.002933836557,17532.037010959928,17495.039289569384
sub44,8421.93923800109,8343.600584491825,8339.95268430626,8341.639129803572,8328.514083607657
sub45,4168.828316552875,3967.0566911775136,3966.4874611828773,3954.077809110944,3948.3095218963363
sub46,11637.82200556456,11558.855000462263,11554.04263557129,11556.23500765834,11554.269137781368
sub47,5555.545688176414,5334.888387166083,5333.416405490436,5334.9190682311655,5330.231340102413
sub48,10019.10176490712,9690.259322705668,9686.360031904193,9659.478150192372,9686.360031875307
sub05,4826.094602940645,4825.0544560766275,4824.973583939871,4708.097735348189,4699.627554710257
sub06,3159.6365014070207,3053.199691301981,3051.6300151095893,3053.0516606514034,3051.2794538655103
sub07,12790.148806904646,12785.783451912666,12773.288255495503,12846.226796824949,12890.544439039837
sub08,20554.941562312186,20542.595967933423,20541.46402412872,20442.547282959,20539.549466744786
sub21,3680.4600934378323,3620.156088010773,3616.458526348599,3611.8397050072704,3620.1424545378345
sub22,6385.1067477717115,6359.560559532819,6357.332127030188,6352.941671076664,6368.346393217011
sub23,2619.280471039105,2561.285969610241,2536.6275256182503,2560.7813554485942,2541.4432285388784
sub24,4826.889583247975,4802.199482614579,4780.565722353904,4796.850557348509,4769.670491079986
sub25,2913.3021301530393,2895.236693602506,2891.011785975561,2895.236693602573,2891.00537599893
sub26,10610.926632460672,10098.254787080357,10076.131534452228,10096.89752863139,10083.234828973704
sub27,9726.866657930696,9170.413087044477,9169.73504783435,9096.10116382292,9135.630315028318
sub28,5784.344911406699,5729.303803438034,5728.400181416969,5705.295091481396,5719.857144979329
sub29,1297.6169693271122,1258.603481814911,1256.0389410856294,1257.6208794088413,1253.427544898654
sub30,8280.700476619613,8207.95836131837,8204.533737554751,8200.948065604456,8199.184916023505
sub31,5224.464642778145,5117.670737718137,5117.506090173703,5117.294020535468,5115.755472520522
sub32,3334.217014970441,3236.3118518710266,3235.806024763891,3232.1920093128583,3234.2637662186266
