subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,0.11575861562164202,0.1164912817878304,0.11621157970013953,0.11664601796050122
sub02,0.11590893260996935,0.11637834491435073,0.11592351552928205,0.11661446452670733
sub04,0.08615974900196333,0.08701102366279267,0.08587136997832122,0.08696278775409494
sub13,0.06675531057704276,0.06799123077702185,0.06907209662807122,0.06911471320359562
sub14,0.07717348505961663,0.07718376169715402,0.07727253981186788,0.0771888853546897
sub15,0.10850033529847047,0.10949142531872336,0.11029824613954677,0.11421375513145315
sub16,0.12209398781374615,0.12487910954775515,0.12276066678910967,0.124805540560879
sub33,0.04851572354842959,0.04981554166480462,0.04879771660597798,0.05035630863765672
sub34,0.05391990833966653,0.05410743314806399,0.05393087368941018,0.05572303668567147
sub35,0.06678984383547892,0.06687273966925644,0.06820317760046124,0.06825947535576282
sub36,0.025580779126662127,0.02590748057205705,0.02807055198381392,0.030713033547104418
sub37,0.08501516982262636,0.08570187078826963,0.08610877973276854,0.08929671815603224
sub38,0.062042851806931365,0.06204504714800374,0.0634853530629702,0.0622388719518534
sub39,0.13529652924851576,0.13530790512197932,0.13624485840342804,0.1353889785442507
sub40,0.10180093430424786,0.10217933567399896,0.10331352346870326,0.10424264970899633
sub09,0.10419258230705908,0.1042632563077096,0.10567525827223744,0.1063682992474566
sub10,0.05152853605258567,0.052009178128192064,0.05526345189146287,0.05218152881546523
sub11,0.03130001798451476,0.03174523418474151,0.034077099672986555,0.031951054700203874
sub12,0.04933583980704615,0.0517578558783548,0.046648878137861005,0.04863330043138514
sub17,0.030105907301107626,0.03061089515306448,0.03126733675275595,0.03425237179790208
sub18,0.02620735448410361,0.02628051151044764,0.02618341748770958,0.02668611636174134
sub19,0.059739491157477335,0.06151247397372495,0.06055369032957447,0.06148505212711386
sub20,0.05602756537536702,0.05688742498586796,0.056457928346215436,0.0569134384197384
sub41,0.031070713818391438,0.031536682854280906,0.03337622076787405,0.03127080569329843
sub42,0.07095426379887526,0.07199353050357693,0.07145067925219828,0.07206080270741666
sub43,0.018556850236993272,0.020027529054592264,0.018931291688501942,0.02033556561493888
sub44,0.06482428256494033,0.06619140806186452,0.0666659814189603,0.06769069509462178
sub45,0.05365417230294822,0.05389750196046661,0.054670549141922486,0.0543138441636285
sub46,0.030459660385373618,0.031337079181004916,0.03220558080029812,0.03081397981632128
sub47,0.05723028499258809,0.05824420847624179,0.058030032102393984,0.058114284877265776
sub48,0.0860081958330311,0.08634069492811236,0.08608949962406443,0.08677450106088991
sub05,0.06432542534336216,0.06447188158326123,0.06559878179122712,0.06665344803106421
sub06,0.01952277806967906,0.02008169493093637,0.01990918974137512,0.02600451530074344
sub07,0.10238978571956914,0.10392417672935184,0.1029279848319592,0.10440345256470696
sub08,0.026316716073840563,0.026443104908714488,0.026050297937376232,0.030869590818101256
sub21,0.06349034675118513,0.06382876543220828,0.06495016809103749,0.06435467797082672
sub22,0.0390565181086987,0.03940931363441613,0.03906101784022253,0.03980707750175283
sub23,0.07069491435277797,0.07069491427819496,0.07069491433709296,0.07079329108963882
sub24,0.048118062054369186,0.0487891413598901,0.04811701794594736,0.049850758413210405
sub25,0.054790044681028986,0.05496737024224718,0.05482394123714518,0.055109763978478665
sub26,0.06756666323219053,0.06882567048841115,0.0676113476379333,0.06946148305899191
sub27,0.03578388565731694,0.03600505106371543,0.03508075651342324,0.03783211604027814
sub28,0.08503996835350612,0.08515746994486595,0.08526246766448009,0.08547190359603196
sub29,0.05217751652383407,0.05306759095127567,0.054116985342665284,0.053096551815960735
sub30,0.02633385055469573,0.02881766241244943,0.025828396612016857,0.028873350336915963
sub31,0.015691694040930848,0.016300161369047,0.015972924580943015,0.016400357441906266
sub32,0.07651376112675579,0.07661268110431517,0.07818161381103761,0.07810720304309116
