subject,SR_Q_D_alphaCCC_relevant_WOB
sub01,0.1957700576856345
sub02,0.1684087069476361
sub04,0.0956774671038224
sub13,0.1323246015685633
sub14,0.0901202224828217
sub15,0.14703029465616302
sub16,0.15607232411674546
sub33,0.11710576510113258
sub34,0.07397888698435008
sub35,0.12336344808346456
sub36,0.07609604198708375
sub37,0.14726046807240856
sub38,0.07499768035183307
sub39,0.2821094856193649
sub40,0.12323796547840934
sub09,0.1649617446983136
sub10,0.07022818878745796
sub11,0.10250668661151696
sub12,0.07170763728188267
sub17,0.046470181303813966
sub18,0.03803726714936895
sub19,0.06561592576512976
sub20,0.1348642049527662
sub41,0.09610382701000196
sub42,0.07492952384767182
sub43,0.02628671562790341
sub44,0.08492702665548735
sub45,0.11891107310842265
sub46,0.037065067023587916
sub47,0.1330311718222249
sub48,0.11104689414959323
sub05,0.0538538234961764
sub06,0.08401170905435408
sub07,0.10548366596825344
sub08,0.034766491875873766
sub21,0.0957592524436145
sub22,0.05054155038115815
sub23,0.13006343030519685
sub24,0.08022593543326606
sub25,0.06142606046476716
sub26,0.13797004248707467
sub27,0.1399817287696885
sub28,0.11345048921831336
sub29,0.11654113069105697
sub30,0.05980081559786433
sub31,0.06300620850808625
sub32,0.15841836670707574
