subject,AB_Q_WOB,AB_Q_E_WOB,AB_Q_alphaCCC_WOB,AB_Q_E_alphaCCC_WOB
sub01,0.12484037496441568,0.12563484944069614,0.12852280449766051,0.12700898689839524
sub02,0.1123482838727302,0.11272851373483672,0.11256090517423334,0.11628363195833755
sub04,0.08866415610167322,0.08867206775409198,0.09341528311802773,0.09082781357223436
sub13,0.06256900330020565,0.06388380964574003,0.06526914061837863,0.06463132413025374
sub14,0.08489540230971437,0.08490889366121201,0.08555867538650475,0.08519877594436642
sub15,0.10636193780976723,0.1074760955576084,0.10147591220411999,0.1069618315878913
sub16,0.11787796814214245,0.12066855297171153,0.11807749909130105,0.12718352075666106
sub33,0.05249986006785135,0.05399800098149332,0.05288119504547284,0.053818075200217086
sub34,0.06141624064228768,0.061449125591912075,0.06186825782897309,0.027244576135731724
sub35,0.06731097459652724,0.0674167078794995,0.06866267359895628,0.06907185785657878
sub36,0.03869765882225995,0.03884080359291986,0.04229986576757083,0.04168120092853611
sub37,0.0847089985115661,0.08617922829367862,0.08470835083345762,0.09064111901638516
sub38,0.06613312668126259,0.06614880540785062,0.06629168476698688,0.06627822428658392
sub39,0.14350484905968686,0.1436415361248291,0.14651498305741315,0.14458153535252416
sub40,0.10210402022651632,0.10256984093813493,0.10302916754910607,0.10397737323021183
sub09,0.11428155312794375,0.11441286053907228,0.11469153735805793,0.11397446624573593
sub10,0.05720338941739277,0.05790847653392684,0.061408753795555875,0.05744445924658104
sub11,0.034614786275297904,0.03464777449521095,0.035561002889670346,0.03728697416472737
sub12,0.050348637202692566,0.05447609538398568,0.05103415037084525,0.051228669698247915
sub17,0.0295610645603962,0.029739491090765343,0.03189450652105308,0.03000241616688737
sub18,0.0283743074658932,0.02885442417487372,0.025393081028023512,0.03040853455592063
sub19,0.0662451709750379,0.06789428628023653,0.06691418840391017,0.06915253078198724
sub20,0.05921236853551948,0.06001019958057985,0.059654426794432565,0.06171954217020448
sub41,0.035912883795890534,0.03645582602721131,0.0359020343449078,0.03624433480453237
sub42,0.07812013456591005,0.08011382773491815,0.07847278995470353,0.08083806556330664
sub43,0.023473277683809583,0.0247944677744002,0.01720800601200223,0.02385384064171581
sub44,0.06658979415760269,0.06797396213127094,0.06744640735143148,0.07025566508366876
sub45,0.05752681137808002,0.057724041763201124,0.05784274767091958,0.03308559347962703
sub46,0.03322255604482405,0.03380345033262955,0.03423763859373341,0.03259025511417313
sub47,0.060369053074601386,0.061767891979155436,0.054867820969287114,0.06158186430473856
sub48,0.09080578525656492,0.09120679759397833,0.09081111253643083,0.09112565756930212
sub05,0.07146899596721333,0.07120697472712934,0.07226585948973052,0.05442951085219738
sub06,0.020836634649512572,0.021364928259246633,0.020871748769632714,0.02166963441913583
sub07,0.11179305212258328,0.11340774935706023,0.10558956912207396,0.11511910091169265
sub08,0.02363991388944886,0.025037428577465937,0.02599229378452439,0.0212130785036605
sub21,0.06778967262088798,0.0681005163183116,0.06842843683588729,0.0686313936600419
sub22,0.04437602434701226,0.044593597127539415,0.044798045709161904,0.04360099239145765
sub23,0.07398615495100314,0.07398615488839078,0.07398615493841132,0.07400280644586621
sub24,0.05227888257310687,0.052870413367309584,0.05234767281542585,0.053543288308209314
sub25,0.05415410265257492,0.05410367731661658,0.054226632308753686,0.054761621928715136
sub26,0.07729943506990578,0.07857859705049708,0.0765275665313162,0.07835973921936112
sub27,0.037197690872148303,0.03746539024631235,0.03717724129961164,0.037465390023660235
sub28,0.09181596249996372,0.09182635169451092,0.09181596250184364,0.09180861478023328
sub29,0.053144122338152015,0.05416408782703197,0.05596555726193586,0.05419292918229601
sub30,0.029982009151293787,0.03304342711945374,0.0304457653355682,0.033368787990953774
sub31,0.0167349073789691,0.017293922945893048,0.00424140387445493,0.017484522084660115
sub32,0.08047881376944932,0.08052871279543483,0.08235466326958929,0.08153247649723007
