subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,0.17477983943192066,0.21193293972055693,0.212360583925328,0.21326778534681834,0.21337898780323966
sub02,0.13391796569804248,0.1723787037838872,0.17237875703644,0.1723787561326895,0.1731891087333478
sub04,0.09993381844630124,0.10007493729192596,0.10021764666529533,0.10129192785641106,0.09599605668272193
sub13,0.1002760586992445,0.13369351762518722,0.1351269151944816,0.13642060056856886,0.1374099993283796
sub14,0.08467729950434566,0.0958554082194496,0.09651445762882582,0.10002167901003978,0.10268195722416652
sub15,0.1198202144979651,0.1492654571204317,0.1493266553245559,0.15104167409765898,0.15268965794467204
sub16,0.11779735700496695,0.1545000241581691,0.1685646703911886,0.1548634190567657,0.16381780404152435
sub33,0.09151919022971666,0.13097895149828045,0.133236889143314,0.1326806096643589,0.13345512931484127
sub34,0.06995770912645649,0.08314775708077217,0.08375993293739692,0.08350509334191836,0.07924780103601192
sub35,0.09271707411180097,0.13303144179922433,0.13588909480614064,0.13888201525679855,0.13914381760874672
sub36,0.06151700422920193,0.12095531444688777,0.12254865886135392,0.12541736667516035,0.12687834285639665
sub37,0.11410253654168345,0.16043891580640568,0.16176733462589546,0.16130542590865216,0.16267619063940153
sub38,0.06737978377412834,0.0811603878970446,0.0820039685039341,0.0816573628033107,0.08281664060643246
sub39,0.1830922482563944,0.3183338092718244,0.32037707767869883,0.32002940143549785,0.3330788860308054
sub40,0.11412843636609382,0.12557067443513092,0.12909354517914814,0.12729624999521272,0.12817291562538835
sub09,0.1320475755492222,0.18048308792826692,0.18416825404427484,0.1808933780594272,0.186176753274678
sub10,0.06018133965685424,0.08042292675740081,0.0815616620129368,0.08042297541663845,0.08123080448820053
sub11,0.075856069843242,0.12206125154468905,0.12274124524937703,0.12225696558439225,0.1233525302336621
sub12,0.05307776948103038,0.08051718220560168,0.08374373081389798,0.08099941180207583,0.08478558399919756
sub17,0.028601644298986036,0.0462160485202664,0.04878344902884224,0.047300375556694974,0.049673908745751394
sub18,0.021977458760660703,0.044508833910282486,0.04452486738182005,0.04450881361478731,0.04554051430791895
sub19,0.061486621974760514,0.07476941471782117,0.07523367133267334,0.0756836620754281,0.07525703068904632
sub20,0.10468968182696137,0.1540374681102521,0.15624281894480296,0.15387862987840106,0.15499885152982604
sub41,0.05834673303821336,0.11119141105838448,0.1126341814037245,0.103195620308687,0.11651859659850206
sub42,0.07995883184722262,0.08016178274516306,0.0808733959991168,0.08016164079406718,0.0816001215926826
sub43,0.022206097518918663,0.02228057592562493,0.03297084616320034,0.028277796658294774,0.031434279908372775
sub44,0.07840520091939551,0.08736619152903258,0.08759024829545281,0.08923679536463358,0.08903253613359563
sub45,0.08039558672236513,0.12386006232188153,0.1241487980200976,0.12472145736289808,0.1311283133566291
sub46,0.03264856641824854,0.04021800214667004,0.04031224431081526,0.04021806531468464,0.04079160745170196
sub47,0.09946412895202383,0.14712171640615654,0.14715057634004425,0.14780194059964435,0.14993763970424212
sub48,0.0786063153649631,0.12384791196893476,0.12493193498176625,0.12453603112730305,0.12847328882397158
sub05,0.05941010446839989,0.060299754437123425,0.06034906149944685,0.06083550993321685,0.06233167895290359
sub06,0.056968867097355484,0.09442070593318007,0.094969304348536,0.09450190036375117,0.09507884213957872
sub07,0.11462149111909292,0.1146591394070816,0.1153443745452174,0.11465908559564142,0.10555421311595237
sub08,0.033517671877801865,0.03546254034271579,0.03664466982796388,0.03676855047448902,0.0376310938446226
sub21,0.086885070277818,0.1024501507240031,0.1033147915745859,0.10424536757221757,0.10502336863604812
sub22,0.05422293365103648,0.05926371076505499,0.059295651655306814,0.059564762110580476,0.05956261094651394
sub23,0.11604935757724323,0.13957912172078454,0.1491398461241381,0.14033079850023056,0.14677520858285575
sub24,0.08178449424320022,0.09078377717181553,0.09695267848140053,0.09098662817038873,0.09772228999982836
sub25,0.05425471168548146,0.061243363614741926,0.0630580162939457,0.061579397982215574,0.06272866728673654
sub26,0.11398367701883437,0.16364592142966286,0.16565039789289548,0.16410761244361882,0.16537904937225922
sub27,0.0877624229767825,0.14721094795884426,0.1472151713226385,0.15694060966485526,0.14731699150528302
sub28,0.11315374510701992,0.12876787483265995,0.1292899318695141,0.13002345507632118,0.1290083707310915
sub29,0.09243159332349538,0.12099554541629942,0.12263564099000145,0.121308877874011,0.12257273441063266
sub30,0.05646354248553743,0.07079141652228982,0.07141378642122675,0.07078395452355835,0.07133725317951845
sub31,0.04837722175198012,0.07069332508532589,0.07074453029512195,0.0713976638957331,0.07202313228849687
sub32,0.13364044526510144,0.16327445999700596,0.16353139294233365,0.16492972232454473,0.1656836939811811
