subject,SR_Q_WOB,SR_Q_D_WOB,SR_Q_D_E_WOB,SR_Q_D_alphaCCC_WOB,SR_Q_D_E_alphaCCC_WOB
sub01,0.028622017948282782,0.033929306184212304,0.034018789480144467,0.03599744593024578,0.03599343980152925
sub02,0.061065846920635436,0.061065831439770075,0.06119748030405647,0.06061448038835526,0.061347970141162673
sub04,0.02185587510348208,0.021872835206618983,0.017150358690202986,0.02416581539693041,0.017226670907790287
sub13,0.062324738819607324,0.08155355377286387,0.0818283318804327,0.0816808877818298,0.08182838067489273
sub14,0.08029359622930787,0.09372508146784164,0.0944568671412429,0.09753644242516846,0.09448393748384
sub15,0.051669082811247824,0.06850206616722798,0.06850377826471721,0.07022909993594806,0.07001373698137492
sub16,0.11443684244047815,0.1454700675980376,0.15916893778610708,0.14547023036647488,0.15750856984576134
sub33,0.05970418611489059,0.08426002687882106,0.08594674947962344,0.08556687251715402,0.08653436729337938
sub34,0.06495103436135741,0.07681657816624632,0.0780201949039746,0.07681658572437687,0.07802006034079956
sub35,0.0900433853688718,0.12843668046079348,0.13116779580739235,0.13371923178261216,0.13614010059505366
sub36,0.02036072561572011,0.054736995137915516,0.05597684096501465,0.05660541852057933,0.056900566559836885
sub37,0.09864398606073176,0.1434898256064162,0.14458910551302628,0.14425973991251184,0.14366289429028198
sub38,0.01447817359193515,0.021790108105613992,0.02195325677885496,0.021969138353165718,0.019571297529470844
sub39,0.18463232979247346,0.3126192550511841,0.3203853199347634,0.3166574743795898,0.3212587166719321
sub40,0.10509002549920632,0.11698985492180534,0.12019069178391427,0.1199353812863777,0.11718675363835328
sub09,0.13068613341811794,0.1790940240609904,0.18274976198137505,0.17939553511627115,0.18357119136211555
sub10,0.05744384278386894,0.07678332937321998,0.0778940057445604,0.07685705814571486,0.0777521881153449
sub11,0.013780763479163792,0.02145509044216376,0.02162124700163948,0.02177087369948305,0.022164454567650482
sub12,0.0384895574545272,0.04068456607133053,0.04343728309164519,0.04068456940229381,0.04015994743452178
sub17,0.024915838892364702,0.04180723909253159,0.04422088999565088,0.04201896454459608,0.04372269524747774
sub18,0.06444651342646346,0.06444242478612773,0.06987585501040605,0.0653046646617863,0.06463805537760514
sub19,0.014429958792157803,0.014427593627787337,0.009887742902304096,0.014090267134517663,0.015900991217956628
sub20,0.03922489949636687,0.06497793220492176,0.06577582703362095,0.06571483474772223,0.01997716012975004
sub41,0.014593212453802185,0.04196161821131017,0.04251433729563559,0.044291680386651766,0.045271511047802686
sub42,0.03151768074041938,0.031849042415676765,0.0315013683591262,0.032059266964285404,0.03662837929839369
sub43,0.0100088463189153,0.010591195542756004,0.010797447379031766,0.010523385563853349,0.010494803688428587
sub44,0.08583737487023846,0.09504186144173588,0.09521711459278703,0.0954760654353214,0.0974391388485124
sub45,0.01655924450309254,0.030895722016261676,0.03165501375019841,0.03103987603799185,0.032401958461116154
sub46,0.03168666516030416,0.038724809979572616,0.03932019553782407,0.0420152927990336,0.040629629103647424
sub47,0.0752198584481455,0.11379162048360658,0.11432061515686652,0.1139484314790894,0.11717910951149835
sub48,0.07884331664209265,0.11882651916292243,0.1195566314456965,0.12188401542370453,0.12378134547060182
sub05,0.012334054960246643,0.012333867961557776,0.012414025634320036,0.012355216587429996,0.012339989659940986
sub06,0.06198088287291559,0.09730983878835964,0.09791281087864034,0.09737891651775243,0.09784683231872003
sub07,0.044091544702988365,0.03580689990378028,0.04716860077460583,0.0445147029985713,0.045927913242891694
sub08,0.05324082644735872,0.0536966497546908,0.05652266428884022,0.05303702131992072,0.053997444864828485
sub21,0.08547155363725645,0.10141339008712293,0.10221519374792533,0.10325110754218893,0.10283419123816273
sub22,0.056303425892257224,0.05869016160912744,0.06296647144945089,0.059965629515153725,0.05845483194856105
sub23,0.11911512849340522,0.14042915661002375,0.15010685201417595,0.14060752016149525,0.14832877126798516
sub24,0.07968982980123418,0.08588767643219508,0.09038482790669512,0.08596523133133771,0.09237432651211687
sub25,0.05158190494959813,0.05796289389830767,0.05947516812258545,0.05810306013988543,0.05947587465619807
sub26,0.04887036738793549,0.08098295312463821,0.08207918981206819,0.08127193032840617,0.08197870138059504
sub27,0.08994158835671229,0.14565161104415625,0.14565180869979946,0.14585559316207553,0.14652882627247046
sub28,0.02681126827318492,0.026811171189093264,0.02681179243777765,0.0268269275832973,0.07930443417903454
sub29,0.08967536290327037,0.11760397779542076,0.11922661381057895,0.11770887425741686,0.1188600805464438
sub30,0.04210204183551547,0.044820139158524334,0.04639174338135932,0.04518137685842527,0.046064602454641834
sub31,0.04419125712854288,0.06098921707336346,0.06101998097118577,0.06158298545090424,0.06088798843078658
sub32,0.12843543037401084,0.1550889343919003,0.15527618671179974,0.1567667765659203,0.15730453305543102
