,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q,PE
0,1,633.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,-0.5
1,2,436.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6620949480453147,0.33790505195468534,-0.33790505195468534
2,3,511.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7716403517270027,0.2283596482729972,-0.2283596482729972
3,4,419.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8456722423719184,0.1543277576280816,-0.1543277576280816
4,5,370.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.895703742081266,0.104296257918734,-0.104296257918734
5,6,806.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.9295155350985819,0.07048446490141815,-0.07048446490141815
6,7,521.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.9420506492696942,0.0579493507303058,-0.0579493507303058
7,8,409.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9608372432614715,0.03916275673852852,-0.03916275673852852
8,9,396.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9735334132991577,0.02646658670084237,-0.02646658670084237
9,10,408.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.01788638670842265,0.01788638670842265,0.9821136132915773
10,11,439.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3362776969506116,0.3362776969506116,0.6637223030493884
11,12,418.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.551449761409226,0.551449761409226,0.44855023859077403
12,13,266.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.30313478335060395,0.696865216649396,-0.696865216649396
13,14,413.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5290514455253456,0.47094855447465445,-0.47094855447465445
14,15,377.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6817282084645159,0.3182717915354841,-0.3182717915354841
15,16,500.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2150912925090171,0.2150912925090171,0.7849087074909828
16,17,376.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.530449235168851,0.469550764831149,-0.469550764831149
17,18,339.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6826728488287367,0.3173271511712633,-0.3173271511712633
18,19,510.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.785547104993684,0.21445289500631604,-0.21445289500631604
19,20,338.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8550705667421161,0.14492943325788382,-0.14492943325788382
20,21,381.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9020552246504634,0.09794477534953666,-0.09794477534953666
21,22,393.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9338079311936497,0.06619206880635034,-0.06619206880635034
22,23,400.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.04473326889799584,0.04473326889799584,0.9552667311020042
23,24,356.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3544210911927897,0.3544210911927897,0.6455789088072104
24,25,343.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4362887494426989,0.5637112505573011,-0.5637112505573011
25,26,294.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.38096175881401095,0.38096175881401095,0.619038241185989
26,27,298.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.41835229809977736,0.5816477019002226,-0.5816477019002226
27,28,277.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6069166061401639,0.39308339385983615,-0.39308339385983615
28,29,405.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.26564972924946395,0.26564972924946395,0.734350270750536
