,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,417.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,2,324.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5648496784861509,0.43515032151384914,0.5,0.5,0.0,0.0,-0.5,0.5
2,3,299.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5384502789689942,0.5384502789689942,0.4615497210310058,0.43515032151384914,0.5648496784861509,0.4615497210310058,-0.4615497210310058,0.0,0.0
3,4,327.3,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.5384502789689942,0.5983129809974609,0.4016870190025391,0.4615497210310058,0.5384502789689942,0.0,0.0,0.5384502789689942,-0.5384502789689942
4,5,394.8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,0.43498667880036673,0.5582911378108542,0.4417088621891459,0.5650133211996332,0.43498667880036673,0.0,0.0,0.4349866788003668,-0.43498667880036673
5,6,586.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.4654383712831194,0.5345616287168806,0.4654383712831194,0.6485963177583032,0.35140368224169677,-0.5345616287168806,0.5345616287168806,0.0,0.0
6,7,357.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5881048295835768,0.46522932921023497,0.534770670789765,0.5881048295835768,0.41189517041642315,0.0,0.0,0.4118951704164232,-0.41189517041642315
7,8,585.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5206160157307648,0.47938398426923523,0.5206160157307648,0.6415273683265835,0.3584726316734165,-0.47938398426923523,0.47938398426923523,0.0,0.0
8,9,488.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.41720818976669544,0.41720818976669544,0.5827918102333045,0.583913550860038,0.41608644913996196,0.5827918102333045,-0.5827918102333045,0.0,0.0
9,10,500.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4927959128026787,0.4927959128026787,0.5072040871973212,0.5497535148233063,0.4502464851766938,0.5072040871973214,-0.5072040871973212,0.0,0.0
10,11,335.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5585799567658944,0.5585799567658944,0.44142004323410544,0.5294995529554192,0.4705004470445808,0.44142004323410555,-0.44142004323410544,0.0,0.0
11,12,310.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.6158318525280435,0.6158318525280435,0.3841681474719564,0.517490696439439,0.48250930356056093,-0.6158318525280435,0.6158318525280436,0.0,0.0
12,13,322.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.5103704778983915,0.49749932852402934,0.5025006714759706,0.5103704778983915,0.4896295221016084,0.0,0.0,0.4896295221016085,-0.4896295221016084
13,14,429.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5014826830002158,0.4985173169997842,0.5014826830002158,0.5738751120696255,0.42612488793037445,-0.4985173169997842,0.4985173169997842,0.0,0.0
14,15,697.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5661400584546449,0.4338599415453551,0.5661400584546449,0.5438015844372988,0.4561984155627012,-0.4338599415453551,0.4338599415453551,0.0,0.0
15,16,404.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.47402942959450806,0.3775885861108822,0.6224114138891178,0.5259705704054919,0.47402942959450806,0.0,0.0,-0.5259705704054919,0.525970570405492
16,17,544.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5725794348237325,0.4274205651762675,0.5725794348237325,0.45775252563754487,0.5422474743624551,-0.4274205651762675,0.4274205651762675,0.0,0.0
17,18,363.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.47495088313631745,0.37198439271616784,0.6280156072838322,0.47495088313631745,0.5250491168636825,0.0,0.0,0.5250491168636826,-0.5250491168636825
18,19,534.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.543049415972412,0.42409776073909544,0.5759022392609046,0.543049415972412,0.45695058402758804,0.0,0.0,0.45695058402758804,-0.45695058402758804
19,20,366.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4549965035743949,0.4549965035743949,0.5450034964256051,0.6023156128889078,0.39768438711109216,0.5450034964256051,-0.5450034964256051,0.0,0.0
20,21,361.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.525683106608452,0.525683106608452,0.474316893391548,0.5606643540923997,0.4393356459076003,0.47431689339154803,-0.474316893391548,0.0,0.0
21,22,641.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.41279829731756446,0.5872017026824355,0.41279829731756446,0.5359687417544368,0.46403125824556324,-0.5872017026824355,0.5872017026824355,0.0,0.0
22,23,456.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.488957980568517,0.511042019431483,0.488957980568517,0.5213263687177286,0.4786736312822714,-0.511042019431483,0.511042019431483,0.0,0.0
23,24,444.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5552398018746069,0.44476019812539314,0.5552398018746069,0.51264470149636,0.48735529850364,-0.44476019812539314,0.44476019812539314,0.0,0.0
24,25,279.6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.507497219899379,0.38707508642165617,0.6129249135783439,0.507497219899379,0.492502780100621,0.0,0.0,-0.507497219899379,0.507497219899379
25,26,451.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.40998127182168675,0.433045243538653,0.5669547564613471,0.40998127182168675,0.5900187281783132,0.0,0.0,0.5900187281783132,-0.5900187281783132
26,27,502.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4603015909355718,0.4603015909355718,0.5396984090644282,0.48650632146802925,0.5134936785319708,0.5396984090644281,-0.5396984090644282,0.0,0.0
27,28,521.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.46969987244979766,0.5303001275502024,0.46969987244979766,0.49199940977374307,0.508000590226257,-0.5303001275502024,0.5303001275502024,0.0,0.0
28,29,305.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4952563384538308,0.46152054200461157,0.5384794579953884,0.4952563384538308,0.5047436615461692,0.0,0.0,0.5047436615461691,-0.5047436615461692
29,30,356.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4771849926007829,0.4771849926007829,0.522815007399217,0.560721266792214,0.439278733207786,0.522815007399217,-0.522815007399217,0.0,0.0
30,31,372.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5360024860880376,0.5449937628759305,0.45500623712406946,0.5360024860880376,0.4639975139119624,0.0,0.0,0.4639975139119624,-0.4639975139119624
31,32,463.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5961826652791657,0.5266774296315712,0.4733225703684288,0.5961826652791657,0.4038173347208343,0.0,0.0,0.40381733472083425,-0.4038173347208343
32,33,467.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6485575139267267,0.5158174201546533,0.48418257984534674,0.6485575139267267,0.3514424860732734,0.0,0.0,0.35144248607327333,-0.3514424860732734
33,34,350.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4906216309515537,0.5093783690484462,0.4906216309515537,0.6941393783831773,0.30586062161682276,-0.5093783690484462,0.5093783690484464,0.0,0.0
34,35,297.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6151079455127051,0.443312322127263,0.556687677872737,0.6151079455127051,0.3848920544872949,0.0,0.0,0.3848920544872949,-0.3848920544872949
35,36,489.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6650281974834553,0.4663890850472497,0.5336109149527504,0.6650281974834553,0.3349718025165447,0.0,0.0,0.3349718025165447,-0.3349718025165447
36,37,379.9,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.708473824873704,0.4800716196825497,0.5199283803174504,0.708473824873704,0.291526175126296,0.0,0.0,-0.708473824873704,0.7084738248737039
37,38,319.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,0.48818418532684293,0.48818418532684293,0.5118158146731571,0.5723400806642558,0.42765991933574427,-0.48818418532684293,0.48818418532684293,0.0,0.0
38,39,354.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.5428914429047508,0.394379250438487,0.605620749561513,0.5428914429047508,0.45710855709524933,0.0,0.0,0.4571085570952492,-0.45710855709524933
39,40,326.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.39782187117345885,0.4373759842707356,0.5626240157292645,0.6021781288265412,0.39782187117345885,0.0,0.0,-0.6021781288265412,0.6021781288265411
40,41,341.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.524076012734955,0.46286934752555287,0.5371306524744471,0.524076012734955,0.47592398726504503,0.0,0.0,0.47592398726504503,-0.47592398726504503
41,42,333.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5220152817912299,0.47798471820877014,0.5220152817912299,0.5858030478509252,0.4141969521490748,-0.47798471820877014,0.4779847182087701,0.0,0.0
42,43,472.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5840095923854942,0.41599040761450584,0.5840095923854942,0.5508738239459829,0.44912617605401706,-0.41599040761450584,0.4159904076145058,0.0,0.0
43,44,472.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5301637998615565,0.36203671924025876,0.6379632807597413,0.5301637998615565,0.46983620013844346,0.0,0.0,0.4698362001384435,-0.46983620013844346
44,45,339.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5911012529018222,0.4181996463741514,0.5818003536258486,0.5911012529018222,0.4088987470981777,0.0,0.0,0.40889874709817775,-0.4088987470981777
45,46,322.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.35586484253276424,0.4514994292940412,0.5485005707059588,0.6441351574672357,0.35586484253276424,0.0,0.0,-0.6441351574672357,0.6441351574672358
46,47,306.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.4712433350891971,0.4712433350891971,0.528756664910803,0.5605912417404829,0.439408758259517,-0.4712433350891971,0.471243335089197,0.0,0.0
47,48,357.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.6193064034997708,0.38069359650022927,0.6193064034997708,0.5359253924211339,0.464074607578866,-0.38069359650022927,0.38069359650022916,0.0,0.0
48,49,353.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5213006662933292,0.3313178818306767,0.6686821181693234,0.5213006662933292,0.4786993337066707,0.0,0.0,0.47869933370667084,-0.4786993337066707
49,50,356.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6000139808260799,0.3999860191739202,0.6000139808260799,0.5833876620581536,0.41661233794184627,-0.3999860191739202,0.39998601917392007,0.0,0.0
50,51,344.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.348108089689152,0.348108089689152,0.651891910310848,0.5494417080169942,0.4505582919830057,0.651891910310848,-0.651891910310848,0.0,0.0
51,52,387.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.43265805127191437,0.43265805127191437,0.5673419487280857,0.5293146783505329,0.470685321649467,-0.43265805127191437,0.43265805127191426,0.0,0.0
52,53,406.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.5173810817073679,0.34952250213217184,0.6504774978678283,0.5173810817073679,0.48261891829263204,0.0,0.0,0.48261891829263215,-0.48261891829263204
53,54,442.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.57997644507259,0.4107797924887191,0.589220207511281,0.57997644507259,0.42002355492740984,0.0,0.0,0.42002355492740995,-0.42002355492740984
54,55,365.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6344532300598954,0.44710009442509535,0.5528999055749048,0.6344532300598954,0.36554676994010454,0.0,0.0,0.3655467699401046,-0.36554676994010454
55,56,321.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5313650919213566,0.4686349080786435,0.5313650919213566,0.6818644110644289,0.3181355889355711,-0.4686349080786435,0.4686349080786434,0.0,0.0
56,57,308.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,0.40785326184606974,0.40785326184606974,0.5921467381539304,0.6078299461646904,0.3921700538353095,-0.40785326184606974,0.4078532618460696,0.0,0.0
57,58,400.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.5639338792115894,0.3294839704568787,0.6705160295431214,0.5639338792115894,0.43606612078841056,0.0,0.0,0.43606612078841056,-0.43606612078841056
58,59,879.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,0,0.6204913746752523,0.3988986675389849,0.6011013324610152,0.6204913746752523,0.37950862532474766,0.0,0.0,0.3795086253247477,-0.37950862532474766
59,60,347.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6697133993453143,0.4400556097114153,0.5599443902885848,0.6697133993453143,0.33028660065468574,0.0,0.0,0.33028660065468574,-0.33028660065468574
60,61,426.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.46445813482769116,0.46445813482769116,0.5355418651723088,0.7125513590667945,0.2874486409332056,0.5355418651723088,-0.5355418651723088,0.0,0.0
61,62,433.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6260246656905546,0.5339175703722867,0.4660824296277133,0.6260246656905546,0.3739753343094455,0.0,0.0,0.3739753343094454,-0.3739753343094455
62,63,329.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6745290260739912,0.5201102005932601,0.4798897994067399,0.6745290260739912,0.3254709739260089,0.0,0.0,0.32547097392600877,-0.3254709739260089
63,64,328.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.7167424021053433,0.5119236184509136,0.4880763815490864,0.7167424021053433,0.28325759789465677,0.0,0.0,0.28325759789465665,-0.28325759789465677
64,65,344.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.4929303202967246,0.5070696797032754,0.4929303202967246,0.7534807304097991,0.24651926959020098,-0.5070696797032754,0.5070696797032754,0.0,0.0
65,66,539.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5586969316943904,0.4413030683056096,0.5586969316943904,0.650292260887656,0.3497077391123441,-0.4413030683056096,0.4413030683056096,0.0,0.0
