,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,449.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,-0.5
1,2,373.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.9022454070646799,0.09775459293532013,0.5,-0.5,0.0,0.0
2,3,372.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.9022454070646799,0.09775459293532013,0.5,0.5,0.0,0.0,-0.5,0.5
3,4,368.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.09775459293532013,0.5,0.5,0.09775459293532013,0.9022454070646799,0.0,0.0,0.9022454070646799,-0.9022454070646799
4,5,367.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3677197615705077,0.5,0.5,0.3677197615705077,0.6322802384294923,0.0,0.0,0.6322802384294923,-0.6322802384294923
5,6,387.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.12361659465744435,0.5,0.5,0.8763834053425557,0.12361659465744435,0.0,0.0,-0.8763834053425557,0.8763834053425557
6,7,406.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3858434699175831,0.5,0.5,0.6141565300824169,0.3858434699175831,0.0,0.0,-0.6141565300824169,0.6141565300824169
7,8,357.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.12007324319355073,0.8799267568064493,-0.5,0.5,0.0,0.0
8,9,357.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.09775459293532013,0.9022454070646799,0.5,0.5,0.0,0.0,0.5,-0.5
9,10,348.7,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.09775459293532013,0.5,0.5,0.9022454070646799,0.09775459293532013,0.0,0.0,-0.9022454070646799,0.9022454070646799
10,11,288.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.6322802384294923,0.3677197615705077,0.5,-0.5,0.0,0.0
11,12,387.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.09775459293532013,0.9022454070646799,0.09775459293532013,0.5,0.5,-0.9022454070646799,0.9022454070646799,0.0,0.0
12,13,303.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.6322802384294923,0.6322802384294923,0.3677197615705077,0.5,0.5,0.3677197615705077,-0.3677197615705077,0.0,0.0
13,14,314.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.07189259121319591,0.9281074087868041,0.07189259121319591,0.5,0.5,-0.9281074087868041,0.9281074087868041,0.0,0.0
14,15,365.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3495960532234322,0.6504039467765679,0.3495960532234322,0.5,0.5,-0.6504039467765679,0.6504039467765679,0.0,0.0
15,16,361.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.12715994612133807,0.872840053878662,0.5,0.5,0.0,0.0,0.5,-0.5
16,17,380.7,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.9022454070646799,0.09775459293532013,-0.5,0.5,0.0,0.0
17,18,320.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.09775459293532013,0.09775459293532013,0.9022454070646799,0.5,0.5,0.9022454070646799,-0.9022454070646799,0.0,0.0
18,19,451.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.3677197615705077,0.6322802384294923,0.5,0.5,0.0,0.0,0.5,-0.5
19,20,355.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.9022454070646799,0.09775459293532013,-0.5,0.5,0.0,0.0
20,21,334.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9022454070646799,0.09775459293532013,0.9022454070646799,0.5,0.5,-0.09775459293532013,0.09775459293532007,0.0,0.0
21,22,305.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.019111920879900282,0.9808880791200998,0.5,0.5,0.0,0.0,-0.5,0.5
22,23,405.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9022454070646799,0.5,0.5,0.09775459293532013,0.9022454070646799,0.0,0.0,-0.09775459293532013,0.09775459293532007
23,24,404.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.019111920879900282,0.9808880791200998,-0.5,0.5,0.0,0.0
24,25,392.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.09775459293532013,0.9022454070646799,0.5,0.5,0.0,0.0,0.5,-0.5
25,26,351.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9022454070646799,0.5,0.5,0.9022454070646799,0.09775459293532013,0.0,0.0,0.09775459293532007,-0.09775459293532013
26,27,411.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9808880791200998,0.5,0.5,0.9808880791200998,0.019111920879900282,0.0,0.0,0.019111920879900213,-0.019111920879900282
27,28,446.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9962634439083466,0.5,0.5,0.9962634439083466,0.003736556091653395,0.0,0.0,0.0037365560916533536,-0.003736556091653395
28,29,474.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.5,0.5,0.5,0.9992694689605609,0.0007305310394391368,0.5,-0.5,0.0,0.0
29,30,333.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.49995,0.50005,0.49995,0.5,0.5,-0.50005,0.50005,0.0,0.0
30,31,416.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.09776436839461367,0.9022356316053863,0.5,0.5,0.0,0.0,0.5,-0.5
31,32,388.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.9022454070646799,0.09775459293532013,-0.5,0.5,0.0,0.0
32,33,375.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.09775459293532013,0.09775459293532013,0.9022454070646799,0.5,0.5,0.9022454070646799,-0.9022454070646799,0.0,0.0
33,34,507.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.3677197615705077,0.6322802384294923,0.5,0.5,0.0,0.0,-0.5,0.5
34,35,350.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.09775459293532013,0.5,0.5,0.09775459293532013,0.9022454070646799,0.0,0.0,0.9022454070646799,-0.9022454070646799
35,36,350.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3677197615705077,0.5,0.5,0.3677197615705077,0.6322802384294923,0.0,0.0,0.6322802384294923,-0.6322802384294923
36,37,437.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8763834053425557,0.5,0.5,0.8763834053425557,0.12361659465744435,0.0,0.0,0.12361659465744435,-0.12361659465744435
37,38,360.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.024168179781577884,0.5,0.5,0.9758318202184221,0.024168179781577884,0.0,0.0,-0.9758318202184221,0.9758318202184221
38,39,360.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.6838485085361683,0.3161514914638316,-0.5,0.5,0.0,0.0
39,40,315.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.09775459293532013,0.9022454070646799,0.5,0.5,0.0,0.0,-0.5,0.5
40,41,310.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.09775459293532013,0.5,0.5,0.09775459293532013,0.9022454070646799,0.0,0.0,0.9022454070646799,-0.9022454070646799
41,42,378.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6322802384294923,0.5,0.5,0.3677197615705077,0.6322802384294923,0.0,0.0,-0.3677197615705077,0.3677197615705077
42,43,369.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9281074087868041,0.5,0.5,0.07189259121319591,0.9281074087868041,0.0,0.0,-0.07189259121319591,0.07189259121319591
43,44,301.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.01405566197822268,0.9859443380217773,0.5,-0.5,0.0,0.0
44,45,384.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9022454070646799,0.9022454070646799,0.09775459293532013,0.5,0.5,0.09775459293532007,-0.09775459293532013,0.0,0.0
45,46,340.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.9808880791200998,0.9808880791200998,0.019111920879900282,0.5,0.5,0.019111920879900213,-0.019111920879900282,0.0,0.0
46,47,395.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.9962634439083466,0.003736556091653395,0.5,0.5,0.0,0.0,0.5,-0.5
47,48,327.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.9022454070646799,0.09775459293532013,0.5,-0.5,0.0,0.0
48,49,490.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.09775459293532013,0.9022454070646799,0.09775459293532013,0.5,0.5,-0.9022454070646799,0.9022454070646799,0.0,0.0
49,50,533.8,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.6322802384294923,0.3677197615705077,0.5,0.5,0.0,0.0,-0.5,0.5
50,51,377.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9022454070646799,0.5,0.5,0.09775459293532013,0.9022454070646799,0.0,0.0,-0.09775459293532013,0.09775459293532007
51,52,464.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.019111920879900282,0.5,0.5,0.019111920879900282,0.9808880791200998,0.0,0.0,0.9808880791200997,-0.9808880791200998
52,53,372.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3126081399999379,0.5,0.5,0.3126081399999379,0.6873918600000621,0.0,0.0,0.6873918600000621,-0.6873918600000621
53,54,375.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.8656085770772828,0.13439142292271722,0.5,-0.5,0.0,0.0
54,55,383.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.09775459293532013,0.9022454070646799,0.09775459293532013,0.5,0.5,-0.9022454070646799,0.9022454070646799,0.0,0.0
55,56,426.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.6322802384294923,0.3677197615705077,0.5,0.5,0.0,0.0,0.5,-0.5
56,57,405.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.09775459293532013,0.5,0.5,0.9022454070646799,0.09775459293532013,0.0,0.0,-0.9022454070646799,0.9022454070646799
