,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,495.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.0,0.0
1,2,443.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.12589554734834235,0.8741044526516577,0.5,0.5,0.0,0.0,-0.5,0.5
2,3,354.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5823925276947677,0.41760747230523226,0.5823925276947677,0.12589554734834235,0.8741044526516577,-0.41760747230523226,0.4176074723052323,0.0,0.0
3,4,309.9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.41760747230523226,0.10514984260524984,0.89485015739475,0.41760747230523226,0.5823925276947677,0.0,0.0,0.5823925276947677,-0.5823925276947677
4,5,337.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5869615485670863,0.41303845143291373,0.5869615485670863,0.8533587479085651,0.1466412520914348,-0.41303845143291373,0.41303845143291373,0.0,0.0
5,6,396.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8960005961618832,0.10399940383811679,0.8960005961618832,0.5778235068224492,0.4221764931775508,-0.10399940383811679,0.10399940383811679,0.0,0.0
6,7,372.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5171397998492766,0.026186123740202016,0.973813876259798,0.5171397998492766,0.4828602001507234,0.0,0.0,0.4828602001507234,-0.4828602001507234
7,8,379.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.6043524679944161,0.3956475320055839,0.6043524679944161,0.8784201016185891,0.12157989838141092,-0.3956475320055839,0.3956475320055839,0.0,0.0
8,9,391.1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5833430034897187,0.09962052519772757,0.9003794748022724,0.5833430034897187,0.41665699651028126,0.0,0.0,0.4166569965102813,-0.41665699651028126
9,10,362.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.8950894787356436,0.41182067806934286,0.5881793219306571,0.8950894787356436,0.10491052126435646,0.0,0.0,0.1049105212643564,-0.10491052126435646
10,11,366.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4805794419906504,0.4805794419906504,0.5194205580093496,0.9735844650056479,0.026415534994352133,0.5194205580093496,-0.5194205580093496,0.0,0.0
11,12,361.3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.3956980573948891,0.869214529090863,0.13078547090913695,0.6043019426051108,0.3956980573948891,0.0,0.0,-0.6043019426051108,0.6043019426051108
12,13,372.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.15215784765587398,0.5813155740270091,0.41868442597299094,0.15215784765587398,0.847842152344126,0.0,0.0,0.847842152344126,-0.847842152344126
13,14,344.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.2134791036687208,0.5179088905185384,0.48209110948146155,0.7865208963312791,0.2134791036687208,0.0,0.0,-0.7865208963312791,0.7865208963312792
14,15,335.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8019610425109296,0.5039442427043369,0.49605575729566315,0.1980389574890704,0.8019610425109296,0.0,0.0,-0.1980389574890704,0.1980389574890704
15,16,323.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9501355541012367,0.5008686775149254,0.49913132248507464,0.04986444589876324,0.9501355541012367,0.0,0.0,-0.04986444589876324,0.049864445898763265
16,17,390.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.9874445765807068,0.5001913169856681,0.49980868301433196,0.012555423419293207,0.9874445765807068,0.0,0.0,-0.012555423419293207,0.012555423419293166
17,18,342.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49995786446825635,0.5000421355317436,0.49995786446825635,0.003161343807124229,0.9968386561928758,-0.5000421355317436,0.5000421355317437,0.0,0.0
18,19,365.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.609423430943014,0.1259061567000057,0.8740938432999943,0.390576569056986,0.609423430943014,0.0,0.0,-0.390576569056986,0.390576569056986
19,20,304.8,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5823901910978774,0.4176098089021226,0.5823901910978774,0.09834370188573377,0.9016562981142662,-0.4176098089021226,0.4176098089021226,0.0,0.0
20,21,320.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.10515043093953874,0.10515043093953874,0.8948495690604612,0.4115394713118474,0.5884605286881526,0.8948495690604612,-0.8948495690604612,0.0,0.0
21,22,259.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.77468484741741,0.77468484741741,0.22531515258259005,0.48051750919249553,0.5194824908075044,0.22531515258259005,-0.22531515258259005,0.0,0.0
22,23,399.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5042908114352626,0.9432676510794791,0.0567323489205209,0.49570918856473745,0.5042908114352626,0.0,0.0,-0.49570918856473745,0.49570918856473745
23,24,334.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5976249867086387,0.5976249867086387,0.40237501329136127,0.12481515923992054,0.8751848407600795,0.40237501329136127,-0.40237501329136127,0.0,0.0
24,25,330.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.10131444507522491,0.8986855549247751,0.10131444507522491,0.41736952831254975,0.5826304716874503,-0.8986855549247751,0.8986855549247751,0.0,0.0
25,26,445.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.48180151725358034,0.22628101966260672,0.7737189803373933,0.48180151725358034,0.5181984827464197,0.0,0.0,0.5181984827464197,-0.5181984827464197
26,27,496.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.4397163051437091,0.4397163051437091,0.5602836948562909,0.869522236759118,0.13047776324088206,0.5602836948562909,-0.5602836948562909,0.0,0.0
27,28,392.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5813833433689639,0.8589255551314312,0.14107444486856874,0.5813833433689639,0.4186166566310361,0.0,0.0,0.4186166566310361,-0.4186166566310361
28,29,339.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.4209504630807946,0.5790495369192055,0.4209504630807946,0.8945960537686053,0.10540394623139476,0.42095046308079453,-0.4209504630807946,0.0,0.0
29,30,439.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1,0.586905584945413,0.8940084220878104,0.1059915779121896,0.586905584945413,0.413094415054587,0.0,0.0,0.413094415054587,-0.413094415054587
30,31,462.6,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.1040134949796811,0.5867761653162398,0.41322383468376017,0.8959865050203188,0.1040134949796811,0.0,0.0,-0.8959865050203188,0.8959865050203188
31,32,506.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.7743985770674773,0.5191115276853477,0.4808884723146522,0.22560142293252272,0.7743985770674773,0.0,0.0,-0.22560142293252272,0.22560142293252272
32,33,373.6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.49579088924779374,0.5042091107522063,0.49579088924779374,0.05680442924530965,0.9431955707546904,-0.5042091107522063,0.5042091107522062,0.0,0.0
33,34,393.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.12695536395233997,0.12695536395233997,0.87304463604766,0.4023908882164372,0.5976091117835628,0.87304463604766,-0.87304463604766,0.0,0.0
34,35,488.4,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.521497368953738,0.780175135370491,0.219824864629509,0.478502631046262,0.521497368953738,0.0,0.0,-0.478502631046262,0.478502631046262
35,36,443.9,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.43829440564853916,0.5617055943514608,0.43829440564853916,0.12048270128638217,0.8795172987136178,-0.5617055943514608,0.5617055943514608,0.0,0.0
36,37,555.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.8585675335009937,0.14143246649900626,0.8585675335009937,0.4164153505170352,0.5835846494829648,-0.14143246649900626,0.14143246649900632,0.0,0.0
37,38,386.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5184086302597289,0.03561143556543697,0.964388564434563,0.48159136974027106,0.5184086302597289,0.0,0.0,-0.48159136974027106,0.48159136974027106
38,39,365.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.3977233567119943,0.3977233567119943,0.6022766432880056,0.12126041818337868,0.8787395818166213,0.6022766432880057,-0.6022766432880056,0.0,0.0
