,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q3_rl,Q4_rr,PE_ll,PE_lr,PE_rl,PE_rr
0,1,417.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.0,0.0
1,2,324.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5,0.6373883388819596,0.36261166111804044,0.5,0.5,0.0,0.0,-0.5,0.5
2,3,299.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5805903489946208,0.5805903489946208,0.4194096510053792,0.36261166111804044,0.6373883388819596,0.4194096510053792,-0.4194096510053792,0.0,0.0
3,4,327.3,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0,0.5805903489946208,0.6958343395200036,0.3041656604799964,0.4194096510053792,0.5805903489946208,0.0,0.0,0.5805903489946208,-0.5805903489946208
4,5,394.8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1,0.49989446324748343,0.6148740707943775,0.3851259292056225,0.5001055367525166,0.49989446324748343,0.0,0.0,0.49989446324748343,-0.49989446324748343
5,6,586.2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1,0.43261625017749383,0.5673837498225062,0.43261625017749383,0.6374648765962376,0.36253512340376237,-0.5673837498225062,0.5673837498225062,0.0,0.0
6,7,357.7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.5806352450982866,0.4885234409494017,0.5114765590505983,0.5806352450982866,0.4193647549017134,0.0,0.0,0.41936475490171343,-0.4193647549017134
7,8,585.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0,0.5067320116588624,0.4932679883411376,0.5067320116588624,0.6958668992214596,0.3041331007785404,-0.4932679883411376,0.4932679883411376,0.0,0.0
8,9,488.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.35772944925746825,0.35772944925746825,0.6422705507425317,0.6148931699240769,0.38510683007592306,0.6422705507425317,-0.6422705507425317,0.0,0.0
9,10,500.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0,0.44699822727146604,0.44699822727146604,0.5530017727285339,0.5673949531425295,0.4326050468574705,0.5530017727285339,-0.5530017727285339,0.0,0.0
